            pdb_name            exp_best             sp_best          sp_default             sp_diff                nres
              1DDJ_A              -1.600              -0.638              -0.633               0.004                 247
              1DGK_N              -2.200              -0.744              -0.740               0.004                 898
              1DGS_A              -1.800              -0.522              -0.521               0.001                 581
              1DIN_A               0.400               0.705              -0.694               0.011                 232
              1DNP_A              -1.400              -0.749              -0.742               0.007                 469
              1DVE_A               0.400               0.517              -0.477               0.040                 214
              1E0C_A              -1.700              -0.665              -0.662               0.004                 270
              1E1A_A              -2.400              -0.864              -0.863               0.001                 312
              1E6E_A              -2.600              -0.677              -0.661               0.015                 457
              1EB6_A               0.100               0.780              -0.747               0.033                 177
              1EH5_A               2.100               0.817              -0.770               0.046                 279
              1EUG_A              -1.600              -0.634              -0.634               0.000                 225
              1EUU_A              -2.800              -0.485              -0.458               0.027                 601
              1EX1_A              -2.600              -0.682              -0.669               0.013                 602
              1EXN_A              -3.200              -0.343              -0.303               0.041                 267
              1EXP_A              -0.200              -0.725              -0.705               0.020                 312
              1EYP_A              -2.600              -0.446              -0.435               0.011                 212
              1FF3_A              -2.000              -0.641              -0.641               0.000                 210
              1FGH_A              -2.000              -0.840              -0.840               0.000                 753
              1FHL_A              -1.500              -0.521              -0.518               0.004                 334
              1FOA_A              -2.000              -0.669              -0.669               0.000                 342
              1G24_A              -0.600              -0.593              -0.567               0.026                 210
              1G6T_A              -0.800              -0.753              -0.716               0.037                 427
              1G8O_A              -3.000              -0.629              -0.616               0.013                 287
              1GA8_A               0.100               0.804              -0.756               0.047                 271
              1GAL_A              -0.100              -0.746              -0.713               0.033                 581
              1GCU_A              -1.300              -0.813              -0.798               0.015                 292
              1GOG_A              -1.900              -0.740              -0.739               0.001                 639
              1GP5_A              -2.200              -0.782              -0.782               0.001                 346
              1GQ8_A              -2.600              -0.771              -0.765               0.007                 318
              1H19_A              -2.400              -0.679              -0.674               0.005                 610
              1H3I_A              -2.500              -0.582              -0.567               0.015                 293
              1HKA_A              -1.100              -0.642              -0.639               0.004                 158
              1HPL_A              -1.000              -0.811              -0.778               0.033                 449
              1HPM_A              -0.700              -0.832              -0.814               0.018                 378
              1HQC_A              30.000               0.397              -0.372               0.025                 314
              1I1E_A              -2.900              -0.682              -0.619               0.063                1287
              1I1I_P              -2.200              -0.677              -0.677               0.000                 665
              1I9A_A              -2.700              -0.306              -0.297               0.008                 175
              1IDJ_A              -1.600              -0.734              -0.731               0.004                 359
              1IG8_A              -2.600              -0.609              -0.601               0.008                 469
              1IM5_A              -1.700              -0.688              -0.683               0.005                 179
              1INP_A              -1.600              -0.816              -0.814               0.002                 400
              1IU4_A              -1.700              -0.685              -0.683               0.002                 331
              1J00_A              29.800               0.694              -0.544               0.149                 176
              1J09_A              -2.000              -0.591              -0.591               0.000                 468
              1JH6_A              -2.400              -0.544              -0.544               0.001                 181
              1JMS_A              -2.000              -0.658              -0.658               0.000                 360
              1JOA_A               1.500               0.446              -0.395               0.051                 446
              1JS4_A              -2.300              -0.618              -0.616               0.002                 605
              1K30_A              -2.200              -0.720              -0.719               0.001                 363
              1KL7_A              -1.300              -0.582              -0.576               0.005                 503
              1KNP_A               3.300               0.661              -0.627               0.035                 529
              1L1D_A              -1.900              -0.774              -0.774               0.000                 142
              1L1L_A              -2.400              -0.700              -0.698               0.002                 717
              1L6P_A              -1.600              -0.628              -0.621               0.006                 121
              1L7N_A              -3.500              -0.545              -0.500               0.045                 207
              1L7Q_A              -1.600              -0.740              -0.737               0.003                 571
              1L8T_A              -1.600              -0.634              -0.631               0.003                 263
              1L9X_A              -2.200              -0.754              -0.751               0.003                 288
              1LBA_A              -1.100              -0.677              -0.669               0.007                 146
              1LDM_A               6.700               0.770              -0.667               0.104                 329
              1LJL_A               0.100               0.767              -0.741               0.026                 130
              1LVH_A              -1.100              -0.758              -0.743               0.015                 220
              1M53_A              -2.200              -0.560              -0.559               0.001                 556
              1MBB_A              -1.600              -0.734              -0.733               0.001                 340
              1MJ9_A              -0.900              -0.798              -0.764               0.034                 273
              1MLA_A              -1.300              -0.685              -0.681               0.004                 305
              1MRQ_A              -2.700              -0.673              -0.660               0.013                 323
              1MUD_A              -3.300              -0.441              -0.405               0.036                 225
              1MUG_A              30.000               0.428              -0.390               0.038                 165
              1NDH_A              -1.700              -0.614              -0.610               0.004                 270
              1NDI_A              -2.000              -0.543              -0.543               0.000                 596
              1NLU_A              -1.300              -0.781              -0.778               0.003                 368
              1O8A_A              -1.400              -0.621              -0.618               0.003                 574
              1O98_A              -2.600              -0.666              -0.660               0.006                 509
              1OG1_A              -2.100              -0.562              -0.560               0.001                 223
              1OGO_X              -1.700              -0.740              -0.738               0.002                 572
              1OJ4_A              -2.500              -0.769              -0.765               0.004                 277
              1ONR_A               0.300               0.741              -0.710               0.031                 316
              1OPM_A              -2.100              -0.665              -0.665               0.000                 310
              1OXA_A              -1.600              -0.811              -0.807               0.004                 403
              1OYG_A              -4.400              -0.549              -0.470               0.079                 440
              1P1X_A              -1.100              -0.796              -0.784               0.012                 250
              1P3D_A              -1.200              -0.512              -0.503               0.009                 449
              1P5D_X              -3.200              -0.668              -0.613               0.055                 454
              1PA9_A              -2.200              -0.862              -0.862               0.000                 279
              1PII_A              -2.400              -0.545              -0.540               0.004                 452
              1PKN_A               0.300               0.244              -0.227               0.017                 514
              1PMI_A              -2.200              -0.698              -0.695               0.003                 440
              1PP4_A              -2.100              -0.778              -0.778               0.000                 233
              1PS9_A              -1.300              -0.754              -0.736               0.018                 671
              1PTD_A              -1.000              -0.695              -0.688               0.007                 296
              1PUD_A              -3.100              -0.467              -0.428               0.040                 372
              1PYL_A              -1.900              -0.803              -0.802               0.001                  95
              1Q91_A               0.300               0.730              -0.691               0.038                 194
              1QAM_A              -1.800              -0.730              -0.730               0.000                 235
              1QAZ_A              -2.500              -0.810              -0.808               0.001                 351
              1QBA_A              -2.200              -0.777              -0.777               0.001                 858
              1QFM_A              -2.600              -0.764              -0.750               0.014                 705
              1QGX_A              -1.700              -0.844              -0.843               0.002                 354
              1QJE_A              -2.100              -0.700              -0.698               0.001                 327
              1QK2_A              -2.100              -0.707              -0.707               0.000                 363
              1QWN_A              -2.100              -0.908              -0.908               0.000                1014
              1R1J_A              -1.900              -0.765              -0.764               0.001                 696
              1R44_A              -1.100              -0.751              -0.745               0.006                 202
              1R4Z_A              -2.300              -0.686              -0.682               0.003                 179
              1RBN_A              -1.000              -0.778              -0.762               0.016                 124
              1RDD_A              24.600               0.564              -0.457               0.106                 155
              1RU4_A              -1.300              -0.794              -0.785               0.009                 400
              1S3I_A              -0.700              -0.717              -0.668               0.049                 307
              1S95_A              -2.200              -0.240              -0.238               0.002                 324
              1SCA_A              -1.400              -0.690              -0.686               0.004                 274
              1SLL_A              -2.300              -0.746              -0.742               0.004                 679
              1SML_A               7.500               0.763              -0.668               0.095                 266
              1SNZ_A              -1.800              -0.703              -0.703               0.000                 344
              1TAH_B              -2.400              -0.339              -0.336               0.003                 318
              1TLP_E              -2.400              -0.549              -0.545               0.004                 316
              1U3F_A               2.700               0.707              -0.622               0.085                 164
              1U5U_A              30.000               0.721              -0.623               0.097                 366
              1UAS_A              -1.400              -0.818              -0.810               0.007                 362
              1UN1_A              -1.700              -0.761              -0.758               0.002                 267
              1VID_A               0.000               0.694              -0.667               0.028                 213
              1VLB_A              -1.700              -0.843              -0.842               0.002                 907
              1VNC_A              -1.600              -0.670              -0.668               0.002                 576
              1VQ1_A              -2.100              -0.250              -0.249               0.001                 263
              1W0H_A              -2.800              -0.453              -0.428               0.025                 194
              1XQW_A              -0.500              -0.797              -0.783               0.015                 290
              1Y9M_A              -1.900              -0.711              -0.711               0.000                 517
              1YON_A              -2.000              -0.487              -0.487               0.000                 292
              1YSC_A              -3.600              -0.447              -0.404               0.044                 421
              1ZE1_A              30.000               0.481              -0.338               0.143                 308
              1ZIO_A              -1.800              -0.685              -0.685               0.000                 217
              206L_A              -1.300              -0.450              -0.438               0.012                 162
              2A0N_A              -3.400              -0.370              -0.345               0.026                 251
              2ABK_A              -0.900              -0.592              -0.581               0.012                 211
              2ACY_A              -1.200              -0.572              -0.561               0.011                  98
              2AYH_A              -0.800              -0.718              -0.707               0.011                 214
              2CPO_A              -1.900              -0.832              -0.831               0.001                 298
              2CPU_A              -1.900              -0.555              -0.555               0.000                 495
              2DLN_A               0.900               0.812              -0.746               0.066                 306
              2EBN_A              -1.800              -0.823              -0.822               0.001                 285
              2ENG_A              -1.900              -0.817              -0.816               0.001                 205
              2F61_A              -2.700              -0.436              -0.427               0.010                 497
              2F9R_A              -2.300              -0.736              -0.733               0.003                 285
              2NLR_A               0.100               0.765              -0.729               0.036                 222
              2NMT_A               3.300               0.471              -0.437               0.034                 422
              2PEC_A              -2.500              -0.767              -0.767               0.001                 352
              2PIA_A              -1.800              -0.639              -0.639               0.000                 321
              2PTH_A              -1.300              -0.849              -0.843               0.007                 193
              2SQC_A              -0.300              -0.754              -0.726               0.028                 623
              2THI_A              -2.600              -0.632              -0.625               0.007                 362
              2TPS_A              -2.300              -0.753              -0.752               0.002                 226
              5EAT_A              -2.000              -0.654              -0.654               0.000                 532
              7ATJ_A              -0.400              -0.612              -0.596               0.016                 305
