                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              1BYA_A              -1.700              -0.491                 491              0.4899             -0.9350             -0.6099
              1BZC_A              -1.200              -0.390                 297              0.5965             -0.9633             -0.6587
              1C82_A              -2.500              -0.623                 719              0.6503             -0.7198             -0.7966
              1CA2_A              29.900               0.204                 256              0.8261              0.9408              0.8163
              1CB8_A               0.100               0.595                 674              0.6766              0.9724              0.7602
              1CBX_A              -3.200              -0.341                 307              0.5823             -0.8057             -0.6333
              1CDG_A              -2.600              -0.476                 686              0.5410             -0.7964             -0.6728
              1CEL_A              19.300              -0.422                 433              0.5622              0.9530              0.4299
              1CHD_A              -3.700              -0.367                 198              0.6928             -0.8712             -0.7336
              1CHK_B              -1.600              -0.335                 238              0.2873             -0.8269             -0.4182
              1CM0_A              -2.600              -0.272                 162              0.7732             -0.9097             -0.7749
              1CNS_A              -2.800              -0.454                 243              0.5978             -0.8487             -0.6998
              1COY_A              -3.300              -0.540                 501              0.5904             -0.7919             -0.7335
              1CQQ_A              -2.700              -0.342                 180              0.6286             -0.9325             -0.6823
              1CVR_A              -0.200              -0.720                 432              0.7250             -0.9763             -0.8152
              1CWY_A              -0.800              -0.637                 500              0.5159             -0.9621             -0.6453
              1CZ1_A              -2.300              -0.571                 394              0.7644             -0.9370             -0.8449
              1CZF_A              -1.900              -0.484                 335              0.5555             -0.8357             -0.6850
              1D1Q_A              -0.500              -0.473                 159              0.7280             -0.9901             -0.7663
              1D4C_A              -1.200              -0.333                 570              0.6656             -0.9355             -0.7106
              1D6O_A              -0.900              -0.627                 107              0.4237             -0.9479             -0.5827
              1DDJ_A              -1.900              -0.416                 247              0.6678             -0.9565             -0.7291
              1DGK_N              -1.600              -0.784                 898              0.1247             -0.5109             -0.7322
              1DGS_A              -2.100              -0.550                 581              0.2632             -0.6730             -0.5697
              1DIN_A              -2.800              -0.425                 232              0.6996             -0.8968             -0.7618
              1DNP_A              -2.400              -0.512                 469              0.5970             -0.7637             -0.7210
              1DVE_A              30.000              -0.362                 214              0.5408              0.9522              0.4218
              1E0C_A              -2.900              -0.520                 270              0.5414             -0.7670             -0.6956
              1E1A_A              -2.000              -0.481                 312              0.7823             -0.9668             -0.8329
              1E6E_A              -2.000              -0.626                 457              0.4155             -0.8140             -0.6691
              1EB6_A              30.000              -0.364                 177              0.7591              0.9568              0.6574
              1EH5_A               1.900               0.146                 279              0.7909              1.0000              0.7917
              1EUG_A              -2.100              -0.472                 225              0.6459             -0.9362             -0.7315
              1EUU_A              -2.100              -0.522                 601              0.2158             -0.7523             -0.4979
              1EX1_A              -2.000              -0.653                 602              0.4172             -0.8377             -0.6738
              1EXN_A              -2.200              -0.428                 267              0.2777             -0.8436             -0.4551
              1EXP_A              -2.100              -0.332                 312              0.6625             -0.9116             -0.7061
              1EYP_A               4.200              -0.428                 212              0.3711              0.9951              0.3302
              1FF3_A               0.100               0.541                 210              0.5572              0.9920              0.6094
              1FGH_A              -2.400              -0.472                 753              0.7614             -0.9088             -0.8196
              1FHL_A              -2.000              -0.379                 334              0.4876             -0.9049             -0.5823
              1FOA_A              -2.400              -0.468                 342              0.5026             -0.8354             -0.6422
              1G24_A              24.200              -0.359                 210              0.5276              0.9380              0.3892
              1G6T_A              -2.500              -0.549                 427              0.6743             -0.7703             -0.7779
              1G8O_A              -1.300              -0.387                 287              0.5831             -0.9723             -0.6404
              1GA8_A              -0.200              -0.252                 271              0.7391             -0.9875             -0.7565
              1GAL_A              -2.600              -0.326                 581              0.6631             -0.8342             -0.6877
              1GCU_A              -0.800              -0.550                 292              0.6738             -0.9397             -0.7722
              1GOG_A              -0.700              -0.661                 639              0.5834             -0.9566             -0.7144
              1GP5_A              -2.200              -0.453                 346              0.6951             -0.9016             -0.7677
              1GQ8_A              -1.800              -0.666                 318              0.5455             -0.9154             -0.7240
              1H19_A              -2.600              -0.528                 610              0.5453             -0.8531             -0.6960
              1H3I_A              -2.200              -0.535                 293              0.3196             -0.7805             -0.5662
              1HKA_A              29.900              -0.464                 158              0.6108              0.9279              0.4300
              1HPL_A              -2.000              -0.583                 449              0.6552             -0.7897             -0.7878
              1HPM_A              -2.600              -0.421                 378              0.7460             -0.8624             -0.7855
              1HQC_A              -3.200              -0.516                 314              0.2968             -0.5437             -0.5749
              1I1E_A              -2.300              -0.705                1287              0.1793             -0.6458             -0.6455
              1I1I_P              -2.300              -0.459                 665              0.5427             -0.8494             -0.6642
              1I9A_A              30.000              -0.342                 175              0.2911              0.9475              0.1712
              1IDJ_A              -1.000              -0.529                 359              0.6426             -0.9610             -0.7297
              1IG8_A              -2.900              -0.538                 469              0.4611             -0.7491             -0.6615
              1IM5_A              -1.700              -0.464                 179              0.6147             -0.9635             -0.6901
              1INP_A              -3.000              -0.330                 400              0.7479             -0.8636             -0.7563
              1IU4_A              -1.900              -0.480                 331              0.5984             -0.8952             -0.7071
              1J00_A              -4.800              -0.167                 176              0.6248             -0.7828             -0.5702
              1J09_A               8.500              -0.727                 468              0.2838              0.9737              0.1175
              1JH6_A              -2.100              -0.459                 181              0.5560             -0.8646             -0.6723
              1JMS_A              -2.600              -0.435                 360              0.5250             -0.7407             -0.6378
              1JOA_A              -3.100              -0.339                 446              0.4096             -0.6857             -0.5062
              1JS4_A              -2.900              -0.571                 605              0.5320             -0.6511             -0.7132
              1K30_A              -2.200              -0.455                 363              0.5730             -0.8761             -0.6816
              1KL7_A              29.800              -0.321                 503              0.5380              0.9535              0.4313
              1KNP_A              30.000              -0.178                 529              0.6528              0.9635              0.5930
              1L1D_A               0.400               0.347                 142              0.6765              0.9966              0.6953
              1L1L_A              -2.100              -0.383                 717              0.6185             -0.8906             -0.6876
              1L6P_A              -0.800              -0.598                 121              0.4605             -0.8781             -0.6582
              1L7N_A              -1.600              -0.614                 207              0.4461             -0.9216             -0.6244
              1L7Q_A              -0.900              -0.430                 571              0.6175             -0.9411             -0.6954
              1L8T_A               5.400              -0.446                 263              0.5517              0.9884              0.4888
              1L9X_A              -2.100              -0.432                 288              0.6916             -0.9491             -0.7548
              1LBA_A              11.500              -0.298                 146              0.6944              0.9756              0.6304
              1LDM_A              20.100               0.442                 329              0.6650              0.7259              0.7096
              1LJL_A              21.000              -0.332                 130              0.7571              0.9425              0.6412
              1LVH_A              26.900              -0.520                 220              0.6506              0.9119              0.4312
              1M53_A              -2.500              -0.414                 556              0.5123             -0.8687             -0.6212
              1MBB_A              -0.300              -0.454                 340              0.6404             -0.9802             -0.6967
              1MJ9_A              -0.700              -0.459                 273              0.7101             -0.9419             -0.7775
              1MLA_A              -1.900              -0.331                 305              0.5971             -0.8876             -0.6524
              1MRQ_A              -2.200              -0.383                 323              0.5819             -0.9127             -0.6582
              1MUD_A              -2.800              -0.579                 225              0.2267             -0.7121             -0.5574
              1MUG_A              29.200               0.222                 165              0.4797              0.9769              0.5102
              1NDH_A              -1.200              -0.390                 270              0.5049             -0.9553             -0.5819
              1NDI_A              -2.100              -0.246                 596              0.4976             -0.8639             -0.5376
              1NLU_A              -0.900              -0.433                 368              0.7377             -0.9909             -0.7704
              1O8A_A              -1.900              -0.417                 574              0.6149             -0.9333             -0.6920
              1O98_A              -2.200              -0.605                 509              0.5696             -0.8197             -0.7516
              1OG1_A              10.800              -0.665                 223              0.4884              0.9719              0.3383
              1OGO_X              -0.900              -0.472                 572              0.6703             -0.9729             -0.7331
              1OJ4_A              -2.100              -0.549                 277              0.5950             -0.8663             -0.7357
              1ONR_A              -3.700              -0.247                 316              0.7286             -0.8038             -0.6864
              1OPM_A              27.700              -0.556                 310              0.5256              0.9708              0.3968
              1OXA_A              -1.600              -0.425                 403              0.7425             -0.9405             -0.7949
              1OYG_A              -3.100              -0.500                 440              0.3787             -0.8569             -0.5629
              1P1X_A              -1.100              -0.420                 250              0.7536             -0.9615             -0.8005
              1P3D_A              -2.100              -0.287                 449              0.4804             -0.8933             -0.5422
              1P5D_X              -2.600              -0.571                 454              0.3361             -0.8198             -0.5834
              1PA9_A              -1.700              -0.419                 279              0.7062             -0.9551             -0.7624
              1PII_A              -2.600              -0.574                 452              0.3673             -0.6139             -0.6471
              1PKN_A              -2.500              -0.334                 514              0.3500             -0.7935             -0.4681
              1PMI_A              -2.400              -0.672                 440              0.4780             -0.7696             -0.7449
              1PP4_A              -2.100              -0.559                 233              0.6762             -0.9257             -0.7816
              1PS9_A               6.000              -0.486                 671              0.6429              0.9823              0.5617
              1PTD_A              -0.300              -0.254                 296              0.6999             -0.9890             -0.7190
              1PUD_A              -2.400              -0.356                 372              0.3225             -0.8718             -0.4464
              1PYL_A              -2.400              -0.360                  95              0.6454             -0.8853             -0.6994
              1Q91_A              -6.100              -0.225                 194              0.7608             -0.4986             -0.5058
              1QAM_A              -2.200              -0.567                 235              0.5565             -0.7175             -0.7276
              1QAZ_A              -1.700              -0.538                 351              0.6925             -0.9556             -0.7761
              1QBA_A              -2.600              -0.508                 858              0.6519             -0.8268             -0.7559
              1QFM_A              -2.700              -0.635                 705              0.5277             -0.7988             -0.7461
              1QGX_A              -1.900              -0.525                 354              0.7445             -0.9134             -0.8226
              1QJE_A              -2.100              -0.457                 327              0.6362             -0.9207             -0.7233
              1QK2_A              -0.700              -0.366                 363              0.6318             -0.9902             -0.6653
              1QWN_A              -2.300              -0.693                1014              0.7291             -0.8507             -0.8696
              1R1J_A              -2.800              -0.512                 696              0.6009             -0.6452             -0.7007
              1R44_A              -5.200              -0.397                 202              0.7426             -0.6286             -0.6734
              1R4Z_A              -0.100              -0.475                 179              0.6521             -0.9962             -0.6811
              1RBN_A              -1.600              -0.549                 124              0.6094             -0.8797             -0.7430
              1RDD_A              14.600               0.238                 155              0.5590              0.9313              0.5924
              1RU4_A              -1.000              -0.564                 400              0.6272             -0.9388             -0.7402
              1S3I_A              -2.100              -0.466                 307              0.5966             -0.6650             -0.6763
              1S95_A              -1.800              -0.332                 324              0.2787             -0.9387             -0.3715
              1SCA_A              -2.200              -0.326                 274              0.7014             -0.9585             -0.7385
              1SLL_A              -2.500              -0.612                 679              0.4819             -0.7345             -0.7179
              1SML_A              29.800               0.297                 266              0.7662              0.6087              0.6179
              1SNZ_A              -2.200              -0.488                 344              0.6172             -0.9159             -0.7193
              1TAH_B              -0.800              -0.421                 318              0.4550             -0.9728             -0.5294
              1TLP_E              -2.400              -0.622                 316              0.4364             -0.7871             -0.6888
              1U3F_A              -8.100              -0.249                 164              0.6964             -0.5193             -0.5145
              1U5U_A              29.100               0.411                 366              0.6631              0.9528              0.7252
              1UAS_A              -1.800              -0.533                 362              0.7192             -0.8592             -0.8073
              1UN1_A               0.400               0.325                 267              0.6732              0.9930              0.6968
              1VID_A              -0.400              -0.308                 213              0.6663             -0.9791             -0.6990
              1VLB_A              -2.600              -0.492                 907              0.8188             -0.8941             -0.8587
              1VNC_A              -3.000              -0.398                 576              0.6634             -0.8155             -0.7134
              1VQ1_A              -1.800              -0.256                 263              0.0556             -0.8401             -0.1853
              1W0H_A              -2.100              -0.509                 194              0.3727             -0.8950             -0.5442
              1XQW_A              -1.900              -0.259                 290              0.7466             -0.9541             -0.7640
              1Y9M_A              -2.200              -0.535                 517              0.6112             -0.8383             -0.7432
              1YON_A              -1.100              -0.559                 292              0.3518             -0.9228             -0.5261
              1YSC_A              -2.700              -0.281                 421              0.4506             -0.8861             -0.5156
              1ZE1_A              23.600               0.275                 308              0.4089              0.9318              0.4720
              1ZIO_A              -3.100              -0.560                 217              0.5779             -0.7715             -0.7366
              206L_A              -0.700              -0.627                 162              0.5412             -0.9194             -0.7051
              2A0N_A              -3.400              -0.447                 251              0.3059             -0.8653             -0.4778
              2ABK_A              -2.000              -0.450                 211              0.5012             -0.7296             -0.6318
              2ACY_A              17.700              -0.602                  98              0.6079              0.9462              0.4206
              2AYH_A              -2.100              -0.316                 214              0.5408             -0.9086             -0.6024
              2CPO_A              -0.300              -0.371                 298              0.7757             -0.9908             -0.8003
              2CPU_A              -2.100              -0.569                 495              0.5142             -0.8214             -0.7008
              2DLN_A              -0.200              -0.112                 306              0.7792             -0.9774             -0.7765
              2EBN_A              -1.700              -0.533                 285              0.6804             -0.9100             -0.7812
              2ENG_A              -1.700              -0.637                 205              0.7116             -0.9372             -0.8231
              2F61_A              -2.300              -0.309                 497              0.3323             -0.8301             -0.4386
              2F9R_A               0.700               0.431                 285              0.6064              0.9978              0.6280
              2NLR_A              10.100              -0.214                 222              0.7507              0.9808              0.7087
              2NMT_A               1.100               0.071                 422              0.5028              0.9983              0.5055
              2PEC_A              -2.000              -0.545                 352              0.6285             -0.9195             -0.7447
              2PIA_A              -2.700              -0.431                 321              0.5260             -0.8012             -0.6410
              2PTH_A              -1.000              -0.402                 193              0.7516             -0.9810             -0.7888
              2SQC_A              -2.800              -0.407                 623              0.7046             -0.8026             -0.7379
              2THI_A              -2.700              -0.546                 362              0.4839             -0.8014             -0.6737
              2TPS_A              -0.900              -0.500                 226              0.7439             -0.9768             -0.7982
              5EAT_A              -2.500              -0.397                 532              0.5646             -0.8154             -0.6503
              7ATJ_A              -2.500              -0.463                 305              0.6433             -0.8160             -0.7298
