                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              1CZ1_A              10.200              -0.500                 394              0.7644             -0.8569             -0.8213
              1CZF_A              11.500              -0.495                 335              0.5555             -0.6734             -0.6782
              1D1Q_A              10.300              -0.450                 159              0.7280             -0.9275             -0.7906
              1D4C_A              18.100              -0.342                 570              0.6656             -0.8427             -0.6982
              1D6O_A               8.200              -0.605                 107              0.4237             -0.6916             -0.6887
              1DDJ_A               9.300              -0.417                 247              0.6678             -0.8815             -0.7350
              1DGK_N              24.000              -0.795                 898              0.1247             -0.3069             -0.7888
              1DGS_A              13.700              -0.539                 581              0.2632             -0.4682             -0.5829
              1DIN_A               6.000              -0.411                 232              0.6996             -0.7000             -0.6993
              1DNP_A               9.900              -0.501                 469              0.5970             -0.5417             -0.6610
              1DVE_A              39.500               0.362                 214              0.5408             -0.9072             -0.3625
              1E0C_A              10.200              -0.515                 270              0.5414             -0.7663             -0.6933
              1E1A_A              10.400              -0.468                 312              0.7823             -0.9217             -0.8342
              1E6E_A              15.000              -0.632                 457              0.4155             -0.7124             -0.6995
              1EB6_A               7.300              -0.427                 177              0.7591             -0.7448             -0.7511
              1EH5_A               2.800               0.234                 279              0.7909             -0.0522              0.1018
              1EUG_A              10.200              -0.485                 225              0.6459             -0.8662             -0.7444
              1EUU_A              14.200              -0.537                 601              0.2158             -0.5619             -0.5551
              1EX1_A              11.100              -0.642                 602              0.4172             -0.6348             -0.7160
              1EXN_A               7.800              -0.442                 267              0.2777             -0.5564             -0.5076
              1EXP_A               7.700              -0.372                 312              0.6625             -0.6308             -0.6339
              1EYP_A              31.700               0.366                 212              0.3711             -0.9755             -0.2874
              1FF3_A              14.300              -0.572                 210              0.5572             -0.9240             -0.6964
              1FGH_A              12.200              -0.467                 753              0.7614             -0.8197             -0.7977
              1FHL_A               9.400              -0.382                 334              0.4876             -0.7350             -0.5847
              1FOA_A              11.100              -0.475                 342              0.5026             -0.7412             -0.6485
              1G24_A              35.700               0.296                 210              0.5276             -0.9550             -0.4294
              1G6T_A               9.200              -0.532                 427              0.6743             -0.5956             -0.7174
              1G8O_A              10.800              -0.444                 287              0.5831             -0.8760             -0.6846
              1GA8_A              19.000              -0.247                 271              0.7391             -0.9544             -0.7550
              1GAL_A              10.000              -0.374                 581              0.6631             -0.7002             -0.6643
              1GCU_A              10.600              -0.524                 292              0.6738             -0.7023             -0.7489
              1GOG_A              28.500              -0.597                 639              0.5834             -0.9442             -0.7105
              1GP5_A              10.700              -0.417                 346              0.6951             -0.7890             -0.7328
              1GQ8_A              10.700              -0.635                 318              0.5455             -0.7742             -0.7593
              1H19_A              10.900              -0.530                 610              0.5453             -0.7206             -0.7008
              1H3I_A              10.100              -0.541                 293              0.3196             -0.6090             -0.6011
              1HKA_A               5.800              -0.423                 158              0.6108             -0.6894             -0.6637
              1HPL_A               8.600              -0.519                 449              0.6552             -0.4889             -0.6623
              1HPM_A              10.700              -0.403                 378              0.7460             -0.7675             -0.7447
              1HQC_A               6.800              -0.531                 314              0.2968             -0.3124             -0.5746
              1I1E_A              17.800              -0.699                1287              0.1793             -0.4950             -0.6862
              1I1I_P               9.400              -0.463                 665              0.5427             -0.5901             -0.6343
              1I9A_A               7.100              -0.286                 175              0.2911             -0.7172             -0.3995
              1IDJ_A              13.100              -0.515                 359              0.6426             -0.8147             -0.7521
              1IG8_A              11.600              -0.543                 469              0.4611             -0.6466             -0.6656
              1IM5_A              12.000              -0.489                 179              0.6147             -0.9270             -0.7145
              1INP_A               8.900              -0.329                 400              0.7479             -0.7923             -0.7258
              1IU4_A               9.200              -0.480                 331              0.5984             -0.6562             -0.6830
              1J00_A               5.700              -0.229                 176              0.6248             -0.6859             -0.5584
              1J09_A              34.500              -0.641                 468              0.2838             -0.9029             -0.5205
              1JH6_A              29.200               0.481                 181              0.5560             -0.9809             -0.4678
              1JMS_A               9.200              -0.460                 360              0.5250             -0.5660             -0.6196
              1JOA_A              10.500              -0.357                 446              0.4096             -0.5970             -0.5057
              1JS4_A              11.500              -0.580                 605              0.5320             -0.5489             -0.7023
              1K30_A              11.200              -0.448                 363              0.5730             -0.7559             -0.6733
              1KL7_A              43.400               0.250                 503              0.5380             -0.9880             -0.4989
              1KNP_A               5.900              -0.200                 529              0.6528             -0.6366             -0.5325
              1L1D_A              28.800               0.304                 142              0.6765             -0.9734             -0.6073
              1L1L_A              10.900              -0.471                 717              0.6185             -0.6997             -0.6969
              1L6P_A              11.000              -0.595                 121              0.4605             -0.5697             -0.6962
              1L7N_A               9.700              -0.616                 207              0.4461             -0.7887             -0.6909
              1L7Q_A              12.000              -0.441                 571              0.6175             -0.6713             -0.6715
              1L8T_A              12.000              -0.432                 263              0.5517             -0.8195             -0.6588
              1L9X_A               9.700              -0.399                 288              0.6916             -0.8580             -0.7414
              1LBA_A              27.700               0.279                 146              0.6944             -0.9824             -0.6447
              1LDM_A              32.400               0.462                 329              0.6650             -0.9798             -0.5824
              1LJL_A              35.200               0.398                 130              0.7571             -0.7718             -0.4190
              1LVH_A              12.900              -0.464                 220              0.6506             -0.7021             -0.7076
              1M53_A              13.000              -0.410                 556              0.5123             -0.7992             -0.6210
              1MBB_A              12.600              -0.467                 340              0.6404             -0.7654             -0.7208
              1MJ9_A              10.000              -0.468                 273              0.7101             -0.6678             -0.7194
              1MLA_A              11.900              -0.355                 305              0.5971             -0.7820             -0.6444
              1MRQ_A               9.500              -0.392                 323              0.5819             -0.7911             -0.6555
              1MUD_A               6.800              -0.589                 225              0.2267             -0.5338             -0.6063
              1MUG_A               7.800              -0.195                 165              0.4797             -0.8680             -0.5013
              1NDH_A              18.100              -0.384                 270              0.5049             -0.9258             -0.5928
              1NDI_A              40.100               0.304                 596              0.4976             -0.9925             -0.4616
              1NLU_A               9.000              -0.381                 368              0.7377             -0.8721             -0.7691
              1O8A_A              16.300              -0.405                 574              0.6149             -0.9004             -0.6926
              1O98_A              10.300              -0.600                 509              0.5696             -0.6415             -0.7438
              1OG1_A              10.400              -0.583                 223              0.4884             -0.8086             -0.6943
              1OGO_X              22.300              -0.475                 572              0.6703             -0.9448             -0.7489
              1OJ4_A              12.200              -0.587                 277              0.5950             -0.7918             -0.7590
              1ONR_A              10.200              -0.260                 316              0.7286             -0.8198             -0.6991
              1OPM_A              43.700               0.451                 310              0.5256             -0.9671             -0.4107
              1OXA_A              14.100              -0.391                 403              0.7425             -0.8491             -0.7688
              1OYG_A              10.500              -0.539                 440              0.3787             -0.8159             -0.5971
              1P1X_A               8.300              -0.408                 250              0.7536             -0.7443             -0.7400
              1P3D_A              11.400              -0.287                 449              0.4804             -0.7373             -0.5242
              1P5D_X              10.200              -0.572                 454              0.3361             -0.6737             -0.6244
              1PA9_A               9.100              -0.488                 279              0.7062             -0.8303             -0.7789
              1PII_A              11.700              -0.576                 452              0.3673             -0.5106             -0.6481
              1PKN_A               6.400              -0.354                 514              0.3500             -0.4482             -0.4535
              1PMI_A              13.500              -0.652                 440              0.4780             -0.6638             -0.7457
              1PP4_A              10.200              -0.543                 233              0.6762             -0.8381             -0.7851
              1PS9_A              27.900              -0.453                 671              0.6429             -0.9198             -0.7275
              1PTD_A              16.900              -0.294                 296              0.6999             -0.9502             -0.7305
              1PUD_A              11.500              -0.408                 372              0.3225             -0.8017             -0.4893
              1PYL_A               6.300              -0.475                  95              0.6454             -0.6857             -0.7066
              1Q91_A               8.800              -0.242                 194              0.7608             -0.7099             -0.6507
              1QAM_A              14.200              -0.582                 235              0.5565             -0.6572             -0.7299
              1QAZ_A              11.800              -0.506                 351              0.6925             -0.8744             -0.7828
              1QBA_A              10.400              -0.482                 858              0.6519             -0.6151             -0.6894
              1QFM_A              11.100              -0.637                 705              0.5277             -0.6802             -0.7555
              1QGX_A               7.300              -0.497                 354              0.7445             -0.6591             -0.7402
              1QJE_A              10.800              -0.473                 327              0.6362             -0.8385             -0.7323
              1QK2_A              11.700              -0.395                 363              0.6318             -0.8915             -0.7020
              1QWN_A              12.400              -0.677                1014              0.7291             -0.7019             -0.8419
              1R1J_A              11.300              -0.500                 696              0.6009             -0.5248             -0.6554
              1R44_A               5.700              -0.360                 202              0.7426             -0.6080             -0.6427
              1R4Z_A              13.600              -0.466                 179              0.6521             -0.9781             -0.7114
              1RBN_A               8.200              -0.567                 124              0.6094             -0.6461             -0.7369
              1RDD_A              39.000              -0.290                 155              0.5590             -0.7879             -0.5886
              1RU4_A              12.300              -0.530                 400              0.6272             -0.7284             -0.7397
              1S3I_A               9.800              -0.460                 307              0.5966             -0.4765             -0.6089
              1S95_A              12.500              -0.340                 324              0.2787             -0.8827             -0.3993
              1SCA_A              17.100              -0.303                 274              0.7014             -0.9822             -0.7295
              1SLL_A              12.000              -0.588                 679              0.4819             -0.5627             -0.6969
              1SML_A              29.000               0.332                 266              0.7662             -0.9905             -0.7297
              1SNZ_A              11.600              -0.452                 344              0.6172             -0.8570             -0.7123
              1TAH_B              11.900              -0.414                 318              0.4550             -0.8663             -0.5784
              1TLP_E              13.900              -0.579                 316              0.4364             -0.7368             -0.6739
              1U3F_A               5.300              -0.271                 164              0.6964             -0.4910             -0.5112
              1U5U_A              28.700               0.329                 366              0.6631             -0.9941             -0.6324
              1UAS_A               9.800              -0.517                 362              0.7192             -0.6650             -0.7463
              1UN1_A              16.000              -0.354                 267              0.6732             -0.9063             -0.7209
              1VID_A              10.000              -0.368                 213              0.6663             -0.8517             -0.7115
              1VLB_A               9.900              -0.431                 907              0.8188             -0.7456             -0.7754
              1VNC_A               8.800              -0.395                 576              0.6634             -0.6988             -0.6749
              1VQ1_A              11.000              -0.265                 263              0.0556             -0.6584             -0.2355
              1W0H_A               9.600              -0.541                 194              0.3727             -0.7519             -0.6115
              1XQW_A               8.000              -0.258                 290              0.7466             -0.8128             -0.7068
              1Y9M_A              11.800              -0.514                 517              0.6112             -0.7157             -0.7218
              1YON_A              11.300              -0.563                 292              0.3518             -0.7087             -0.6212
              1YSC_A              12.300              -0.336                 421              0.4506             -0.8879             -0.5379
              1ZE1_A              33.600               0.387                 308              0.4089             -0.9709             -0.3124
              1ZIO_A               5.700              -0.487                 217              0.5779             -0.4510             -0.6155
              206L_A              17.400              -0.615                 162              0.5412             -0.8448             -0.7339
              2A0N_A               9.400              -0.397                 251              0.3059             -0.8392             -0.4622
              2ABK_A              10.100              -0.477                 211              0.5012             -0.5105             -0.6108
              2ACY_A              16.500              -0.572                  98              0.6079             -0.9544             -0.7158
              2AYH_A              11.500              -0.369                 214              0.5408             -0.8503             -0.6231
              2CPO_A              10.400              -0.378                 298              0.7757             -0.8443             -0.7828
              2CPU_A              13.000              -0.553                 495              0.5142             -0.6863             -0.6978
              2DLN_A              10.300              -0.136                 306              0.7792             -0.7322             -0.6284
              2EBN_A              12.200              -0.511                 285              0.6804             -0.7918             -0.7677
              2ENG_A              17.500              -0.577                 205              0.7116             -0.9648             -0.7933
              2F61_A              14.600              -0.335                 497              0.3323             -0.7719             -0.4573
              2F9R_A              11.600              -0.403                 285              0.6064             -0.9043             -0.6850
              2NLR_A              36.800               0.259                 222              0.7507             -0.9209             -0.6247
              2NMT_A               4.800              -0.120                 422              0.5028             -0.2097             -0.2072
              2PEC_A              10.100              -0.570                 352              0.6285             -0.7722             -0.7669
              2PIA_A               9.900              -0.452                 321              0.5260             -0.6838             -0.6404
              2PTH_A               9.600              -0.414                 193              0.7516             -0.8724             -0.7893
              2SQC_A               8.000              -0.419                 623              0.7046             -0.5961             -0.6588
              2THI_A              10.900              -0.548                 362              0.4839             -0.7052             -0.6811
              2TPS_A              17.800              -0.492                 226              0.7439             -0.9705             -0.8012
              5EAT_A              13.800              -0.391                 532              0.5646             -0.7586             -0.6388
              7ATJ_A              13.900              -0.448                 305              0.6433             -0.8043             -0.7215
