                 pdb     free_param_best         sp_cor_best                nres      sp_cor_dist_Bf     sp_cor_wcn_dist       sp_cor_wcn_bf
              1CDG_A               2.800              -0.504                 686              0.5410             -0.6541             -0.6746
              1CEL_A              33.000              -0.406                 433              0.5622             -0.9919             -0.6002
              1CHD_A               1.800              -0.356                 198              0.6928             -0.8846             -0.7324
              1CHK_B               3.800              -0.344                 238              0.2873             -0.6760             -0.4370
              1CM0_A               3.000              -0.286                 162              0.7732             -0.9009             -0.7752
              1CNS_A               2.400              -0.453                 243              0.5978             -0.8112             -0.6973
              1COY_A               2.200              -0.547                 501              0.5904             -0.7489             -0.7346
              1CQQ_A               2.800              -0.347                 180              0.6286             -0.9291             -0.6839
              1CVR_A              20.000              -0.717                 432              0.7250             -0.9753             -0.8162
              1CWY_A              13.800              -0.632                 500              0.5159             -0.9646             -0.6405
              1CZ1_A               2.600              -0.565                 394              0.7644             -0.8804             -0.8459
              1CZF_A               3.200              -0.492                 335              0.5555             -0.7093             -0.6822
              1D1Q_A              12.600              -0.472                 159              0.7280             -0.9918             -0.7634
              1D4C_A               4.600              -0.337                 570              0.6656             -0.8223             -0.6903
              1D6O_A               5.200              -0.632                 107              0.4237             -0.9110             -0.6219
              1DDJ_A               3.400              -0.434                 247              0.6678             -0.9331             -0.7393
              1DGK_N               8.000              -0.792                 898              0.1247             -0.3540             -0.7790
              1DGS_A               4.800              -0.553                 581              0.2632             -0.5631             -0.5887
              1DIN_A               2.200              -0.433                 232              0.6996             -0.8601             -0.7597
              1DNP_A               2.600              -0.515                 469              0.5970             -0.5761             -0.6817
              1DVE_A              12.000              -0.264                 214              0.5408             -0.9681             -0.5791
              1E0C_A               2.400              -0.522                 270              0.5414             -0.7339             -0.6952
              1E1A_A               3.400              -0.476                 312              0.7823             -0.9472             -0.8362
              1E6E_A               4.600              -0.633                 457              0.4155             -0.7458             -0.6937
              1EB6_A               2.600              -0.388                 177              0.7591             -0.8556             -0.7804
              1EH5_A              49.200              -0.088                 279              0.7909             -0.9951             -0.7924
              1EUG_A               3.600              -0.491                 225              0.6459             -0.9160             -0.7419
              1EUU_A               4.000              -0.547                 601              0.2158             -0.5989             -0.5573
              1EX1_A               3.600              -0.660                 602              0.4172             -0.7167             -0.7173
              1EXN_A               2.400              -0.440                 267              0.2777             -0.7003             -0.4963
              1EXP_A               2.800              -0.339                 312              0.6625             -0.8347             -0.6930
              1EYP_A               3.400              -0.352                 212              0.3711             -0.9116             -0.4727
              1FF3_A              18.000              -0.543                 210              0.5572             -0.9907             -0.6134
              1FGH_A               3.200              -0.487                 753              0.7614             -0.8482             -0.8129
              1FHL_A               3.600              -0.378                 334              0.4876             -0.8549             -0.5879
              1FOA_A               3.200              -0.476                 342              0.5026             -0.7780             -0.6498
              1G24_A              48.600              -0.217                 210              0.5276             -0.9920             -0.5466
              1G6T_A               3.400              -0.553                 427              0.6743             -0.7199             -0.7688
              1G8O_A               3.600              -0.407                 287              0.5831             -0.9236             -0.6655
              1GA8_A              16.400              -0.249                 271              0.7391             -0.9864             -0.7566
              1GAL_A               2.400              -0.352                 581              0.6631             -0.7181             -0.6594
              1GCU_A              15.200              -0.543                 292              0.6738             -0.9576             -0.7609
              1GOG_A              23.800              -0.654                 639              0.5834             -0.9734             -0.6897
              1GP5_A               3.000              -0.450                 346              0.6951             -0.8270             -0.7567
              1GQ8_A               4.400              -0.660                 318              0.5455             -0.8720             -0.7465
              1H19_A               3.200              -0.539                 610              0.5453             -0.7877             -0.7080
              1H3I_A               3.200              -0.540                 293              0.3196             -0.6749             -0.5934
              1HKA_A              23.400              -0.393                 158              0.6108             -0.9929             -0.6435
              1HPL_A              10.000              -0.564                 449              0.6552             -0.8594             -0.7810
              1HPM_A               2.400              -0.429                 378              0.7460             -0.7703             -0.7568
              1HQC_A               2.000              -0.521                 314              0.2968             -0.4460             -0.5780
              1I1E_A               5.200              -0.710                1287              0.1793             -0.5344             -0.6859
              1I1I_P               3.800              -0.463                 665              0.5427             -0.7696             -0.6662
              1I9A_A               2.400              -0.284                 175              0.2911             -0.8638             -0.3884
              1IDJ_A               6.000              -0.530                 359              0.6426             -0.9152             -0.7516
              1IG8_A               2.400              -0.542                 469              0.4611             -0.6656             -0.6657
              1IM5_A               4.400              -0.478                 179              0.6147             -0.9550             -0.6987
              1INP_A               2.600              -0.341                 400              0.7479             -0.8384             -0.7506
              1IU4_A               4.000              -0.484                 331              0.5984             -0.8265             -0.7131
              1J00_A               1.000              -0.163                 176              0.6248             -0.7295             -0.5431
              1J09_A              42.200              -0.702                 468              0.2838             -0.9609             -0.4592
              1JH6_A               3.000              -0.465                 181              0.5560             -0.7936             -0.6764
              1JMS_A               3.000              -0.457                 360              0.5250             -0.6533             -0.6377
              1JOA_A               2.200              -0.355                 446              0.4096             -0.5827             -0.5021
              1JS4_A               3.000              -0.591                 605              0.5320             -0.5864             -0.7173
              1K30_A               3.600              -0.443                 363              0.5730             -0.8205             -0.6777
              1KL7_A              19.000              -0.248                 503              0.5380             -0.9919             -0.5601
              1KNP_A               1.600              -0.129                 529              0.6528             -0.7756             -0.5679
              1L1D_A              35.800              -0.345                 142              0.6765             -0.9973             -0.6935
              1L1L_A               3.400              -0.421                 717              0.6185             -0.7762             -0.6886
              1L6P_A               5.400              -0.603                 121              0.4605             -0.7671             -0.6968
              1L7N_A               4.000              -0.622                 207              0.4461             -0.8715             -0.6619
              1L7Q_A               4.600              -0.435                 571              0.6175             -0.7849             -0.6966
              1L8T_A              29.000              -0.430                 263              0.5517             -0.9909             -0.5949
              1L9X_A               3.400              -0.426                 288              0.6916             -0.9274             -0.7566
              1LBA_A              23.200              -0.248                 146              0.6944             -0.9950             -0.7088
              1LDM_A              50.000               0.177                 329              0.6650             -0.9878             -0.6364
              1LJL_A              13.400              -0.271                 130              0.7571             -0.9871             -0.7758
              1LVH_A              46.200              -0.504                 220              0.6506             -0.9785             -0.7155
              1M53_A               3.000              -0.427                 556              0.5123             -0.7979             -0.6300
              1MBB_A               4.600              -0.454                 340              0.6404             -0.8501             -0.7278
              1MJ9_A              10.600              -0.456                 273              0.7101             -0.9236             -0.7790
              1MLA_A               3.600              -0.331                 305              0.5971             -0.8141             -0.6402
              1MRQ_A               3.000              -0.386                 323              0.5819             -0.8575             -0.6603
              1MUD_A               3.000              -0.589                 225              0.2267             -0.6899             -0.5715
              1MUG_A              32.000              -0.109                 165              0.4797             -0.9977             -0.4850
              1NDH_A               8.400              -0.395                 270              0.5049             -0.9561             -0.5827
              1NDI_A               3.800              -0.261                 596              0.4976             -0.7760             -0.5288
              1NLU_A               9.200              -0.422                 368              0.7377             -0.9907             -0.7695
              1O8A_A               4.000              -0.425                 574              0.6149             -0.8797             -0.7003
              1O98_A               3.200              -0.611                 509              0.5696             -0.7140             -0.7581
              1OG1_A              12.000              -0.629                 223              0.4884             -0.9745             -0.5990
              1OGO_X               7.800              -0.478                 572              0.6703             -0.9456             -0.7493
              1OJ4_A               4.400              -0.562                 277              0.5950             -0.8493             -0.7438
              1ONR_A               1.800              -0.243                 316              0.7286             -0.7859             -0.6756
              1OPM_A              11.800              -0.412                 310              0.5256             -0.9574             -0.6044
              1OXA_A               4.800              -0.418                 403              0.7425             -0.8958             -0.7894
              1OYG_A               2.200              -0.534                 440              0.3787             -0.8066             -0.5974
              1P1X_A               6.400              -0.417                 250              0.7536             -0.9459             -0.8019
              1P3D_A               3.200              -0.285                 449              0.4804             -0.7907             -0.5327
              1P5D_X               3.200              -0.580                 454              0.3361             -0.7613             -0.6100
              1PA9_A               3.400              -0.448                 279              0.7062             -0.9089             -0.7742
              1PII_A               2.800              -0.582                 452              0.3673             -0.5032             -0.6526
              1PKN_A               2.400              -0.339                 514              0.3500             -0.6588             -0.4693
              1PMI_A               3.000              -0.675                 440              0.4780             -0.6557             -0.7612
              1PP4_A               3.400              -0.567                 233              0.6762             -0.8973             -0.7913
              1PS9_A              33.200              -0.486                 671              0.6429             -0.9794             -0.7048
              1PTD_A              17.400              -0.260                 296              0.6999             -0.9899             -0.7191
              1PUD_A               3.600              -0.391                 372              0.3225             -0.8466             -0.4700
              1PYL_A               2.000              -0.360                  95              0.6454             -0.8199             -0.6868
              1Q91_A               2.000              -0.213                 194              0.7608             -0.7262             -0.6474
              1QAM_A               5.200              -0.571                 235              0.5565             -0.7322             -0.7307
              1QAZ_A               3.600              -0.547                 351              0.6925             -0.9084             -0.7940
              1QBA_A               2.800              -0.503                 858              0.6519             -0.6788             -0.7229
              1QFM_A               3.000              -0.652                 705              0.5277             -0.7213             -0.7644
              1QGX_A               2.600              -0.517                 354              0.7445             -0.8153             -0.8070
              1QJE_A               3.400              -0.471                 327              0.6362             -0.8790             -0.7327
              1QK2_A               6.600              -0.378                 363              0.6318             -0.9746             -0.6814
              1QWN_A               3.400              -0.705                1014              0.7291             -0.7464             -0.8654
              1R1J_A               2.200              -0.530                 696              0.6009             -0.4841             -0.6615
              1R44_A               1.000              -0.401                 202              0.7426             -0.6123             -0.6672
              1R4Z_A               5.600              -0.503                 179              0.6521             -0.9827             -0.7114
              1RBN_A               3.400              -0.571                 124              0.6094             -0.8109             -0.7592
              1RDD_A              49.600               0.063                 155              0.5590             -0.9954             -0.5514
              1RU4_A               8.600              -0.551                 400              0.6272             -0.9147             -0.7472
              1S3I_A               2.600              -0.464                 307              0.5966             -0.4531             -0.6022
              1S95_A               5.000              -0.332                 324              0.2787             -0.9253             -0.3786
              1SCA_A               6.200              -0.323                 274              0.7014             -0.9804             -0.7330
              1SLL_A               2.800              -0.619                 679              0.4819             -0.5789             -0.7212
              1SML_A               2.000              -0.138                 266              0.7662             -0.8852             -0.7197
              1SNZ_A               3.200              -0.491                 344              0.6172             -0.8713             -0.7272
              1TAH_B               6.400              -0.421                 318              0.4550             -0.9453             -0.5524
              1TLP_E               2.600              -0.609                 316              0.4364             -0.6757             -0.6990
              1U3F_A               0.600              -0.252                 164              0.6964             -0.5070             -0.5091
              1U5U_A               1.800              -0.191                 366              0.6631             -0.7258             -0.5797
              1UAS_A               3.400              -0.535                 362              0.7192             -0.7316             -0.7795
              1UN1_A               6.400              -0.334                 267              0.6732             -0.9372             -0.7172
              1VID_A              12.800              -0.310                 213              0.6663             -0.9775             -0.7000
              1VLB_A               3.200              -0.476                 907              0.8188             -0.8335             -0.8333
              1VNC_A               2.600              -0.402                 576              0.6634             -0.7837             -0.7068
              1VQ1_A               3.600              -0.254                 263              0.0556             -0.7132             -0.2173
              1W0H_A               3.400              -0.517                 194              0.3727             -0.8512             -0.5692
              1XQW_A               1.600              -0.251                 290              0.7466             -0.8113             -0.7034
              1Y9M_A               4.000              -0.532                 517              0.6112             -0.7790             -0.7400
              1YON_A               4.600              -0.561                 292              0.3518             -0.8169             -0.5901
              1YSC_A               2.800              -0.304                 421              0.4506             -0.8674             -0.5259
              1ZE1_A               2.600              -0.240                 308              0.4089             -0.5194             -0.3993
              1ZIO_A               1.800              -0.556                 217              0.5779             -0.6707             -0.7244
              206L_A               7.800              -0.629                 162              0.5412             -0.8769             -0.7289
              2A0N_A               1.800              -0.435                 251              0.3059             -0.8252             -0.4862
              2ABK_A               2.400              -0.451                 211              0.5012             -0.5088             -0.5913
              2ACY_A               7.200              -0.568                  98              0.6079             -0.9446             -0.7221
              2AYH_A               2.200              -0.332                 214              0.5408             -0.7739             -0.5952
              2CPO_A               4.400              -0.376                 298              0.7757             -0.9354             -0.8095
              2CPU_A               3.400              -0.579                 495              0.5142             -0.7063             -0.7148
              2DLN_A              19.800              -0.112                 306              0.7792             -0.9790             -0.7772
              2EBN_A               5.200              -0.525                 285              0.6804             -0.8813             -0.7815
              2ENG_A               3.200              -0.626                 205              0.7116             -0.8796             -0.8350
              2F61_A               2.600              -0.323                 497              0.3323             -0.6978             -0.4504
              2F9R_A               2.800              -0.427                 285              0.6064             -0.9022             -0.6934
              2NLR_A               2.600              -0.212                 222              0.7507             -0.8615             -0.7178
              2NMT_A               5.400              -0.069                 422              0.5028             -0.9081             -0.4818
              2PEC_A               3.400              -0.559                 352              0.6285             -0.8565             -0.7628
              2PIA_A               2.800              -0.441                 321              0.5260             -0.7362             -0.6409
              2PTH_A               6.200              -0.401                 193              0.7516             -0.9733             -0.7923
              2SQC_A               2.600              -0.427                 623              0.7046             -0.7161             -0.7159
              2THI_A               3.000              -0.558                 362              0.4839             -0.7504             -0.6859
              2TPS_A               6.400              -0.507                 226              0.7439             -0.9638             -0.8073
              5EAT_A               3.400              -0.397                 532              0.5646             -0.7466             -0.6397
              7ATJ_A               2.800              -0.464                 305              0.6433             -0.7552             -0.7189
