"pdb","vorvol","variable","value"
"13PK_A","mvAA","resvol",0.256922718012574
"13PK_A","mvAA","rsa",0.901041703328164
"13PK_A","mvAA","seqent",0.463373000528573
"13PK_A","mvCA","asa",0.820857986354577
"13PK_A","mvCA","ddgent",0.732463465903749
"13PK_A","mvCA","hbe_mean",0.339876976147779
"13PK_A","mvCA","hpshh",0.381007838463909
"13PK_A","mvCA","resvol",0.136166192254419
"13PK_A","mvCA","rsa",0.841924613592684
"13PK_A","mvCA","seqent",0.431941943449486
"13PK_A","mvSC","asa",0.906431571443081
"13PK_A","mvSC","ddgent",0.774993787860472
"13PK_A","mvSC","hbe_mean",0.270979185617798
"13PK_A","mvSC","hpshh",0.455559000176215
"13PK_A","mvSC","resvol",0.209979787146121
"13PK_A","mvSC","rsa",0.912725810795602
"13PK_A","mvSC","seqent",0.487541361194997
"13PK_A","vAA","asa",0.898457496586216
"13PK_A","vAA","ddgent",0.757508294045748
"13PK_A","vAA","hbe_mean",0.332414356532591
"13PK_A","vAA","hpshh",0.426525685598361
"13PK_A","vAA","resvol",0.259598862582736
"13PK_A","vAA","rsa",0.905142544825066
"13PK_A","vAA","seqent",0.462260941614747
"13PK_A","vCA","asa",0.82548999440687
"13PK_A","vCA","ddgent",0.732256618447032
"13PK_A","vCA","hbe_mean",0.344736385651033
"13PK_A","vCA","hpshh",0.382510174035023
"13PK_A","vCA","resvol",0.137444376069699
"13PK_A","vCA","rsa",0.847162046343974
"13PK_A","vCA","seqent",0.429405686417681
"13PK_A","vSC","asa",0.909541995651488
"13PK_A","vSC","ddgent",0.77386468952734
"13PK_A","vSC","hbe_mean",0.274364996002376
"13PK_A","vSC","hpshh",0.458199807983022
"13PK_A","vSC","resvol",0.212069041606016
"13PK_A","vSC","rsa",0.915905313026975
"13PK_A","vSC","seqent",0.488218138796681
"1A26_A","fvAA","asa",0.900433020160734
"1A26_A","fvAA","ddgent",0.787012432012432
"1A26_A","fvAA","hbe_mean",0.37480456401167
"1A26_A","fvAA","hpshh",0.53933216443871
"1A26_A","fvAA","resvol",-0.194814007548784
"1A26_A","fvAA","rsa",0.928397532732354
"1A26_A","fvAA","seqent",0.556029803529804
"1A26_A","fvCA","asa",0.795304878320247
"1A26_A","fvCA","ddgent",0.741867576867577
"1A26_A","fvCA","hbe_mean",0.386355130251746
"1A26_A","fvCA","hpshh",0.434643570048589
"1A26_A","fvCA","resvol",-0.268257576500788
"1A26_A","fvCA","rsa",0.845334677712522
"1A26_A","fvCA","seqent",0.52030525030525
"1A26_A","fvSC","asa",0.884801822536097
"1A26_A","fvSC","ddgent",0.775240592740593
"1A26_A","fvSC","hbe_mean",0.304440340807201
"1A26_A","fvSC","hpshh",0.553699166500881
"1A26_A","fvSC","resvol",-0.228229727235277
"1A26_A","fvSC","rsa",0.910820128201454
"1A26_A","fvSC","seqent",0.536960816960817
"1A26_A","mvAA","asa",0.916381478410219
"1A26_A","mvAA","ddgent",0.782610167610168
"1A26_A","mvAA","hbe_mean",0.34562949626023
"1A26_A","mvAA","hpshh",0.47800756957411
"1A26_A","mvAA","resvol",0.01935239040612
"1A26_A","mvAA","rsa",0.931500073111704
"1A26_A","mvAA","seqent",0.565045232545233
"1A26_A","mvCA","asa",0.825319483642638
"1A26_A","mvCA","ddgent",0.750013042513042
"1A26_A","mvCA","hbe_mean",0.364225449936446
"1A26_A","mvCA","hpshh",0.395326413557686
"1A26_A","mvCA","resvol",-0.0874609428352978
"1A26_A","mvCA","rsa",0.862155371853187
"1A26_A","mvCA","seqent",0.540294427794428
"1A26_A","mvSC","asa",0.914961723223457
"1A26_A","mvSC","ddgent",0.787422854922855
"1A26_A","mvSC","hbe_mean",0.27180246242471
"1A26_A","mvSC","hpshh",0.506443672200749
"1A26_A","mvSC","resvol",-0.0310982546624004
"1A26_A","mvSC","rsa",0.927583596813341
"1A26_A","mvSC","seqent",0.555602730602731
"1A26_A","vAA","asa",0.921387917745043
"1A26_A","vAA","ddgent",0.785444832944833
"1A26_A","vAA","hbe_mean",0.348057987893477
"1A26_A","vAA","hpshh",0.480328336283803
"1A26_A","vAA","resvol",0.0265795400864619
"1A26_A","vAA","rsa",0.935500304249514
"1A26_A","vAA","seqent",0.563537851037851
"1A26_A","vCA","asa",0.829798636930213
"1A26_A","vCA","ddgent",0.7521114996115
"1A26_A","vCA","hbe_mean",0.367671468322933
"1A26_A","vCA","hpshh",0.397919908949449
"1A26_A","vCA","resvol",-0.0865291238264544
"1A26_A","vCA","rsa",0.867146354682178
"1A26_A","vCA","seqent",0.535898268398268
"1A26_A","vSC","asa",0.919966773501256
"1A26_A","vSC","ddgent",0.788680763680764
"1A26_A","vSC","hbe_mean",0.275231411008872
"1A26_A","vSC","hpshh",0.508645806801413
"1A26_A","vSC","resvol",-0.0240684757299967
"1A26_A","vSC","rsa",0.932071217224158
"1A26_A","vSC","seqent",0.553474303474303
"1A2T_A","fvAA","asa",0.87992891367616
"1A2T_A","fvAA","ddgent",0.74413147296101
"1A2T_A","fvAA","hbe_mean",0.379371820693944
"1A2T_A","fvAA","hpshh",0.452131249288892
"1A2T_A","fvAA","resvol",0.150274798307089
"1A2T_A","fvAA","rsa",0.925222978101542
"1A2T_A","fvAA","seqent",0.475827568493776
"1A2T_A","fvCA","asa",0.796717213955653
"1A2T_A","fvCA","ddgent",0.715178493497425
"1A2T_A","fvCA","hbe_mean",0.403750779437529
"1A2T_A","fvCA","hpshh",0.399530960760001
"1A2T_A","fvCA","resvol",0.049506329291566
"1A2T_A","fvCA","rsa",0.85664644786075
"1A2T_A","fvCA","seqent",0.391295131599196
"1A2T_A","fvSC","asa",0.86387598785891
"1A2T_A","fvSC","ddgent",0.758655344829736
"1A2T_A","fvSC","hbe_mean",0.278954857200337
"1A2T_A","fvSC","hpshh",0.478955669705714
"1A2T_A","fvSC","resvol",0.117328269693585
"1A2T_A","fvSC","rsa",0.909325838991398
"1A2T_A","fvSC","seqent",0.503952677597741
"1A2T_A","mvAA","asa",0.891015988043647
"1A2T_A","mvAA","ddgent",0.74330852005636
"1A2T_A","mvAA","hbe_mean",0.370089706145199
"1A2T_A","mvAA","hpshh",0.410937408027458
"1A2T_A","mvAA","resvol",0.264628223468081
"1A2T_A","mvAA","rsa",0.926505528643468
"1A2T_A","mvAA","seqent",0.494356524039303
"1A2T_A","mvCA","asa",0.814579306758369
"1A2T_A","mvCA","ddgent",0.727697352834823
"1A2T_A","mvCA","hbe_mean",0.39209637493021
"1A2T_A","mvCA","hpshh",0.376114960961493
"1A2T_A","mvCA","resvol",0.146078411373675
"1A2T_A","mvCA","rsa",0.868176926565502
"1A2T_A","mvCA","seqent",0.432323176906734
"1A2T_A","mvSC","asa",0.880897129938727
"1A2T_A","mvSC","ddgent",0.765238968066934
"1A2T_A","mvSC","hbe_mean",0.282584386001311
"1A2T_A","mvSC","hpshh",0.42763166202509
"1A2T_A","mvSC","resvol",0.239715781733074
"1A2T_A","mvSC","rsa",0.914718040783427
"1A2T_A","mvSC","seqent",0.525504122257827
"1A2T_A","vAA","asa",0.909509417739223
"1A2T_A","vAA","ddgent",0.761253880971085
"1A2T_A","vAA","hbe_mean",0.380105210018677
"1A2T_A","vAA","hpshh",0.417408902681615
"1A2T_A","vAA","resvol",0.289706213043856
"1A2T_A","vAA","rsa",0.94323857131693
"1A2T_A","vAA","seqent",0.486082086017761
"1A2T_A","vCA","asa",0.832888076651291
"1A2T_A","vCA","ddgent",0.742874599433908
"1A2T_A","vCA","hbe_mean",0.403780713695681
"1A2T_A","vCA","hpshh",0.380674536854716
"1A2T_A","vCA","resvol",0.17118900885748
"1A2T_A","vCA","rsa",0.883165800311324
"1A2T_A","vCA","seqent",0.416886536956961
"1A2T_A","vSC","asa",0.904867968645474
"1A2T_A","vSC","ddgent",0.785648200102246
"1A2T_A","vSC","hbe_mean",0.288182092275802
"1A2T_A","vSC","hpshh",0.452238857281981
"1A2T_A","vSC","resvol",0.271265186902518
"1A2T_A","vSC","rsa",0.935707953543517
"1A2T_A","vSC","seqent",0.523284637677004
"1A4L_A","fvAA","asa",0.876433016291907
"1A4L_A","fvAA","ddgent",0.750629202215156
"1A4L_A","fvAA","hbe_mean",0.298503128835808
"1A4L_A","fvAA","hpshh",0.500055329057706
"1A4L_A","fvAA","resvol",-0.115465278800011
"1A4L_A","fvAA","rsa",0.895047667915789
"1A4L_A","fvAA","seqent",0.502403334030921
"1A4L_A","fvCA","asa",0.789235918912339
"1A4L_A","fvCA","ddgent",0.68944161809255
"1A4L_A","fvCA","hbe_mean",0.358698190183745
"1A4L_A","fvCA","hpshh",0.410566189871497
"1A4L_A","fvCA","resvol",-0.19194002341319
"1A4L_A","fvCA","rsa",0.820863742524144
"1A4L_A","fvCA","seqent",0.424628608529445
"1A4L_A","fvSC","asa",0.870955765206646
"1A4L_A","fvSC","ddgent",0.750810581018665
"1A4L_A","fvSC","hbe_mean",0.22999656009235
"1A4L_A","fvSC","hpshh",0.48979524781001
"1A4L_A","fvSC","resvol",-0.13531374692707
"1A4L_A","fvSC","rsa",0.890553658055587
"1A4L_A","fvSC","seqent",0.533449100206759
"1A4L_A","mvAA","asa",0.911969475248111
"1A4L_A","mvAA","ddgent",0.774720122825056
"1A4L_A","mvAA","hbe_mean",0.28332531498633
"1A4L_A","mvAA","hpshh",0.443104102101451
"1A4L_A","mvAA","resvol",0.183027345670305
"1A4L_A","mvAA","rsa",0.917582238942133
"1A4L_A","mvAA","seqent",0.523745073725551
"1A4L_A","mvCA","asa",0.845802681894113
"1A4L_A","mvCA","ddgent",0.729016935427153
"1A4L_A","mvCA","hbe_mean",0.346169697796261
"1A4L_A","mvCA","hpshh",0.374155385896481
"1A4L_A","mvCA","resvol",0.0769157454179384
"1A4L_A","mvCA","rsa",0.864204562627596
"1A4L_A","mvCA","seqent",0.46303283433969
"1A4L_A","mvSC","asa",0.912641549069689
"1A4L_A","mvSC","ddgent",0.784733827317698
"1A4L_A","mvSC","hbe_mean",0.2129228544963
"1A4L_A","mvSC","hpshh",0.425203106779802
"1A4L_A","mvSC","resvol",0.131439832270215
"1A4L_A","mvSC","rsa",0.919851252949653
"1A4L_A","mvSC","seqent",0.576240354655383
"1A4L_A","vAA","asa",0.916829714672555
"1A4L_A","vAA","ddgent",0.77963585856098
"1A4L_A","vAA","hbe_mean",0.287837634174057
"1A4L_A","vAA","hpshh",0.447586520575622
"1A4L_A","vAA","resvol",0.188559589228846
"1A4L_A","vAA","rsa",0.92141540295332
"1A4L_A","vAA","seqent",0.52608508809241
"1A4L_A","vCA","asa",0.850389904771452
"1A4L_A","vCA","ddgent",0.735496458272767
"1A4L_A","vCA","hbe_mean",0.349457818294993
"1A4L_A","vCA","hpshh",0.38116451524279
"1A4L_A","vCA","resvol",0.0825037575607385
"1A4L_A","vCA","rsa",0.867835701947687
"1A4L_A","vCA","seqent",0.463162392204976
"1A4L_A","vSC","asa",0.91513727018438
"1A4L_A","vSC","ddgent",0.785654388811804
"1A4L_A","vSC","hbe_mean",0.219639357876997
"1A4L_A","vSC","hpshh",0.428360603623239
"1A4L_A","vSC","resvol",0.132034697168983
"1A4L_A","vSC","rsa",0.92236186497314
"1A4L_A","vSC","seqent",0.575307538025323
"1A65_A","fvAA","asa",0.860628077859403
"1A65_A","fvAA","ddgent",0.705783983177409
"1A65_A","fvAA","hbe_mean",0.468930616409624
"1A65_A","fvAA","hpshh",0.261860652154327
"1A65_A","fvAA","resvol",-0.358100425741969
"1A65_A","fvAA","rsa",0.886778327713019
"1A65_A","fvAA","seqent",0.49295087689037
"1A65_A","fvCA","asa",0.756450624116734
"1A65_A","fvCA","ddgent",0.6402130357881
"1A65_A","fvCA","hbe_mean",0.454073933216834
"1A65_A","fvCA","hpshh",0.221359268973432
"1A65_A","fvCA","resvol",-0.463607568780179
"1A65_A","fvCA","rsa",0.805856091965314
"1A65_A","fvCA","seqent",0.428801728076969
"1A65_A","fvSC","asa",0.84520722365755
"1A65_A","fvSC","ddgent",0.72560131900722
"1A65_A","fvSC","hbe_mean",0.404851331566151
"1A65_A","fvSC","hpshh",0.254150499942235
"1A65_A","fvSC","resvol",-0.395793896023225
"1A65_A","fvSC","rsa",0.8723080816518
"1A65_A","fvSC","seqent",0.50203798568539
"1A65_A","mvAA","asa",0.864700175415579
"1A65_A","mvAA","ddgent",0.717600137862132
"1A65_A","mvAA","hbe_mean",0.367076251881518
"1A65_A","mvAA","hpshh",0.188377693442451
"1A65_A","mvAA","resvol",-0.0326784256290684
"1A65_A","mvAA","rsa",0.868443916466342
"1A65_A","mvAA","seqent",0.464286572122801
"1A65_A","mvCA","asa",0.783199537140393
"1A65_A","mvCA","ddgent",0.668938123683085
"1A65_A","mvCA","hbe_mean",0.383669959322531
"1A65_A","mvCA","hpshh",0.153282938198551
"1A65_A","mvCA","resvol",-0.211926750201074
"1A65_A","mvCA","rsa",0.812413492058557
"1A65_A","mvCA","seqent",0.424312107900087
"1A65_A","mvSC","asa",0.86150022962743
"1A65_A","mvSC","ddgent",0.748055748488794
"1A65_A","mvSC","hbe_mean",0.306643936274793
"1A65_A","mvSC","hpshh",0.168333883570771
"1A65_A","mvSC","resvol",-0.0767517449075765
"1A65_A","mvSC","rsa",0.864680126082344
"1A65_A","mvSC","seqent",0.480661579377114
"1A65_A","vAA","asa",0.868675068195561
"1A65_A","vAA","ddgent",0.720095022514374
"1A65_A","vAA","hbe_mean",0.370126691731818
"1A65_A","vAA","hpshh",0.189420844164241
"1A65_A","vAA","resvol",-0.0292678440687507
"1A65_A","vAA","rsa",0.871524808326162
"1A65_A","vAA","seqent",0.464379649345051
"1A65_A","vCA","asa",0.78777768846679
"1A65_A","vCA","ddgent",0.670193298961222
"1A65_A","vCA","hbe_mean",0.385309489292938
"1A65_A","vCA","hpshh",0.153681494298803
"1A65_A","vCA","resvol",-0.210825212267977
"1A65_A","vCA","rsa",0.817076651378465
"1A65_A","vCA","seqent",0.425911573882445
"1A65_A","vSC","asa",0.864474858252903
"1A65_A","vSC","ddgent",0.749987674143728
"1A65_A","vSC","hbe_mean",0.308455036701898
"1A65_A","vSC","hpshh",0.169880901195591
"1A65_A","vSC","resvol",-0.074073860224332
"1A65_A","vSC","rsa",0.866771813026473
"1A65_A","vSC","seqent",0.480145764744647
"1A8H_A","fvAA","asa",0.870817842488482
"1A8H_A","fvAA","ddgent",0.753987754046722
"1A8H_A","fvAA","hbe_mean",0.446130598024249
"1A8H_A","fvAA","hpshh",0.573141613832099
"1A8H_A","fvAA","resvol",-0.13748363697286
"1A8H_A","fvAA","rsa",0.902386343270886
"1A8H_A","fvAA","seqent",0.294473865675806
"1A8H_A","fvCA","asa",0.731781458557166
"1A8H_A","fvCA","ddgent",0.671583262333049
"1A8H_A","fvCA","hbe_mean",0.473622823507552
"1A8H_A","fvCA","hpshh",0.477439873206105
"1A8H_A","fvCA","resvol",-0.282097942174006
"1A8H_A","fvCA","rsa",0.791613934559406
"1A8H_A","fvCA","seqent",0.251361955787553
"1A8H_A","fvSC","asa",0.845227730595014
"1A8H_A","fvSC","ddgent",0.762282313129253
"1A8H_A","fvSC","hbe_mean",0.370353051761354
"1A8H_A","fvSC","hpshh",0.564093856359903
"1A8H_A","fvSC","resvol",-0.191979076197957
"1A8H_A","fvSC","rsa",0.881671317985734
"1A8H_A","fvSC","seqent",0.30561489250363
"1A8H_A","mvAA","asa",0.895982225889291
"1A8H_A","mvAA","ddgent",0.741158664210274
"1A8H_A","mvAA","hbe_mean",0.412614098478657
"1A8H_A","mvAA","hpshh",0.525267537333816
"1A8H_A","mvAA","resvol",0.108811089695058
"1A8H_A","mvAA","rsa",0.907454849796645
"1A8H_A","mvAA","seqent",0.28521432215063
"1A8H_A","mvCA","asa",0.783005298014442
"1A8H_A","mvCA","ddgent",0.684905348059121
"1A8H_A","mvCA","hbe_mean",0.456631211839666
"1A8H_A","mvCA","hpshh",0.455482195045004
"1A8H_A","mvCA","resvol",-0.0732401126518926
"1A8H_A","mvCA","rsa",0.824040695927338
"1A8H_A","mvCA","seqent",0.25128529099566
"1A8H_A","mvSC","asa",0.886174522411336
"1A8H_A","mvSC","ddgent",0.762238248952996
"1A8H_A","mvSC","hbe_mean",0.338533732239309
"1A8H_A","mvSC","hpshh",0.522850573575838
"1A8H_A","mvSC","resvol",0.0403804219875885
"1A8H_A","mvSC","rsa",0.902572037043984
"1A8H_A","mvSC","seqent",0.297293683764985
"1A8H_A","vAA","asa",0.901596604244042
"1A8H_A","vAA","ddgent",0.747879555416441
"1A8H_A","vAA","hbe_mean",0.414943988986402
"1A8H_A","vAA","hpshh",0.525211942883106
"1A8H_A","vAA","resvol",0.111524158998172
"1A8H_A","vAA","rsa",0.913420786906771
"1A8H_A","vAA","seqent",0.2857702696586
"1A8H_A","vCA","asa",0.787704851719488
"1A8H_A","vCA","ddgent",0.690941756349628
"1A8H_A","vCA","hbe_mean",0.461788742721779
"1A8H_A","vCA","hpshh",0.454575451982368
"1A8H_A","vCA","resvol",-0.0714526691550212
"1A8H_A","vCA","rsa",0.829504736991559
"1A8H_A","vCA","seqent",0.253931658681221
"1A8H_A","vSC","asa",0.892011327846504
"1A8H_A","vSC","ddgent",0.768550946203785
"1A8H_A","vSC","hbe_mean",0.341120659028034
"1A8H_A","vSC","hpshh",0.523636693511263
"1A8H_A","vSC","resvol",0.0439953396034692
"1A8H_A","vSC","rsa",0.908637025304426
"1A8H_A","vSC","seqent",0.298189632978778
"1A8S_A","fvAA","asa",0.870285247078868
"1A8S_A","fvAA","ddgent",0.702903311801981
"1A8S_A","fvAA","hbe_mean",0.3834476082203
"1A8S_A","fvAA","hpshh",0.377386282569025
"1A8S_A","fvAA","resvol",-0.176868779249381
"1A8S_A","fvAA","rsa",0.894227147799811
"1A8S_A","fvAA","seqent",0.388354446403416
"1A8S_A","fvCA","asa",0.74952086262444
"1A8S_A","fvCA","ddgent",0.633166264821482
"1A8S_A","fvCA","hbe_mean",0.391531022287358
"1A8S_A","fvCA","hpshh",0.302874246625817
"1A8S_A","fvCA","resvol",-0.293536931670452
"1A8S_A","fvCA","rsa",0.802123973627121
"1A8S_A","fvCA","seqent",0.40156360677076
"1A8S_A","fvSC","asa",0.854556541980596
"1A8S_A","fvSC","ddgent",0.70952667984656
"1A8S_A","fvSC","hbe_mean",0.354360000914226
"1A8S_A","fvSC","hpshh",0.399044760691468
"1A8S_A","fvSC","resvol",-0.223897204876306
"1A8S_A","fvSC","rsa",0.881861158102412
"1A8S_A","fvSC","seqent",0.406564560852097
"1A8S_A","mvAA","asa",0.907260495707957
"1A8S_A","mvAA","ddgent",0.725203950193216
"1A8S_A","mvAA","hbe_mean",0.350581251867954
"1A8S_A","mvAA","hpshh",0.290834268657349
"1A8S_A","mvAA","resvol",0.110746497628294
"1A8S_A","mvAA","rsa",0.915790549064514
"1A8S_A","mvAA","seqent",0.38510738003345
"1A8S_A","mvCA","asa",0.797635480231789
"1A8S_A","mvCA","ddgent",0.672928295405754
"1A8S_A","mvCA","hbe_mean",0.357692473533442
"1A8S_A","mvCA","hpshh",0.235241099917283
"1A8S_A","mvCA","resvol",-0.0334580901563326
"1A8S_A","mvCA","rsa",0.832705817464175
"1A8S_A","mvCA","seqent",0.402493488720306
"1A8S_A","mvSC","asa",0.903340579327111
"1A8S_A","mvSC","ddgent",0.747595416605721
"1A8S_A","mvSC","hbe_mean",0.318558779757383
"1A8S_A","mvSC","hpshh",0.312208614889716
"1A8S_A","mvSC","resvol",0.0465147613242404
"1A8S_A","mvSC","rsa",0.91446954524534
"1A8S_A","mvSC","seqent",0.412959600558397
"1A8S_A","vAA","asa",0.911804632701714
"1A8S_A","vAA","ddgent",0.735953505489787
"1A8S_A","vAA","hbe_mean",0.352651585140593
"1A8S_A","vAA","hpshh",0.294309192803104
"1A8S_A","vAA","resvol",0.115540401555834
"1A8S_A","vAA","rsa",0.917602388642121
"1A8S_A","vAA","seqent",0.385217680017316
"1A8S_A","vCA","asa",0.801688335219265
"1A8S_A","vCA","ddgent",0.689753891449898
"1A8S_A","vCA","hbe_mean",0.359061093904584
"1A8S_A","vCA","hpshh",0.236487614015683
"1A8S_A","vCA","resvol",-0.0328013463506503
"1A8S_A","vCA","rsa",0.835304411831471
"1A8S_A","vCA","seqent",0.409261012061962
"1A8S_A","vSC","asa",0.906235391341272
"1A8S_A","vSC","ddgent",0.753619555626855
"1A8S_A","vSC","hbe_mean",0.323387590984963
"1A8S_A","vSC","hpshh",0.312523200041684
"1A8S_A","vSC","resvol",0.0480924868583242
"1A8S_A","vSC","rsa",0.915558125633776
"1A8S_A","vSC","seqent",0.410670433513558
"1AF7_A","fvAA","asa",0.866187027022185
"1AF7_A","fvAA","ddgent",0.7706101198072
"1AF7_A","fvAA","hbe_mean",0.466809387521246
"1AF7_A","fvAA","hpshh",0.507999512213959
"1AF7_A","fvAA","resvol",-0.199207511357654
"1AF7_A","fvAA","rsa",0.906501868057539
"1AF7_A","fvAA","seqent",0.581523578982335
"1AF7_A","fvCA","asa",0.75376772718972
"1AF7_A","fvCA","ddgent",0.718492893967347
"1AF7_A","fvCA","hbe_mean",0.489680167729811
"1AF7_A","fvCA","hpshh",0.426400529199155
"1AF7_A","fvCA","resvol",-0.312025850287891
"1AF7_A","fvCA","rsa",0.819286052663087
"1AF7_A","fvCA","seqent",0.560826697028287
"1AF7_A","fvSC","asa",0.869699271947018
"1AF7_A","fvSC","ddgent",0.779808512655228
"1AF7_A","fvSC","hbe_mean",0.410448729611813
"1AF7_A","fvSC","hpshh",0.527996395707874
"1AF7_A","fvSC","resvol",-0.227273766093124
"1AF7_A","fvSC","rsa",0.907603802284317
"1AF7_A","fvSC","seqent",0.589298181434604
"1AF7_A","mvAA","asa",0.871323926249713
"1AF7_A","mvAA","ddgent",0.745683805245849
"1AF7_A","mvAA","hbe_mean",0.456706380676046
"1AF7_A","mvAA","hpshh",0.461156648121281
"1AF7_A","mvAA","resvol",-0.0156404530254944
"1AF7_A","mvAA","rsa",0.90014500464961
"1AF7_A","mvAA","seqent",0.594325683793248
"1AF7_A","mvCA","asa",0.780496080515549
"1AF7_A","mvCA","ddgent",0.712964991213166
"1AF7_A","mvCA","hbe_mean",0.480539324227824
"1AF7_A","mvCA","hpshh",0.401561402195057
"1AF7_A","mvCA","resvol",-0.134708053000733
"1AF7_A","mvCA","rsa",0.830653912304296
"1AF7_A","mvCA","seqent",0.581248810635744
"1AF7_A","mvSC","asa",0.888533984811688
"1AF7_A","mvSC","ddgent",0.769382734054267
"1AF7_A","mvSC","hbe_mean",0.415931135174476
"1AF7_A","mvSC","hpshh",0.478944003939927
"1AF7_A","mvSC","resvol",-0.0460284818297663
"1AF7_A","mvSC","rsa",0.915713477293696
"1AF7_A","mvSC","seqent",0.607483645698472
"1AF7_A","vAA","asa",0.882904810363868
"1AF7_A","vAA","ddgent",0.756428097449995
"1AF7_A","vAA","hbe_mean",0.460215155245125
"1AF7_A","vAA","hpshh",0.459079019450849
"1AF7_A","vAA","resvol",-0.00657503661843418
"1AF7_A","vAA","rsa",0.912543225377205
"1AF7_A","vAA","seqent",0.58807951672966
"1AF7_A","vCA","asa",0.788201575432574
"1AF7_A","vCA","ddgent",0.725252265982193
"1AF7_A","vCA","hbe_mean",0.487836361687025
"1AF7_A","vCA","hpshh",0.393948402206317
"1AF7_A","vCA","resvol",-0.143828302920153
"1AF7_A","vCA","rsa",0.843908381499199
"1AF7_A","vCA","seqent",0.577293254852176
"1AF7_A","vSC","asa",0.896238311122848
"1AF7_A","vSC","ddgent",0.780024355206837
