"pdb","bf","variable","value"
"132L_A","bfC","VSCnfaces",0.0227986906478438
"132L_A","bfC","VSCvolume",0.38271468973407
"132L_A","bfC","wcnAA",-0.543611403493392
"132L_A","bfC","wcnC",-0.600567134356261
"132L_A","bfC","wcnCA",-0.551101851603776
"132L_A","bfC","wcnCB",-0.498712776290558
"132L_A","bfC","wcnN",-0.48908534739574
"132L_A","bfC","wcnO",-0.594883206084263
"132L_A","bfC","wcnSC",-0.46272715288966
"132L_A","bfCA","asa",0.29466756649667
"132L_A","bfCA","ddgent",0.309686901606451
"132L_A","bfCA","hbe_mean",0.28456851620243
"132L_A","bfCA","hpshh",0.0747704910876662
"132L_A","bfCA","resvol",-0.0514922824601063
"132L_A","bfCA","rsa",0.360080932183905
"132L_A","bfCA","seqent",0.275960609449042
"132L_A","bfCA","sizeAA",-0.0783225887843468
"132L_A","bfCA","sizeSC",-0.0783225887843468
"132L_A","bfCA","VAAarea",0.382374462500167
"132L_A","bfCA","VAAeccentricity",0.364850893957727
"132L_A","bfCA","VAAedge_length_total",0.362531412992249
"132L_A","bfCA","VAAfree_volume",0.333995817450886
"132L_A","bfCA","VAAmodified_volume",0.371686596341739
"132L_A","bfCA","VAAnfaces",-0.0995841947234289
"132L_A","bfCA","VAAvolume",0.369398587302523
"132L_A","bfCA","VCAarea",0.428395860272458
"132L_A","bfCA","VCAeccentricity",0.379554577907131
"132L_A","bfCA","VCAedge_length_total",0.401109700203679
"132L_A","bfCA","VCAfree_volume",0.387268347033841
"132L_A","bfCA","VCAmodified_volume",0.402699032479888
"132L_A","bfCA","VCAnfaces",-0.0969774133441517
"132L_A","bfCA","VCAvolume",0.411275132386165
"132L_A","bfCA","VSCarea",0.342842575923012
"132L_A","bfCA","VSCeccentricity",0.340098223953004
"132L_A","bfCA","VSCedge_length_total",0.321929480922201
"132L_A","bfCA","VSCfree_volume",0.306898488939676
"132L_A","bfCA","VSCmodified_volume",0.32721991172677
"132L_A","bfCA","VSCnfaces",-0.0728644240330141
"132L_A","bfCA","VSCvolume",0.331987908555398
"132L_A","bfCA","wcnAA",-0.481388289711685
"132L_A","bfCA","wcnC",-0.537424054420406
"132L_A","bfCA","wcnCA",-0.56159449378929
"132L_A","bfCA","wcnCB",-0.507749175148374
"132L_A","bfCA","wcnN",-0.536300506652868
"132L_A","bfCA","wcnO",-0.517171869871088
"132L_A","bfCA","wcnSC",-0.42739505301734
"132L_A","bfCB","asa",0.534338193399246
"132L_A","bfCB","ddgent",0.43683427880407
"132L_A","bfCB","hbe_mean",0.444866178728286
"132L_A","bfCB","hpshh",0.312638662368523
"132L_A","bfCB","resvol",-0.012309027778832
"132L_A","bfCB","rsa",0.580498344820595
"132L_A","bfCB","seqent",0.413504539803931
"132L_A","bfCB","sizeAA",0.0120050456749978
"132L_A","bfCB","sizeSC",0.0120050456749978
"132L_A","bfCB","VAAarea",0.581420782242876
"132L_A","bfCB","VAAeccentricity",0.578342866602217
"132L_A","bfCB","VAAedge_length_total",0.558433976681145
"132L_A","bfCB","VAAfree_volume",0.559359239665147
"132L_A","bfCB","VAAmodified_volume",0.568180709543232
"132L_A","bfCB","VAAnfaces",-0.115059667303546
"132L_A","bfCB","VAAvolume",0.564479657607225
"132L_A","bfCB","VCAarea",0.579315336881321
"132L_A","bfCB","VCAeccentricity",0.549458296305727
"132L_A","bfCB","VCAedge_length_total",0.554890282395478
"132L_A","bfCB","VCAfree_volume",0.549250584207277
"132L_A","bfCB","VCAmodified_volume",0.552511034722331
"132L_A","bfCB","VCAnfaces",-0.132166281550962
"132L_A","bfCB","VCAvolume",0.560467037523543
"132L_A","bfCB","VSCarea",0.550654214448314
"132L_A","bfCB","VSCeccentricity",0.554308059089219
"132L_A","bfCB","VSCedge_length_total",0.526219718503451
"132L_A","bfCB","VSCfree_volume",0.535783916491143
"132L_A","bfCB","VSCmodified_volume",0.545486589211134
"132L_A","bfCB","VSCnfaces",-0.113724137216862
"132L_A","bfCB","VSCvolume",0.545694301309583
"132L_A","bfCB","wcnAA",-0.647177397167137
"132L_A","bfCB","wcnC",-0.647957891112826
"132L_A","bfCB","wcnCA",-0.650000393414245
"132L_A","bfCB","wcnCB",-0.679917229896968
"132L_A","bfCB","wcnN",-0.630692609717473
"132L_A","bfCB","wcnO",-0.655967395515154
"132L_A","bfCB","wcnSC",-0.613896254120135
"132L_A","bfN","asa",0.331363940506717
"132L_A","bfN","ddgent",0.249465769947578
"132L_A","bfN","hbe_mean",0.401718712798651
"132L_A","bfN","hpshh",0.111133480214282
"132L_A","bfN","resvol",-0.0330320932902441
"132L_A","bfN","rsa",0.390268997134204
"132L_A","bfN","seqent",0.247876831857349
"132L_A","bfN","sizeAA",-0.0564908449378808
"132L_A","bfN","sizeSC",-0.0564908449378808
"132L_A","bfN","VAAarea",0.419745898485098
"132L_A","bfN","VAAeccentricity",0.390716513469941
"132L_A","bfN","VAAedge_length_total",0.401098987577162
"132L_A","bfN","VAAfree_volume",0.370077451573866
"132L_A","bfN","VAAmodified_volume",0.401634004430217
"132L_A","bfN","VAAnfaces",-0.109554919513614
"132L_A","bfN","VAAvolume",0.399500231333916
"132L_A","bfN","VCAarea",0.479252361176619
"132L_A","bfN","VCAeccentricity",0.433432888449422
"132L_A","bfN","VCAedge_length_total",0.451541635346344
"132L_A","bfN","VCAfree_volume",0.439365281202411
"132L_A","bfN","VCAmodified_volume",0.448655691497808
"132L_A","bfN","VCAnfaces",-0.0750293932644002
"132L_A","bfN","VCAvolume",0.459019282657274
"132L_A","bfN","VSCarea",0.366999531089822
"132L_A","bfN","VSCeccentricity",0.394370363860509
"132L_A","bfN","VSCedge_length_total",0.354140243668754
"132L_A","bfN","VSCfree_volume",0.339886765271784
"132L_A","bfN","VSCmodified_volume",0.354971093369968
"132L_A","bfN","VSCnfaces",-0.105014628684222
"132L_A","bfN","VSCvolume",0.359185137877264
"132L_A","bfN","wcnAA",-0.540839095279136
"132L_A","bfN","wcnC",-0.588194381090396
"132L_A","bfN","wcnCA",-0.618583338343904
"132L_A","bfN","wcnCB",-0.514358908210886
"132L_A","bfN","wcnN",-0.60401514415102
"132L_A","bfN","wcnO",-0.542755714476255
"132L_A","bfN","wcnSC",-0.455680148062621
"132L_A","bfO","asa",0.530937885076586
"132L_A","bfO","ddgent",0.347799130348941
"132L_A","bfO","hbe_mean",0.547438381528704
"132L_A","bfO","hpshh",0.32971074848091
"132L_A","bfO","resvol",-0.0327171199119888
"132L_A","bfO","rsa",0.575070592244293
"132L_A","bfO","seqent",0.333041161743962
"132L_A","bfO","sizeAA",-0.0015328771992761
"132L_A","bfO","sizeSC",-0.0015328771992761
"132L_A","bfO","VAAarea",0.590477060136978
"132L_A","bfO","VAAeccentricity",0.558551385501793
"132L_A","bfO","VAAedge_length_total",0.555234187052909
"132L_A","bfO","VAAfree_volume",0.564125160125109
"132L_A","bfO","VAAmodified_volume",0.576481252260138
"132L_A","bfO","VAAnfaces",-0.12853888104534
"132L_A","bfO","VAAvolume",0.570045131929997
"132L_A","bfO","VCAarea",0.587893170263606
"132L_A","bfO","VCAeccentricity",0.55263456094401
"132L_A","bfO","VCAedge_length_total",0.53670949059168
"132L_A","bfO","VCAfree_volume",0.554044527647142
"132L_A","bfO","VCAmodified_volume",0.564480799047997
"132L_A","bfO","VCAnfaces",-0.178901016970922
"132L_A","bfO","VCAvolume",0.569270909142116
"132L_A","bfO","VSCarea",0.533052389455434
"132L_A","bfO","VSCeccentricity",0.532992591760435
"132L_A","bfO","VSCedge_length_total",0.499153390885286
"132L_A","bfO","VSCfree_volume",0.522188092448271
"132L_A","bfO","VSCmodified_volume",0.521051936243293
"132L_A","bfO","VSCnfaces",-0.0898460762539872
"132L_A","bfO","VSCvolume",0.519399631513061
"132L_A","bfO","wcnAA",-0.707419320825027
"132L_A","bfO","wcnC",-0.76080292622349
"132L_A","bfO","wcnCA",-0.707293430940819
"132L_A","bfO","wcnCB",-0.664116347904531
"132L_A","bfO","wcnN",-0.631271677114627
"132L_A","bfO","wcnO",-0.766313755904702
"132L_A","bfO","wcnSC",-0.618943910203544
"132L_A","bfSC","asa",0.752651140892194
"132L_A","bfSC","ddgent",0.538015008678886
"132L_A","bfSC","hbe_mean",0.425841184693304
"132L_A","bfSC","hpshh",0.454661649330991
"132L_A","bfSC","resvol",0.286468586988748
"132L_A","bfSC","rsa",0.72082986339306
"132L_A","bfSC","seqent",0.492923615338941
"132L_A","bfSC","sizeAA",0.346075303923352
"132L_A","bfSC","sizeSC",0.346075303923352
"132L_A","bfSC","VAAarea",0.724882336558469
"132L_A","bfSC","VAAeccentricity",0.704479472037807
"132L_A","bfSC","VAAedge_length_total",0.714037315559209
"132L_A","bfSC","VAAfree_volume",0.67784213665251
"132L_A","bfSC","VAAmodified_volume",0.719248968134593
"132L_A","bfSC","VAAnfaces",0.0851627888089203
"132L_A","bfSC","VAAvolume",0.719793422177795
"132L_A","bfSC","VCAarea",0.648281114526553
"132L_A","bfSC","VCAeccentricity",0.650043509117263
"132L_A","bfSC","VCAedge_length_total",0.623138667410162
"132L_A","bfSC","VCAfree_volume",0.596032409178408
"132L_A","bfSC","VCAmodified_volume",0.623148108809755
"132L_A","bfSC","VCAnfaces",-0.0459772944119306
"132L_A","bfSC","VCAvolume",0.635229953155709
"132L_A","bfSC","VSCarea",0.696822496967813
"132L_A","bfSC","VSCeccentricity",0.656762638494343
"132L_A","bfSC","VSCedge_length_total",0.669228433090416
"132L_A","bfSC","VSCfree_volume",0.647859398678062
"132L_A","bfSC","VSCmodified_volume",0.688712334717351
"132L_A","bfSC","VSCnfaces",0.0385659380005515
"132L_A","bfSC","VSCvolume",0.691510136130103
"132L_A","bfSC","wcnAA",-0.752643198495343
"132L_A","bfSC","wcnC",-0.644353492295829
"132L_A","bfSC","wcnCA",-0.649905035256564
"132L_A","bfSC","wcnCB",-0.714430707208921
"132L_A","bfSC","wcnN",-0.567295935950248
"132L_A","bfSC","wcnO",-0.648894805500104
"132L_A","bfSC","wcnSC",-0.730219874461761
"13PK_A","bfAA","asa",0.558404585498227
"13PK_A","bfAA","ddgent",0.522928189468921
"13PK_A","bfAA","hbe_mean",0.179621715165303
"13PK_A","bfAA","hpshh",0.393927065550752
"13PK_A","bfAA","resvol",0.112765009702301
"13PK_A","bfAA","rsa",0.558538305828334
"13PK_A","bfAA","seqent",0.328007456113719
"13PK_A","bfAA","sizeAA",0.220822238445186
"13PK_A","bfAA","sizeSC",0.220822238445186
"13PK_A","bfAA","VAAarea",0.58024544501127
"13PK_A","bfAA","VAAeccentricity",0.545627432204883
"13PK_A","bfAA","VAAedge_length_total",0.550697797490036
"13PK_A","bfAA","VAAfree_volume",0.551009915540503
"13PK_A","bfAA","VAAmodified_volume",0.565623470706551
"13PK_A","bfAA","VAAnfaces",0.0259233354235445
"13PK_A","bfAA","VAAvolume",0.567637715059138
"13PK_A","bfAA","VCAarea",0.541823862492097
"13PK_A","bfAA","VCAeccentricity",0.53667993616103
"13PK_A","bfAA","VCAedge_length_total",0.503574184009206
"13PK_A","bfAA","VCAfree_volume",0.514935096360992
"13PK_A","bfAA","VCAmodified_volume",0.529030273646017
"13PK_A","bfAA","VCAnfaces",-0.106494121019986
"13PK_A","bfAA","VCAvolume",0.533517621217211
"13PK_A","bfAA","VSCarea",0.597240491952782
"13PK_A","bfAA","VSCeccentricity",0.571425189530077
"13PK_A","bfAA","VSCedge_length_total",0.555684214940205
"13PK_A","bfAA","VSCfree_volume",0.577048771047769
"13PK_A","bfAA","VSCmodified_volume",0.591425929110503
"13PK_A","bfAA","VSCnfaces",-0.0171111264610271
"13PK_A","bfAA","VSCvolume",0.593154415032808
"13PK_A","bfAA","wcnAA",-0.637244909287859
"13PK_A","bfAA","wcnC",-0.578105842185878
"13PK_A","bfAA","wcnCA",-0.61635667319599
"13PK_A","bfAA","wcnCB",-0.615483279920824
"13PK_A","bfAA","wcnN",-0.534660822834013
"13PK_A","bfAA","wcnO",-0.546690631534946
"13PK_A","bfAA","wcnSC",-0.631545858666517
"13PK_A","bfC","asa",0.402447112810805
"13PK_A","bfC","ddgent",0.382095003840751
"13PK_A","bfC","hbe_mean",0.180927956479306
"13PK_A","bfC","hpshh",0.202466212082593
"13PK_A","bfC","resvol",0.0359231869385152
"13PK_A","bfC","rsa",0.420003391549828
"13PK_A","bfC","seqent",0.248815767961243
"13PK_A","bfC","sizeAA",0.108652602219849
"13PK_A","bfC","sizeSC",0.108652602219849
"13PK_A","bfC","VAAarea",0.456313614935888
"13PK_A","bfC","VAAeccentricity",0.415318897092611
"13PK_A","bfC","VAAedge_length_total",0.424367725389773
"13PK_A","bfC","VAAfree_volume",0.415463959067149
"13PK_A","bfC","VAAmodified_volume",0.441881776169865
"13PK_A","bfC","VAAnfaces",-0.0267615913352187
"13PK_A","bfC","VAAvolume",0.443791506990918
"13PK_A","bfC","VCAarea",0.429221820965362
"13PK_A","bfC","VCAeccentricity",0.422883274639908
"13PK_A","bfC","VCAedge_length_total",0.391806768719471
"13PK_A","bfC","VCAfree_volume",0.394831579521888
"13PK_A","bfC","VCAmodified_volume",0.417861175354722
"13PK_A","bfC","VCAnfaces",-0.107728410533539
"13PK_A","bfC","VCAvolume",0.422168794046564
"13PK_A","bfC","VSCarea",0.457699323799811
"13PK_A","bfC","VSCeccentricity",0.435559155987948
"13PK_A","bfC","VSCedge_length_total",0.418105883488854
"13PK_A","bfC","VSCfree_volume",0.427519885159421
"13PK_A","bfC","VSCmodified_volume",0.453469860604669
"13PK_A","bfC","VSCnfaces",-0.0451225712008023
"13PK_A","bfC","VSCvolume",0.454551109581554
"13PK_A","bfC","wcnAA",-0.542038422954905
"13PK_A","bfC","wcnC",-0.543349437339379
"13PK_A","bfC","wcnCA",-0.547944409699534
"13PK_A","bfC","wcnCB",-0.528040026359827
"13PK_A","bfC","wcnN",-0.475626398257409
"13PK_A","bfC","wcnO",-0.520368363393861
"13PK_A","bfC","wcnSC",-0.51609768177887
"13PK_A","bfCA","asa",0.436697426475403
"13PK_A","bfCA","ddgent",0.420001011572662
"13PK_A","bfCA","hbe_mean",0.191388913535243
"13PK_A","bfCA","hpshh",0.253609938738698
"13PK_A","bfCA","resvol",0.0460732871328855
"13PK_A","bfCA","rsa",0.451195896676143
"13PK_A","bfCA","seqent",0.259866281991899
"13PK_A","bfCA","sizeAA",0.125429920046957
"13PK_A","bfCA","sizeSC",0.125429920046957
"13PK_A","bfCA","VAAarea",0.477450034826038
"13PK_A","bfCA","VAAeccentricity",0.437972498242057
"13PK_A","bfCA","VAAedge_length_total",0.445488439427309
"13PK_A","bfCA","VAAfree_volume",0.437336760647303
"13PK_A","bfCA","VAAmodified_volume",0.461837296759718
"13PK_A","bfCA","VAAnfaces",-0.0235686397229525
"13PK_A","bfCA","VAAvolume",0.463610360768538
"13PK_A","bfCA","VCAarea",0.446883630633731
"13PK_A","bfCA","VCAeccentricity",0.438172378238506
"13PK_A","bfCA","VCAedge_length_total",0.407815887102025
"13PK_A","bfCA","VCAfree_volume",0.413866013664011
"13PK_A","bfCA","VCAmodified_volume",0.434080085056271
"13PK_A","bfCA","VCAnfaces",-0.117731268310059
"13PK_A","bfCA","VCAvolume",0.438158694727619
"13PK_A","bfCA","VSCarea",0.492059471224918
"13PK_A","bfCA","VSCeccentricity",0.472196470032217
"13PK_A","bfCA","VSCedge_length_total",0.45138074390054
"13PK_A","bfCA","VSCfree_volume",0.463538837141081
"13PK_A","bfCA","VSCmodified_volume",0.487192926380671
"13PK_A","bfCA","VSCnfaces",-0.0539822010474451
"13PK_A","bfCA","VSCvolume",0.48820668145716
"13PK_A","bfCA","wcnAA",-0.568475919224785
"13PK_A","bfCA","wcnC",-0.555445355256359
"13PK_A","bfCA","wcnCA",-0.571014672207824
"13PK_A","bfCA","wcnCB",-0.552899382752239
"13PK_A","bfCA","wcnN",-0.509669310256891
"13PK_A","bfCA","wcnO",-0.526939663902202
"13PK_A","bfCA","wcnSC",-0.549906219680675
"13PK_A","bfCB","asa",0.509083765991072
"13PK_A","bfCB","ddgent",0.486602670382932
"13PK_A","bfCB","hbe_mean",0.190336211727529
"13PK_A","bfCB","hpshh",0.348974985428337
"13PK_A","bfCB","resvol",0.0592062639739583
"13PK_A","bfCB","rsa",0.519615530894931
"13PK_A","bfCB","seqent",0.291277529205914
"13PK_A","bfCB","sizeAA",0.15466563337633
"13PK_A","bfCB","sizeSC",0.15466563337633
"13PK_A","bfCB","VAAarea",0.541802761961815
"13PK_A","bfCB","VAAeccentricity",0.503169453037622
"13PK_A","bfCB","VAAedge_length_total",0.512490188589142
"13PK_A","bfCB","VAAfree_volume",0.513993947356452
"13PK_A","bfCB","VAAmodified_volume",0.528071674718856
"13PK_A","bfCB","VAAnfaces",-0.000145463448315494
"13PK_A","bfCB","VAAvolume",0.529552767552644
"13PK_A","bfCB","VCAarea",0.512894922952566
"13PK_A","bfCB","VCAeccentricity",0.502636132016648
"13PK_A","bfCB","VCAedge_length_total",0.474989401577549
"13PK_A","bfCB","VCAfree_volume",0.487941051783435
"13PK_A","bfCB","VCAmodified_volume",0.499491443610272
"13PK_A","bfCB","VCAnfaces",-0.118754016651802
"13PK_A","bfCB","VCAvolume",0.503644933954166
"13PK_A","bfCB","VSCarea",0.558472903716151
"13PK_A","bfCB","VSCeccentricity",0.525794084191536
"13PK_A","bfCB","VSCedge_length_total",0.517033029302197
"13PK_A","bfCB","VSCfree_volume",0.539741272566436
"13PK_A","bfCB","VSCmodified_volume",0.552541228913531
"13PK_A","bfCB","VSCnfaces",-0.0247129659410449
"13PK_A","bfCB","VSCvolume",0.553563882254868
"13PK_A","bfCB","wcnAA",-0.601575618171575
"13PK_A","bfCB","wcnC",-0.559617785202701
"13PK_A","bfCB","wcnCA",-0.591289985435247
"13PK_A","bfCB","wcnCB",-0.586714740832047
"13PK_A","bfCB","wcnN",-0.522885793077001
"13PK_A","bfCB","wcnO",-0.533588059250617
"13PK_A","bfCB","wcnSC",-0.595170393254156
"13PK_A","bfN","asa",0.399810114335888
"13PK_A","bfN","ddgent",0.384299992268625
"13PK_A","bfN","hbe_mean",0.188916519961655
"13PK_A","bfN","hpshh",0.220104605903415
"13PK_A","bfN","resvol",0.0659561138015148
"13PK_A","bfN","rsa",0.412040641687761
"13PK_A","bfN","seqent",0.250540116013087
"13PK_A","bfN","sizeAA",0.133521187522214
"13PK_A","bfN","sizeSC",0.133521187522214
"13PK_A","bfN","VAAarea",0.437519845814763
"13PK_A","bfN","VAAeccentricity",0.401299698534852
"13PK_A","bfN","VAAedge_length_total",0.402556566839114
"13PK_A","bfN","VAAfree_volume",0.386244310114939
"13PK_A","bfN","VAAmodified_volume",0.421745467043262
"13PK_A","bfN","VAAnfaces",-0.0519651789284186
"13PK_A","bfN","VAAvolume",0.422796411092224
"13PK_A","bfN","VCAarea",0.415599699013333
"13PK_A","bfN","VCAeccentricity",0.40688702045088
"13PK_A","bfN","VCAedge_length_total",0.375627332335864
"13PK_A","bfN","VCAfree_volume",0.375816970694088
"13PK_A","bfN","VCAmodified_volume",0.402154204443821
"13PK_A","bfN","VCAnfaces",-0.135782864310142
"13PK_A","bfN","VCAvolume",0.405433881902471
"13PK_A","bfN","VSCarea",0.4547246604666
"13PK_A","bfN","VSCeccentricity",0.437804033143908
"13PK_A","bfN","VSCedge_length_total",0.40898798512165
"13PK_A","bfN","VSCfree_volume",0.418017339779552
"13PK_A","bfN","VSCmodified_volume",0.449939041215928
"13PK_A","bfN","VSCnfaces",-0.0807878258290246
"13PK_A","bfN","VSCvolume",0.450364741133836
"13PK_A","bfN","wcnAA",-0.549405157609615
"13PK_A","bfN","wcnC",-0.540337606646714
"13PK_A","bfN","wcnCA",-0.563212492257189
"13PK_A","bfN","wcnCB",-0.532597020503842
"13PK_A","bfN","wcnN",-0.530371477115231
"13PK_A","bfN","wcnO",-0.505456824869907
"13PK_A","bfN","wcnSC",-0.526393017144914
"13PK_A","bfO","asa",0.389944819901791
"13PK_A","bfO","ddgent",0.374090109372659
"13PK_A","bfO","hbe_mean",0.192860145595205
"13PK_A","bfO","hpshh",0.188395997453497
"13PK_A","bfO","resvol",0.0224640731673282
"13PK_A","bfO","rsa",0.411924696581009
"13PK_A","bfO","seqent",0.235195780768991
"13PK_A","bfO","sizeAA",0.0982469774773731
"13PK_A","bfO","sizeSC",0.0982469774773731
"13PK_A","bfO","VAAarea",0.452667153872782
"13PK_A","bfO","VAAeccentricity",0.40919369188418
"13PK_A","bfO","VAAedge_length_total",0.420746102339869
"13PK_A","bfO","VAAfree_volume",0.408214355331387
"13PK_A","bfO","VAAmodified_volume",0.438684012100222
"13PK_A","bfO","VAAnfaces",-0.0130599210639374
"13PK_A","bfO","VAAvolume",0.441166772133554
"13PK_A","bfO","VCAarea",0.428201871778957
"13PK_A","bfO","VCAeccentricity",0.424505542494484
"13PK_A","bfO","VCAedge_length_total",0.391815714817735
"13PK_A","bfO","VCAfree_volume",0.393287154136898
"13PK_A","bfO","VCAmodified_volume",0.420846168272573
"13PK_A","bfO","VCAnfaces",-0.0864408453586198
"13PK_A","bfO","VCAvolume",0.425154124202599
"13PK_A","bfO","VSCarea",0.439917542985422
"13PK_A","bfO","VSCeccentricity",0.410808010580409
"13PK_A","bfO","VSCedge_length_total",0.400039505896191
"13PK_A","bfO","VSCfree_volume",0.407320561719387
"13PK_A","bfO","VSCmodified_volume",0.43547392720032
"13PK_A","bfO","VSCnfaces",-0.0381454607458245
"13PK_A","bfO","VSCvolume",0.437124007714781
"13PK_A","bfO","wcnAA",-0.51994921821847
"13PK_A","bfO","wcnC",-0.528489241149693
"13PK_A","bfO","wcnCA",-0.528464980197888
"13PK_A","bfO","wcnCB",-0.508160830131211
"13PK_A","bfO","wcnN",-0.450437226004761
"13PK_A","bfO","wcnO",-0.514611389081718
"13PK_A","bfO","wcnSC",-0.490923214003928
"13PK_A","bfSC","asa",0.603784553546702
"13PK_A","bfSC","ddgent",0.564826420605455
"13PK_A","bfSC","hbe_mean",0.172673854270943
"13PK_A","bfSC","hpshh",0.469282817870968
"13PK_A","bfSC","resvol",0.146425233817236
"13PK_A","bfSC","rsa",0.595520217564702
"13PK_A","bfSC","seqent",0.344225033863761
"13PK_A","bfSC","sizeAA",0.268907834117583
"13PK_A","bfSC","sizeSC",0.268907834117583
"13PK_A","bfSC","VAAarea",0.612638945769405
"13PK_A","bfSC","VAAeccentricity",0.57621243574948
"13PK_A","bfSC","VAAedge_length_total",0.587447932393791
"13PK_A","bfSC","VAAfree_volume",0.587295231249909
"13PK_A","bfSC","VAAmodified_volume",0.6002081738849
"13PK_A","bfSC","VAAnfaces",0.0567862128066017
"13PK_A","bfSC","VAAvolume",0.602184474230841
"13PK_A","bfSC","VCAarea",0.567665644755435
"13PK_A","bfSC","VCAeccentricity",0.562809741342413
"13PK_A","bfSC","VCAedge_length_total",0.530885968007322
"13PK_A","bfSC","VCAfree_volume",0.542085954709983
"13PK_A","bfSC","VCAmodified_volume",0.554861726553823
"13PK_A","bfSC","VCAnfaces",-0.101508799916942
"13PK_A","bfSC","VCAvolume",0.559249345017885
"13PK_A","bfSC","VSCarea",0.637048940842556
"13PK_A","bfSC","VSCeccentricity",0.603067018005239
"13PK_A","bfSC","VSCedge_length_total",0.59952886786165
"13PK_A","bfSC","VSCfree_volume",0.617712728265774
"13PK_A","bfSC","VSCmodified_volume",0.630552804164707
"13PK_A","bfSC","VSCnfaces",0.0171700122696608
"13PK_A","bfSC","VSCvolume",0.632517183915578
"13PK_A","bfSC","wcnAA",-0.642482465602178
"13PK_A","bfSC","wcnC",-0.556688851565691
"13PK_A","bfSC","wcnCA",-0.6073223346536
"13PK_A","bfSC","wcnCB",-0.621347502387707
"13PK_A","bfSC","wcnN",-0.52374947710983
"13PK_A","bfSC","wcnO",-0.526852861324796
"13PK_A","bfSC","wcnSC",-0.649565145926153
"1A26_A","bfAA","asa",0.659812458147179
"1A26_A","bfAA","ddgent",0.541426426549348
"1A26_A","bfAA","hbe_mean",0.429786387544735
"1A26_A","bfAA","hpshh",0.385669423980685
"1A26_A","bfAA","resvol",-0.0866556877944818
"1A26_A","bfAA","rsa",0.675364047543872
"1A26_A","bfAA","seqent",0.461288220291965
"1A26_A","bfAA","sizeAA",0.0333678268719662
"1A26_A","bfAA","sizeSC",0.0333678268719662
"1A26_A","bfAA","VAAarea",0.674204361500223
