"pdb","hps","variable","value"
"132L_A","hpsww","bfCA",-0.0669999149349506
"132L_A","hpsww","bfCB",-0.335151587604874
"132L_A","hpsww","bfN",-0.0422879438436606
"132L_A","hpsww","bfO",-0.241174515807578
"132L_A","hpsww","bfSC",-0.381988250531251
"132L_A","hpsww","ddgent",-0.476416208349101
"132L_A","hpsww","hbe_mean",-0.247650525536736
"132L_A","hpsww","resvol",0.0978125244607447
"132L_A","hpsww","rsa",-0.456642011888994
"132L_A","hpsww","seqent",-0.363331407172064
"132L_A","hpsww","sizeAA",-0.0780590683626684
"132L_A","hpsww","sizeSC",-0.0780590683626684
"132L_A","hpsww","VAAarea",-0.398503731159415
"132L_A","hpsww","VAAeccentricity",-0.452306453295548
"132L_A","hpsww","VAAedge_length_total",-0.386226345747932
"132L_A","hpsww","VAAfree_volume",-0.469990306884376
"132L_A","hpsww","VAAmodified_volume",-0.378033005766386
"132L_A","hpsww","VAAnfaces",0.0757904373265683
"132L_A","hpsww","VAAvolume",-0.384430501969234
"132L_A","hpsww","VCAarea",-0.360838353909892
"132L_A","hpsww","VCAeccentricity",-0.403099071303147
"132L_A","hpsww","VCAedge_length_total",-0.352420927973536
"132L_A","hpsww","VCAfree_volume",-0.401830302939287
"132L_A","hpsww","VCAmodified_volume",-0.353219431446314
"132L_A","hpsww","VCAnfaces",0.179763583571555
"132L_A","hpsww","VCAvolume",-0.360642673216959
"132L_A","hpsww","VSCarea",-0.430816294615139
"132L_A","hpsww","VSCeccentricity",-0.390338796439747
"132L_A","hpsww","VSCedge_length_total",-0.415467984780681
"132L_A","hpsww","VSCfree_volume",-0.48870306218121
"132L_A","hpsww","VSCmodified_volume",-0.418974456552443
"132L_A","hpsww","VSCnfaces",0.0987099467845071
"132L_A","hpsww","VSCvolume",-0.42244936692212
"132L_A","hpsww","wcnAA",0.379027189932098
"132L_A","hpsww","wcnC",0.279681364585758
"132L_A","hpsww","wcnCA",0.310807219323046
"132L_A","hpsww","wcnCB",0.410904206039034
"132L_A","hpsww","wcnN",0.241141736498451
"132L_A","hpsww","wcnO",0.315875980498069
"132L_A","hpsww","wcnSC",0.430724766549089
"13PK_A","hpshh","asa",0.550985260439393
"13PK_A","hpshh","bfAA",0.393927065550752
"13PK_A","hpshh","bfC",0.202466212082593
"13PK_A","hpshh","bfCA",0.253609938738698
"13PK_A","hpshh","bfCB",0.348974985428337
"13PK_A","hpshh","bfN",0.220104605903415
"13PK_A","hpshh","bfO",0.188395997453497
"13PK_A","hpshh","bfSC",0.469282817870968
"13PK_A","hpshh","ddgent",0.445150640227536
"13PK_A","hpshh","hbe_mean",0.202236951261454
"13PK_A","hpshh","resvol",-0.00341451298718462
"13PK_A","hpshh","rsa",0.523149893636334
"13PK_A","hpshh","seqent",0.086073703055746
"13PK_A","hpshh","sizeAA",0.269021899754626
"13PK_A","hpshh","sizeSC",0.269021899754626
"13PK_A","hpshh","VAAarea",0.440335761161517
"13PK_A","hpshh","VAAeccentricity",0.427135491257654
"13PK_A","hpshh","VAAedge_length_total",0.433736290321662
"13PK_A","hpshh","VAAfree_volume",0.518841172144635
"13PK_A","hpshh","VAAmodified_volume",0.424942547621046
"13PK_A","hpshh","VAAnfaces",0.0313136950489023
"13PK_A","hpshh","VAAvolume",0.426525685598361
"13PK_A","hpshh","VCAarea",0.393023593608503
"13PK_A","hpshh","VCAeccentricity",0.37723748035376
"13PK_A","hpshh","VCAedge_length_total",0.373922393301045
"13PK_A","hpshh","VCAfree_volume",0.450781978755486
"13PK_A","hpshh","VCAmodified_volume",0.380556270850092
"13PK_A","hpshh","VCAnfaces",-0.076732101319361
"13PK_A","hpshh","VCAvolume",0.382510174035023
"13PK_A","hpshh","VSCarea",0.477442564342937
"13PK_A","hpshh","VSCeccentricity",0.487001825673128
"13PK_A","hpshh","VSCedge_length_total",0.461489980960492
"13PK_A","hpshh","VSCfree_volume",0.549376148940218
"13PK_A","hpshh","VSCmodified_volume",0.455833475849777
"13PK_A","hpshh","VSCnfaces",0.0215081518032088
"13PK_A","hpshh","VSCvolume",0.458199807983022
"13PK_A","hpshh","wcnAA",-0.384542270381788
"13PK_A","hpshh","wcnC",-0.27246184192553
"13PK_A","hpshh","wcnCA",-0.335438479795505
"13PK_A","hpshh","wcnCB",-0.366836190615623
"13PK_A","hpshh","wcnN",-0.270938632399481
"13PK_A","hpshh","wcnO",-0.271444152453272
"13PK_A","hpshh","wcnSC",-0.422421007532557
"13PK_A","hpskd","asa",-0.567765901138103
"13PK_A","hpskd","bfAA",-0.388035360674622
"13PK_A","hpskd","bfC",-0.192235114229951
"13PK_A","hpskd","bfCA",-0.243911978572959
"13PK_A","hpskd","bfCB",-0.330751418747882
"13PK_A","hpskd","bfN",-0.214988531135934
"13PK_A","hpskd","bfO",-0.178062235605424
"13PK_A","hpskd","bfSC",-0.463218190135918
"13PK_A","hpskd","ddgent",-0.459735350004958
"13PK_A","hpskd","hbe_mean",-0.19088186885378
"13PK_A","hpskd","resvol",-0.167343384350844
"13PK_A","hpskd","rsa",-0.518910594175897
"13PK_A","hpskd","seqent",-0.108681437921119
"13PK_A","hpskd","sizeAA",-0.414766987256368
"13PK_A","hpskd","sizeSC",-0.414766987256368
"13PK_A","hpskd","VAAarea",-0.456060655326604
"13PK_A","hpskd","VAAeccentricity",-0.418762316195913
"13PK_A","hpskd","VAAedge_length_total",-0.456005914297168
"13PK_A","hpskd","VAAfree_volume",-0.495749012570739
"13PK_A","hpskd","VAAmodified_volume",-0.444782278251513
"13PK_A","hpskd","VAAnfaces",-0.0698289331390345
"13PK_A","hpskd","VAAvolume",-0.446462214880619
"13PK_A","hpskd","VCAarea",-0.392922809519908
"13PK_A","hpskd","VCAeccentricity",-0.378999993592316
"13PK_A","hpskd","VCAedge_length_total",-0.376582702726031
"13PK_A","hpskd","VCAfree_volume",-0.416078076957426
"13PK_A","hpskd","VCAmodified_volume",-0.382822768481416
"13PK_A","hpskd","VCAnfaces",0.0538676634751902
"13PK_A","hpskd","VCAvolume",-0.385065522667202
"13PK_A","hpskd","VSCarea",-0.486562649604409
"13PK_A","hpskd","VSCeccentricity",-0.479484217561973
"13PK_A","hpskd","VSCedge_length_total",-0.48099324315177
"13PK_A","hpskd","VSCfree_volume",-0.519904467565536
"13PK_A","hpskd","VSCmodified_volume",-0.467443969076401
"13PK_A","hpskd","VSCnfaces",-0.0530203536788792
"13PK_A","hpskd","VSCvolume",-0.47038158161194
"13PK_A","hpskd","wcnAA",0.389517472778467
"13PK_A","hpskd","wcnC",0.264840356960804
"13PK_A","hpskd","wcnCA",0.331047178908073
"13PK_A","hpskd","wcnCB",0.359727855693049
"13PK_A","hpskd","wcnN",0.255151800531166
"13PK_A","hpskd","wcnO",0.263177199461852
"13PK_A","hpskd","wcnSC",0.417221924593968
"13PK_A","hpsww","asa",-0.507024395543002
"13PK_A","hpsww","bfAA",-0.351412793574788
"13PK_A","hpsww","bfC",-0.191035776269046
"13PK_A","hpsww","bfCA",-0.23204148132333
"13PK_A","hpsww","bfCB",-0.310086353892234
"13PK_A","hpsww","bfN",-0.195520446987723
"13PK_A","hpsww","bfO",-0.167250740422037
"13PK_A","hpsww","bfSC",-0.408784694405954
"13PK_A","hpsww","ddgent",-0.482752376629549
"13PK_A","hpsww","hbe_mean",-0.138208105375632
"13PK_A","hpsww","resvol",0.039082398607464
"13PK_A","hpsww","rsa",-0.472249647430029
"13PK_A","hpsww","seqent",-0.117183460393213
"13PK_A","hpsww","sizeAA",-0.219943797294746
"13PK_A","hpsww","sizeSC",-0.219943797294746
"13PK_A","hpsww","VAAarea",-0.38855623038819
"13PK_A","hpsww","VAAeccentricity",-0.392725281562207
"13PK_A","hpsww","VAAedge_length_total",-0.371467767705191
"13PK_A","hpsww","VAAfree_volume",-0.474050883342679
"13PK_A","hpsww","VAAmodified_volume",-0.374376233482537
"13PK_A","hpsww","VAAnfaces",-0.0334326343412081
"13PK_A","hpsww","VAAvolume",-0.375591047158255
"13PK_A","hpsww","VCAarea",-0.354016314547181
"13PK_A","hpsww","VCAeccentricity",-0.340944574593845
"13PK_A","hpsww","VCAedge_length_total",-0.33629557448544
"13PK_A","hpsww","VCAfree_volume",-0.418669250809669
"13PK_A","hpsww","VCAmodified_volume",-0.347396310052249
"13PK_A","hpsww","VCAnfaces",0.0718682887396109
"13PK_A","hpsww","VCAvolume",-0.349484378899142
"13PK_A","hpsww","VSCarea",-0.436061295390903
"13PK_A","hpsww","VSCeccentricity",-0.45842891647227
"13PK_A","hpsww","VSCedge_length_total",-0.410337007685299
"13PK_A","hpsww","VSCfree_volume",-0.51470602483816
"13PK_A","hpsww","VSCmodified_volume",-0.418404117914324
"13PK_A","hpsww","VSCnfaces",-0.0160897876339836
"13PK_A","hpsww","VSCvolume",-0.420480908092018
"13PK_A","hpsww","wcnAA",0.362014222856446
"13PK_A","hpsww","wcnC",0.260281889220909
"13PK_A","hpsww","wcnCA",0.31539746299767
"13PK_A","hpsww","wcnCB",0.346763021193654
"13PK_A","hpsww","wcnN",0.25016736385561
"13PK_A","hpsww","wcnO",0.253620151675558
"13PK_A","hpsww","wcnSC",0.396822468571602
"1A26_A","hpshh","asa",0.581158512491498
"1A26_A","hpshh","bfAA",0.385669423980685
"1A26_A","hpshh","bfC",0.183216312831986
"1A26_A","hpshh","bfCA",0.224689479494667
"1A26_A","hpshh","bfCB",0.313588273530826
"1A26_A","hpshh","bfN",0.182708298266519
"1A26_A","hpshh","bfO",0.181189374305799
"1A26_A","hpshh","bfSC",0.465185946419039
"1A26_A","hpshh","ddgent",0.49642600418977
"1A26_A","hpshh","hbe_mean",0.103572261378532
"1A26_A","hpshh","resvol",-0.0828735792843918
"1A26_A","hpshh","rsa",0.542115371077289
"1A26_A","hpshh","seqent",0.2362460402502
"1A26_A","hpshh","sizeAA",0.282164594175603
"1A26_A","hpshh","sizeSC",0.282164594175603
"1A26_A","hpshh","VAAarea",0.495513663468515
"1A26_A","hpshh","VAAeccentricity",0.514347240927612
"1A26_A","hpshh","VAAedge_length_total",0.474061695954681
"1A26_A","hpshh","VAAfree_volume",0.53933216443871
"1A26_A","hpshh","VAAmodified_volume",0.479587754829431
"1A26_A","hpshh","VAAnfaces",0.0589226190062766
"1A26_A","hpshh","VAAvolume",0.480328336283803
"1A26_A","hpshh","VCAarea",0.414248819991684
"1A26_A","hpshh","VCAeccentricity",0.427937031289386
"1A26_A","hpshh","VCAedge_length_total",0.386980303950482
"1A26_A","hpshh","VCAfree_volume",0.434643570048589
"1A26_A","hpshh","VCAmodified_volume",0.396797284818051
"1A26_A","hpshh","VCAnfaces",-0.00572335838137384
"1A26_A","hpshh","VCAvolume",0.397919908949449
"1A26_A","hpshh","VSCarea",0.527692727349902
"1A26_A","hpshh","VSCeccentricity",0.495350526934059
"1A26_A","hpshh","VSCedge_length_total",0.497443625692427
"1A26_A","hpshh","VSCfree_volume",0.553699166500881
"1A26_A","hpshh","VSCmodified_volume",0.508129833619118
"1A26_A","hpshh","VSCnfaces",0.139815654972345
"1A26_A","hpshh","VSCvolume",0.508645806801413
"1A26_A","hpshh","wcnAA",-0.407785010227011
"1A26_A","hpshh","wcnC",-0.263580936500177
"1A26_A","hpshh","wcnCA",-0.317385117925575
"1A26_A","hpshh","wcnCB",-0.384601264258745
"1A26_A","hpshh","wcnN",-0.2497096024762
"1A26_A","hpshh","wcnO",-0.251209123460435
"1A26_A","hpshh","wcnSC",-0.472796796738245
"1A26_A","hpskd","asa",-0.597340941490769
"1A26_A","hpskd","bfAA",-0.387221222812737
"1A26_A","hpskd","bfC",-0.162519445524741
"1A26_A","hpskd","bfCA",-0.208708441293415
"1A26_A","hpskd","bfCB",-0.300305535404207
"1A26_A","hpskd","bfN",-0.162466782208307
"1A26_A","hpskd","bfO",-0.157711089680339
"1A26_A","hpskd","bfSC",-0.474681277699792
"1A26_A","hpskd","ddgent",-0.474135194430319
"1A26_A","hpskd","hbe_mean",-0.0743482558262552
"1A26_A","hpskd","resvol",-0.11421527165064
"1A26_A","hpskd","rsa",-0.531656592255769
"1A26_A","hpskd","seqent",-0.233498670895762
"1A26_A","hpskd","sizeAA",-0.446446529799588
"1A26_A","hpskd","sizeSC",-0.446446529799588
"1A26_A","hpskd","VAAarea",-0.494925213866841
"1A26_A","hpskd","VAAeccentricity",-0.494465595296635
"1A26_A","hpskd","VAAedge_length_total",-0.481170474849432
"1A26_A","hpskd","VAAfree_volume",-0.507610071530191
"1A26_A","hpskd","VAAmodified_volume",-0.484069886857531
"1A26_A","hpskd","VAAnfaces",-0.126444483928658
"1A26_A","hpskd","VAAvolume",-0.485777420852469
"1A26_A","hpskd","VCAarea",-0.386386713589126
"1A26_A","hpskd","VCAeccentricity",-0.402776511714305
"1A26_A","hpskd","VCAedge_length_total",-0.362380525180986
"1A26_A","hpskd","VCAfree_volume",-0.377557161112913
"1A26_A","hpskd","VCAmodified_volume",-0.372494229888051
"1A26_A","hpskd","VCAnfaces",0.00519250346896028
"1A26_A","hpskd","VCAvolume",-0.373091775952569
"1A26_A","hpskd","VSCarea",-0.516553558570212
"1A26_A","hpskd","VSCeccentricity",-0.484982835510361
"1A26_A","hpskd","VSCedge_length_total",-0.489851242852667
"1A26_A","hpskd","VSCfree_volume",-0.508513238091226
"1A26_A","hpskd","VSCmodified_volume",-0.497165312887943
"1A26_A","hpskd","VSCnfaces",-0.169849071871723
"1A26_A","hpskd","VSCvolume",-0.498364038365362
"1A26_A","hpskd","wcnAA",0.38545927460925
"1A26_A","hpskd","wcnC",0.22447035914546
"1A26_A","hpskd","wcnCA",0.278849286923353
"1A26_A","hpskd","wcnCB",0.349368945651676
"1A26_A","hpskd","wcnN",0.210769142144588
"1A26_A","hpskd","wcnO",0.213957824581488
"1A26_A","hpskd","wcnSC",0.442052029504567
"1A26_A","hpsww","asa",-0.553767489395803
"1A26_A","hpsww","bfAA",-0.353843609560289
"1A26_A","hpsww","bfC",-0.156391516921922
"1A26_A","hpsww","bfCA",-0.195418884370206
"1A26_A","hpsww","bfCB",-0.280601570519711
"1A26_A","hpsww","bfN",-0.157799823535907
"1A26_A","hpsww","bfO",-0.150969449326365
"1A26_A","hpsww","bfSC",-0.42696568228705
"1A26_A","hpsww","ddgent",-0.551926638681917
"1A26_A","hpsww","hbe_mean",-0.0825716976529869
"1A26_A","hpsww","resvol",0.186348294646744
"1A26_A","hpsww","rsa",-0.521152635392812
"1A26_A","hpsww","seqent",-0.287496223961401
"1A26_A","hpsww","sizeAA",-0.1460992478781
"1A26_A","hpsww","sizeSC",-0.1460992478781
"1A26_A","hpsww","VAAarea",-0.458364985106546
"1A26_A","hpsww","VAAeccentricity",-0.513151184494259
"1A26_A","hpsww","VAAedge_length_total",-0.440251127652403
"1A26_A","hpsww","VAAfree_volume",-0.527616374445029
"1A26_A","hpsww","VAAmodified_volume",-0.441216039226194
"1A26_A","hpsww","VAAnfaces",-0.0706845778983864
"1A26_A","hpsww","VAAvolume",-0.442968818206374
"1A26_A","hpsww","VCAarea",-0.400533945886879
"1A26_A","hpsww","VCAeccentricity",-0.410965824958083
"1A26_A","hpsww","VCAedge_length_total",-0.383514799973006
"1A26_A","hpsww","VCAfree_volume",-0.442115584925139
"1A26_A","hpsww","VCAmodified_volume",-0.386426919235562
"1A26_A","hpsww","VCAnfaces",-0.0150088402987015
"1A26_A","hpsww","VCAvolume",-0.388143121141094
"1A26_A","hpsww","VSCarea",-0.505560120279692
"1A26_A","hpsww","VSCeccentricity",-0.485893336530802
"1A26_A","hpsww","VSCedge_length_total",-0.477968767278191
"1A26_A","hpsww","VSCfree_volume",-0.557369390835321
"1A26_A","hpsww","VSCmodified_volume",-0.489962014549144
"1A26_A","hpsww","VSCnfaces",-0.155805912729997
"1A26_A","hpsww","VSCvolume",-0.491643725524971
"1A26_A","hpsww","wcnAA",0.383949552578897
"1A26_A","hpsww","wcnC",0.245787510909109
"1A26_A","hpsww","wcnCA",0.301727626602348
"1A26_A","hpsww","wcnCB",0.366481843751423
"1A26_A","hpsww","wcnN",0.242806131634482
"1A26_A","hpsww","wcnO",0.239049123670459
"1A26_A","hpsww","wcnSC",0.452418776640499
"1A2T_A","hpshh","asa",0.507176335841491
"1A2T_A","hpshh","bfAA",0.458968110617258
"1A2T_A","hpshh","bfC",0.233564896396777
"1A2T_A","hpshh","bfCA",0.281216825003295
"1A2T_A","hpshh","bfCB",0.328691915380161
"1A2T_A","hpshh","bfN",0.298871802823287
"1A2T_A","hpshh","bfO",0.103239895372071
"1A2T_A","hpshh","bfSC",0.513876996225244
"1A2T_A","hpshh","ddgent",0.412741718795303
"1A2T_A","hpshh","hbe_mean",0.100182121300221
"1A2T_A","hpshh","resvol",0.148262743863191
"1A2T_A","hpshh","rsa",0.461031826884733
"1A2T_A","hpshh","seqent",0.210978509146912
"1A2T_A","hpshh","sizeAA",0.389039171033338
"1A2T_A","hpshh","sizeSC",0.389039171033338
"1A2T_A","hpshh","VAAarea",0.437489054694356
"1A2T_A","hpshh","VAAeccentricity",0.435817377034273
"1A2T_A","hpshh","VAAedge_length_total",0.387366252517985
"1A2T_A","hpshh","VAAfree_volume",0.452131249288892
"1A2T_A","hpshh","VAAmodified_volume",0.413855336398203
"1A2T_A","hpshh","VAAnfaces",-0.0705230879678746
"1A2T_A","hpshh","VAAvolume",0.417408902681615
"1A2T_A","hpshh","VCAarea",0.394500912710947
"1A2T_A","hpshh","VCAeccentricity",0.338221932325285
"1A2T_A","hpshh","VCAedge_length_total",0.374500841065155
"1A2T_A","hpshh","VCAfree_volume",0.399530960760001
"1A2T_A","hpshh","VCAmodified_volume",0.377361211672155
"1A2T_A","hpshh","VCAnfaces",-0.106252799518374
"1A2T_A","hpshh","VCAvolume",0.380674536854716
"1A2T_A","hpshh","VSCarea",0.46826744322934
"1A2T_A","hpshh","VSCeccentricity",0.443537624910557
"1A2T_A","hpshh","VSCedge_length_total",0.429308344708109
"1A2T_A","hpshh","VSCfree_volume",0.478955669705714
"1A2T_A","hpshh","VSCmodified_volume",0.441755836745917
"1A2T_A","hpshh","VSCnfaces",-0.0962691267736422
"1A2T_A","hpshh","VSCvolume",0.452238857281981
"1A2T_A","hpshh","wcnAA",-0.421262770341089
"1A2T_A","hpshh","wcnC",-0.321347497502015
"1A2T_A","hpshh","wcnCA",-0.38697836324057
"1A2T_A","hpshh","wcnCB",-0.43723630103617
"1A2T_A","hpshh","wcnN",-0.268919882264361
"1A2T_A","hpshh","wcnO",-0.25482573768114
"1A2T_A","hpshh","wcnSC",-0.463978138574575
"1A2T_A","hpskd","asa",-0.575205602324693
"1A2T_A","hpskd","bfAA",-0.467181553895298
"1A2T_A","hpskd","bfC",-0.229283274064459
"1A2T_A","hpskd","bfCA",-0.291176469845556
"1A2T_A","hpskd","bfCB",-0.333202236395716
"1A2T_A","hpskd","bfN",-0.289361225051212
"1A2T_A","hpskd","bfO",-0.098437537573805
"1A2T_A","hpskd","bfSC",-0.524959796239625
"1A2T_A","hpskd","ddgent",-0.480037618593182
"1A2T_A","hpskd","hbe_mean",-0.0793423109966161
"1A2T_A","hpskd","resvol",-0.349529229445467
"1A2T_A","hpskd","rsa",-0.494629345430243
"1A2T_A","hpskd","seqent",-0.261866985339614
"1A2T_A","hpskd","sizeAA",-0.550687700689793
"1A2T_A","hpskd","sizeSC",-0.550687700689793
"1A2T_A","hpskd","VAAarea",-0.464679670261243
"1A2T_A","hpskd","VAAeccentricity",-0.45171056865218
"1A2T_A","hpskd","VAAedge_length_total",-0.419321725702878
"1A2T_A","hpskd","VAAfree_volume",-0.455154426546045
"1A2T_A","hpskd","VAAmodified_volume",-0.445199642568375
"1A2T_A","hpskd","VAAnfaces",0.0117046538692923
"1A2T_A","hpskd","VAAvolume",-0.449032849822961
"1A2T_A","hpskd","VCAarea",-0.39627726741089
"1A2T_A","hpskd","VCAeccentricity",-0.350833917186303
"1A2T_A","hpskd","VCAedge_length_total",-0.373247880707058
"1A2T_A","hpskd","VCAfree_volume",-0.374571668533511
"1A2T_A","hpskd","VCAmodified_volume",-0.375264961588731
"1A2T_A","hpskd","VCAnfaces",0.116630413846637
"1A2T_A","hpskd","VCAvolume",-0.381090130411395
"1A2T_A","hpskd","VSCarea",-0.505995917262183
"1A2T_A","hpskd","VSCeccentricity",-0.472238071721957
"1A2T_A","hpskd","VSCedge_length_total",-0.472202904682924
"1A2T_A","hpskd","VSCfree_volume",-0.488256658001443
"1A2T_A","hpskd","VSCmodified_volume",-0.484388283707824
"1A2T_A","hpskd","VSCnfaces",0.031463952353043
"1A2T_A","hpskd","VSCvolume",-0.494322972234619
"1A2T_A","hpskd","wcnAA",0.447985374446052
"1A2T_A","hpskd","wcnC",0.30462442789707
"1A2T_A","hpskd","wcnCA",0.382494300041352
"1A2T_A","hpskd","wcnCB",0.44111021831512
"1A2T_A","hpskd","wcnN",0.269274017874926
"1A2T_A","hpskd","wcnO",0.24265005739566
"1A2T_A","hpskd","wcnSC",0.485091624488482
"1A2T_A","hpsww","asa",-0.380730638012625
"1A2T_A","hpsww","bfAA",-0.402981924073258
"1A2T_A","hpsww","bfC",-0.199125075926599
"1A2T_A","hpsww","bfCA",-0.2451828928023
"1A2T_A","hpsww","bfCB",-0.286499308993044
"1A2T_A","hpsww","bfN",-0.230990756070586
"1A2T_A","hpsww","bfO",-0.072951621418317
"1A2T_A","hpsww","bfSC",-0.44874146532222
"1A2T_A","hpsww","ddgent",-0.392010913801092
"1A2T_A","hpsww","hbe_mean",-0.0405499658414901
"1A2T_A","hpsww","resvol",0.0134738547764912
"1A2T_A","hpsww","rsa",-0.339021644322608
"1A2T_A","hpsww","seqent",-0.221917014048446
"1A2T_A","hpsww","sizeAA",-0.239050780780422
"1A2T_A","hpsww","sizeSC",-0.239050780780422
"1A2T_A","hpsww","VAAarea",-0.317358494223313
"1A2T_A","hpsww","VAAeccentricity",-0.300606682461935
"1A2T_A","hpsww","VAAedge_length_total",-0.270168635486489
"1A2T_A","hpsww","VAAfree_volume",-0.345013748447242
"1A2T_A","hpsww","VAAmodified_volume",-0.301612692071746
"1A2T_A","hpsww","VAAnfaces",0.141008267090757
"1A2T_A","hpsww","VAAvolume",-0.302718802140244
"1A2T_A","hpsww","VCAarea",-0.274885869602144
"1A2T_A","hpsww","VCAeccentricity",-0.21092918403514
"1A2T_A","hpsww","VCAedge_length_total",-0.25118208098491
"1A2T_A","hpsww","VCAfree_volume",-0.288249280836945
"1A2T_A","hpsww","VCAmodified_volume",-0.260569001498344
"1A2T_A","hpsww","VCAnfaces",0.15758879139752
"1A2T_A","hpsww","VCAvolume",-0.260709142140507
"1A2T_A","hpsww","VSCarea",-0.361089882112478
"1A2T_A","hpsww","VSCeccentricity",-0.339012725948918
"1A2T_A","hpsww","VSCedge_length_total",-0.33360229615685
"1A2T_A","hpsww","VSCfree_volume",-0.398049473971424
"1A2T_A","hpsww","VSCmodified_volume",-0.344172904594266
"1A2T_A","hpsww","VSCnfaces",0.111481471155403
"1A2T_A","hpsww","VSCvolume",-0.35108233875518
"1A2T_A","hpsww","wcnAA",0.307203302689451
