            pdb_name        expmean_best             sp_best          sp_default             sp_diff                nres
              1EB6_A               4.200              -0.389              -0.372               0.017                 177
              1EH5_A               4.200              -0.531              -0.538              -0.006                 279
              1EUG_A               3.400              -0.615              -0.605               0.011                 225
              1EUU_A               2.800              -0.138              -0.061               0.077                 601
              1EX1_A               3.600              -0.455              -0.430               0.025                 602
              1EXN_A               8.800              -0.305              -0.307              -0.001                 267
              1EXP_A              13.200              -0.515              -0.493               0.022                 312
              1EYP_A               3.800              -0.259              -0.246               0.013                 212
              1FF3_A               4.200              -0.462              -0.457               0.005                 210
              1FGH_A               8.800              -0.632              -0.629               0.003                 753
              1FHL_A               8.800              -0.467              -0.463               0.004                 334
              1FOA_A               8.800              -0.572              -0.563               0.008                 342
              1G24_A              12.000              -0.432              -0.427               0.005                 210
              1G6T_A               6.800              -0.573              -0.577              -0.004                 427
              1G8O_A               3.200              -0.441              -0.409               0.032                 287
              1GA8_A              46.200              -0.543              -0.490               0.053                 271
              1GAL_A               4.200              -0.468              -0.470              -0.002                 581
              1GCU_A               3.200              -0.408              -0.368               0.040                 292
              1GOG_A               3.000              -0.342              -0.270               0.072                 639
              1GP5_A               3.400              -0.438              -0.418               0.020                 346
              1GQ8_A               2.400              -0.491              -0.448               0.043                 318
              1H19_A               6.600              -0.594              -0.595              -0.001                 610
              1H3I_A               5.000              -0.205              -0.195               0.010                 293
              1HKA_A              43.600              -0.455              -0.434               0.021                 158
              1HPL_A               2.800              -0.569              -0.548               0.021                 449
              1HPM_A              35.800              -0.592              -0.547               0.045                 378
              1HQC_A               9.600              -0.331              -0.307               0.024                 314
              1I1E_A               2.400              -0.363              -0.260               0.103                1287
              1I1I_P              49.800              -0.398              -0.386               0.011                 665
              1I9A_A               4.400              -0.505              -0.495               0.009                 175
              1IDJ_A               2.400              -0.563              -0.503               0.060                 359
              1IG8_A              11.200              -0.560              -0.559               0.001                 469
              1IM5_A               3.600              -0.520              -0.511               0.010                 179
              1INP_A              49.000              -0.430              -0.403               0.026                 400
              1IU4_A               3.200              -0.286              -0.269               0.017                 331
              1J00_A              48.200              -0.423              -0.375               0.048                 176
              1J09_A              11.400              -0.499              -0.479               0.020                 468
              1JH6_A               4.000              -0.421              -0.416               0.004                 181
              1JMS_A               4.600              -0.495              -0.491               0.004                 360
              1JOA_A               5.000              -0.453              -0.443               0.010                 446
              1JS4_A               5.000              -0.553              -0.550               0.003                 605
              1K30_A              49.800              -0.457              -0.417               0.040                 363
              1KL7_A              39.600              -0.662              -0.653               0.010                 503
              1KNP_A               3.600              -0.557              -0.544               0.013                 529
              1L1D_A               2.600              -0.568              -0.546               0.022                 142
              1L1L_A              10.400              -0.468              -0.455               0.013                 717
              1L6P_A               8.000              -0.315              -0.265               0.049                 121
              1L7N_A               2.600              -0.552              -0.506               0.045                 207
              1L7Q_A               2.600              -0.295              -0.224               0.071                 571
              1L8T_A               9.000              -0.556              -0.537               0.019                 263
              1L9X_A               9.800              -0.584              -0.577               0.007                 288
              1LBA_A              25.800              -0.560              -0.553               0.006                 146
              1LDM_A              17.600              -0.484              -0.481               0.002                 329
              1LJL_A               6.400              -0.552              -0.532               0.019                 130
              1LVH_A               6.600              -0.604              -0.594               0.010                 220
              1M53_A               3.600              -0.594              -0.576               0.019                 556
              1MBB_A              14.200              -0.632              -0.604               0.028                 340
              1MJ9_A              40.000              -0.599              -0.529               0.070                 273
              1MLA_A               5.200              -0.521              -0.525              -0.004                 305
              1MRQ_A               3.600              -0.476              -0.462               0.014                 323
              1MUD_A               8.800              -0.451              -0.429               0.021                 225
              1MUG_A              21.800              -0.489              -0.463               0.027                 165
              1NDH_A              19.000              -0.421              -0.405               0.016                 270
              1NDI_A               3.200              -0.541              -0.498               0.043                 596
              1NLU_A              15.200              -0.552              -0.541               0.010                 368
              1O8A_A               3.800              -0.437              -0.429               0.008                 574
              1O98_A              20.800              -0.652              -0.630               0.022                 509
              1OG1_A               8.000              -0.464              -0.462               0.002                 223
              1OGO_X              12.200              -0.090              -0.086               0.004                 572
              1OJ4_A               4.600              -0.628              -0.625               0.003                 277
              1ONR_A              31.000              -0.732              -0.722               0.010                 316
              1OPM_A               2.400              -0.382              -0.364               0.018                 310
              1OXA_A               2.200              -0.317              -0.276               0.042                 403
              1OYG_A               5.800              -0.462              -0.455               0.007                 440
              1P1X_A              37.000              -0.550              -0.537               0.014                 250
              1P3D_A               5.800              -0.562              -0.563              -0.001                 449
              1P5D_X               7.000              -0.579              -0.581              -0.002                 454
              1PA9_A              10.200              -0.538              -0.510               0.028                 279
              1PII_A               3.200              -0.582              -0.523               0.059                 452
              1PKN_A              47.000              -0.472              -0.462               0.010                 514
              1PMI_A              24.400              -0.595              -0.567               0.028                 440
              1PP4_A               5.400              -0.419              -0.411               0.008                 233
              1PS9_A               5.400              -0.579              -0.566               0.013                 671
              1PTD_A               7.400              -0.575              -0.560               0.014                 296
              1PUD_A               5.600              -0.446              -0.447              -0.001                 372
              1PYL_A              11.800              -0.263              -0.243               0.021                  95
              1Q91_A               8.200              -0.452              -0.436               0.016                 194
              1QAM_A               5.800              -0.367              -0.362               0.005                 235
              1QAZ_A               0.200               0.082              -0.019               0.063                 351
              1QBA_A               3.400              -0.451              -0.440               0.011                 858
              1QFM_A               3.200              -0.471              -0.447               0.024                 705
              1QGX_A               8.000              -0.511              -0.515              -0.004                 354
              1QJE_A               4.600              -0.297              -0.279               0.019                 327
              1QK2_A              44.000              -0.503              -0.504               0.000                 363
              1QWN_A               3.800              -0.499              -0.496               0.003                1014
              1R1J_A               3.200              -0.410              -0.378               0.032                 696
              1R44_A               5.000              -0.581              -0.563               0.018                 202
              1R4Z_A               4.800              -0.476              -0.467               0.009                 179
              1RBN_A               3.200              -0.496              -0.476               0.019                 124
              1RDD_A               4.400              -0.355              -0.360              -0.005                 155
              1RU4_A               1.800              -0.358              -0.319               0.040                 400
              1S3I_A              31.000              -0.480              -0.451               0.029                 307
              1S95_A               3.800              -0.555              -0.553               0.002                 324
              1SCA_A               3.600              -0.616              -0.620              -0.003                 274
              1SLL_A               2.200              -0.203              -0.134               0.069                 679
              1SML_A               4.400              -0.338              -0.335               0.003                 266
              1SNZ_A               3.000              -0.388              -0.359               0.029                 344
              1TAH_B               4.000              -0.500              -0.499               0.001                 318
              1TLP_E               2.600              -0.514              -0.530              -0.017                 316
              1U3F_A               9.600              -0.488              -0.463               0.026                 164
              1U5U_A               1.400              -0.136              -0.102               0.033                 366
              1UAS_A               7.600              -0.547              -0.548              -0.001                 362
              1UN1_A               3.400              -0.450              -0.450               0.000                 267
              1VID_A               4.400              -0.435              -0.434               0.001                 213
              1VLB_A               2.200              -0.316              -0.241               0.075                 907
              1VNC_A               3.200              -0.247              -0.245               0.001                 576
              1VQ1_A               9.000              -0.585              -0.579               0.006                 263
              1W0H_A               3.600              -0.537              -0.529               0.009                 194
              1XQW_A               3.600              -0.467              -0.440               0.027                 290
              1Y9M_A               9.000              -0.563              -0.555               0.009                 517
              1YON_A               5.200              -0.461              -0.454               0.008                 292
              1YSC_A               3.200              -0.580              -0.572               0.008                 421
              1ZE1_A              12.400              -0.434              -0.416               0.018                 308
              1ZIO_A               3.800              -0.540              -0.527               0.013                 217
              206L_A               3.800              -0.396              -0.382               0.013                 162
              2A0N_A              50.000              -0.559              -0.482               0.077                 251
              2ABK_A              10.600              -0.490              -0.459               0.031                 211
              2ACY_A               3.200              -0.327              -0.292               0.035                  98
              2AYH_A               3.000              -0.393              -0.388               0.005                 214
              2CPO_A               4.800              -0.125              -0.116               0.009                 298
              2CPU_A               3.800              -0.514              -0.504               0.011                 495
              2DLN_A               6.200              -0.642              -0.649              -0.007                 306
              2EBN_A              47.200              -0.392              -0.337               0.055                 285
              2ENG_A               1.800              -0.457              -0.449               0.009                 205
              2F61_A               4.600              -0.475              -0.471               0.005                 497
              2F9R_A              49.800              -0.360              -0.237               0.124                 285
              2NLR_A               6.400              -0.288              -0.288               0.000                 222
              2NMT_A               4.000              -0.443              -0.428               0.015                 422
              2PEC_A               3.400              -0.426              -0.421               0.005                 352
              2PIA_A               4.000              -0.564              -0.534               0.029                 321
              2PTH_A              34.200              -0.416              -0.388               0.027                 193
              2SQC_A               2.800              -0.498              -0.474               0.024                 623
              2THI_A               2.600              -0.148              -0.106               0.042                 362
              2TPS_A              31.800              -0.582              -0.526               0.055                 226
              5EAT_A               2.600              -0.274              -0.197               0.077                 532
              7ATJ_A               3.800              -0.578              -0.544               0.034                 305
