"pdb","r.seqent_wcnSC","r.seqent_wcnAA","r.seqent_wcnN","r.seqent_wcnCA","r.seqent_wcnC","r.seqent_wcnO","r.seqent_wcnCB","r.seqent_bfSC","r.seqent_bfAA","r.seqent_bfN","r.seqent_bfCA","r.seqent_bfC","r.seqent_bfO","r.seqent_bfCB","r.ddgent_wcnSC","r.ddgent_wcnAA","r.ddgent_wcnN","r.ddgent_wcnCA","r.ddgent_wcnC","r.ddgent_wcnO","r.ddgent_wcnCB","r.rsa_wcnSC","r.rsa_wcnAA","r.rsa_wcnN","r.rsa_wcnCA","r.rsa_wcnC","r.rsa_wcnO","r.rsa_wcnCB"
"1AKO",-0.477694787115993,-0.464577293000947,-0.37359385246582,-0.427580671692444,-0.388643489360647,-0.357167676863113,-0.446807316304025,0.396617995736559,0.376083587267904,0.298421626872425,0.327944917529679,0.296986499376074,0.276810013746169,0.374387775725957,-0.813421925916136,-0.798246560107029,-0.659774931781924,-0.733694212202011,-0.66175367679376,-0.630413572669629,-0.786606626863178,-0.913027739251688,-0.897386746246407,-0.760720313535089,-0.832832744141075,-0.783726385704637,-0.767882672635842,-0.879885663906413
"1AMY",-0.484250184749864,-0.464697327349761,-0.378572475379226,-0.421822237917746,-0.401756829174733,-0.375651363594126,-0.460355446344052,0.406466649968114,0.415197776070638,0.335859784849748,0.369121572942676,0.339608592880697,0.32068884628074,0.389574525147728,-0.692041292200032,-0.659251344192973,-0.520078647618845,-0.620941798635254,-0.549723130899809,-0.536798417073662,-0.68475003309375,-0.854137416264344,-0.828313318709499,-0.689605837661192,-0.789657523640516,-0.737438380262529,-0.723472587305319,-0.841177780816432
"1AQ2",-0.6452603451619,-0.623417427633708,-0.540414616965333,-0.584133525252314,-0.55478353625609,-0.54467006558204,-0.619707549352477,0.480892525305723,0.477331981689208,0.385458851593436,0.432024508353188,0.414116220860012,0.398995705121993,0.444385972693553,-0.663857799395125,-0.636810415939764,-0.53619098148671,-0.60259563151048,-0.544990611256366,-0.525631378479554,-0.64316895266304,-0.833091839953432,-0.809848556970704,-0.720504227007664,-0.78038832273211,-0.736087644582084,-0.730178123897114,-0.818762661727512
"1AQL",-0.506741800938438,-0.498013761878679,-0.418559133602271,-0.466591402614494,-0.438455646742875,-0.440895444168882,-0.489906062982753,0.293853285356074,0.279105305065368,0.200328188087462,0.210776897727655,0.192391992104162,0.183905656343538,0.223157316200525,-0.735758769200165,-0.689735516327627,-0.563938386048436,-0.635926716973692,-0.59271361856162,-0.582451693197761,-0.702204361350159,-0.83215073203616,-0.806465272407911,-0.704660041935351,-0.761931619815777,-0.732421534180168,-0.730571292785668,-0.808261213630619
"1AST",-0.607537050372096,-0.54512595493743,-0.438335019512212,-0.523702963340308,-0.424955587955967,-0.38929135479822,-0.581841011259786,0.459670254999228,0.465267894740469,0.297099484635525,0.347885162267724,0.301718716422801,0.357708801995002,0.423540587929873,-0.733405835145879,-0.663453086327158,-0.455117377934448,-0.580103502587565,-0.466780169504238,-0.438531463286582,-0.682428560714018,-0.90250292710841,-0.868618014857248,-0.699637954211973,-0.808023271156009,-0.729434512030119,-0.699104853817586,-0.870619769295893
"1B04",-0.471126018729725,-0.455402081901839,-0.325025849725765,-0.410410591224151,-0.367055297653835,-0.370891765732791,-0.435841676994997,0.0429016564612269,0.032982104781656,-0.00698140565298112,0.00444145503988871,0.00956306778458546,0.00645128903136879,0.017425437433026,-0.714832788364418,-0.661367360071217,-0.52695274933209,-0.611600536946274,-0.567400553662906,-0.557833806467725,-0.698045261791519,-0.833289953266196,-0.795898896243766,-0.641025060300252,-0.730917539119404,-0.69707286825169,-0.683299071051187,-0.806391203500484
"1B2R",-0.487793192147036,-0.47471338849349,-0.363510517030518,-0.438994006887901,-0.414551994410519,-0.396218907454836,-0.479411824860569,0.385742994676747,0.384399680652011,0.298945649248695,0.332586055382311,0.291460140987777,0.287525898152472,0.3494327583906,-0.706205184776613,-0.684347509044846,-0.542011087531669,-0.624930586068601,-0.574567857376574,-0.544449222657455,-0.688945656136939,-0.870995962735352,-0.864708997701372,-0.728071526950411,-0.805254249205298,-0.776705286226325,-0.774337939026669,-0.858238201912707
"1BBS",-0.624586586277193,-0.589045350423243,-0.496054108496658,-0.546026634450174,-0.486456632963066,-0.478343799500345,-0.616503865915653,0.586104642842945,0.568309540391349,0.229097246935389,0.251726237095825,0.256216793424738,0.294221143025491,0.339960760377378,-0.660131322366565,-0.610491163387281,-0.484017856876979,-0.545428915473707,-0.475337596032361,-0.46277385160767,-0.63518053599092,-0.849982796275793,-0.825035173752003,-0.697958412959458,-0.765504201525189,-0.721937793747379,-0.720500828968717,-0.826649793007851
"1BF2",-0.442234648089332,-0.422467337232867,-0.369495306132657,-0.407316547092562,-0.370343274226402,-0.351772068645488,-0.424500938171305,0.332819942492693,0.34371311622957,0.302389699895255,0.315196150131113,0.310941155180165,0.297928881790462,0.323098232769039,-0.631422861196198,-0.596819706346144,-0.502659467839054,-0.558823919686968,-0.518465135049129,-0.505231959523484,-0.610985605307743,-0.82555481097417,-0.808524150546358,-0.72248252560318,-0.781300411254614,-0.747457610752388,-0.745407593296631,-0.813526392546441
"1BG0",-0.614881047851604,-0.618805470206192,-0.491375712843654,-0.59062995290962,-0.541948231674291,-0.547054635251772,-0.611712518979343,0.611939279281434,0.587660316536097,0.497533465562529,0.534791940023639,0.508093959778602,0.495591297309532,0.577159399151392,-0.714332791195288,-0.668889476980854,-0.50948413548043,-0.606708858571123,-0.528230054484209,-0.516051763322832,-0.683470286357936,-0.857353671491133,-0.828202516761416,-0.698966917213634,-0.774763065525155,-0.72886018471312,-0.725426230168617,-0.832644262313546
"1BH2",-0.625431146825136,-0.565654529932709,-0.408928491806609,-0.507290639326445,-0.456945059838594,-0.452726846129417,-0.570627579863817,0.299110792662815,0.280224500597856,0.173032446326902,0.213325184843223,0.195141167344691,0.208745195509668,0.272576181479796,-0.662272568464619,-0.619923751166192,-0.434132679113732,-0.544171724966694,-0.478329743572024,-0.503157454225744,-0.625736093034327,-0.831286269755309,-0.811041644861583,-0.624122587735828,-0.732890605789905,-0.697161472086967,-0.717446280527896,-0.799545112780094
"1BOL",-0.510174466961367,-0.458680215547364,-0.331536678220047,-0.382939341886311,-0.337007812180748,-0.322314834039093,-0.447127545450915,0.388804903360178,0.365222523070201,0.330456808393277,0.34535330532027,0.308769513132037,0.272013739544451,0.370866233832353,-0.716389237887523,-0.62782846560214,-0.432338655234989,-0.536376503931239,-0.434508144083454,-0.411587022771407,-0.648813718452336,-0.899489183333071,-0.879379753503823,-0.692673318527829,-0.794763886028537,-0.743325203429923,-0.733486940182856,-0.863030931353757
"1BP2",-0.658715443281723,-0.624382990157031,-0.356567279253493,-0.537950354056645,-0.449982513852232,-0.43185678472487,-0.624982880836336,0.559194869672647,0.582390642605741,0.287108745276847,0.335388368682311,0.333872491798962,0.439990398604413,0.365809889973766,-0.82258064516129,-0.723749209993422,-0.414318143710258,-0.615805290786911,-0.487495324450865,-0.483361494112033,-0.768847299789762,-0.917400675039476,-0.866098196808165,-0.597530190914157,-0.76341261156854,-0.648748815217385,-0.620986714719798,-0.886806891893552
"1BQC",-0.5429227186961,-0.521612812085913,-0.431216494963164,-0.499419349485265,-0.465794990177644,-0.474852746115365,-0.510563569741684,0.497608175607549,0.46170293018971,0.35374604456816,0.41040535146124,0.370106259216485,0.363624758688822,0.435350982991756,-0.723078122865861,-0.702845257573655,-0.54153564572096,-0.63457197186133,-0.573109197566915,-0.564904082320401,-0.698915881775412,-0.901901725232889,-0.89131838384909,-0.749195744831145,-0.841140486377638,-0.791556349087186,-0.774381237258898,-0.884255427467403
"1BS0",-0.500763350929293,-0.481626974223972,-0.387211243966486,-0.453742231392373,-0.404539120182054,-0.39138073848131,-0.4854499987932,0.227257425690598,0.21828411094141,0.0841293804898131,0.154005246145173,0.101838734489741,0.115287759144907,0.194171217553827,-0.664388336773612,-0.635988741063251,-0.499962621150192,-0.59868464895493,-0.545977266824327,-0.5571535429169,-0.653024739245144,-0.840713386255226,-0.814028688389863,-0.682208061298606,-0.772550495439971,-0.731354871021158,-0.740861948630448,-0.819874465304893
"1BS4",-0.569996880478888,-0.567434311485216,-0.493609788040532,-0.515039651077537,-0.501131637048145,-0.455395351313254,-0.559673171202997,0.494384635977354,0.476797360339458,0.428167511162641,0.43318595438758,0.394129418608832,0.368556007719703,0.466565695255911,-0.760367683905224,-0.711046208512814,-0.538722217441702,-0.62084368878473,-0.522276663916461,-0.510814381380941,-0.727228552194006,-0.902890586778065,-0.879951710387566,-0.712406987964658,-0.79512193713095,-0.722950715734741,-0.717119119964716,-0.87443037324157
"1BS9",-0.445702542076945,-0.412091086337415,-0.286137760568727,-0.401225506453981,-0.357802422609026,-0.368195821272274,-0.439621010315516,0.404212297982604,0.390278749283408,0.300286051466989,0.336130940608407,0.356881105705486,0.322275901048328,0.389084561232274,-0.716031593986427,-0.652183383662911,-0.484079888733751,-0.593671190916864,-0.50228918401143,-0.517812882207142,-0.688963210702341,-0.91999200690334,-0.894095413402113,-0.733784491340374,-0.835302744028869,-0.787927107540694,-0.799103503563315,-0.897282665591485
"1BT1",-0.537044181273268,-0.49083731973818,-0.383360594788718,-0.437022084230651,-0.389168304964101,-0.375478419952547,-0.49500633728026,0.373517929887964,0.376309214389285,0.262702532728633,0.288124935148451,0.283940914890657,0.258462395771472,0.331482978036867,-0.787283379625822,-0.737082497643196,-0.607849265752627,-0.68117024036241,-0.610654337469077,-0.588066344833695,-0.758386743687244,-0.907719507749244,-0.881899723846957,-0.758338859756926,-0.832232301315294,-0.776944677073118,-0.766156553992906,-0.890105947828726
"1BU7",-0.357565514696366,-0.32699593905534,-0.248674813695702,-0.290347558127297,-0.256874031724637,-0.267338446002425,-0.337914832137345,0.31194493741599,0.299124018324303,0.216248738795671,0.220604858389045,0.235922053540144,0.240270818815032,0.276050542303377,-0.718551886323739,-0.679746766101971,-0.558119459951132,-0.62137914253611,-0.556932656955843,-0.554589752931974,-0.688244076813518,-0.817404121666834,-0.79241850522862,-0.674272787073817,-0.742554145503552,-0.701818002733704,-0.701287462984717,-0.799809650873487
"1BVV",-0.455329940100605,-0.414966495679899,-0.276723617539169,-0.347209205137311,-0.31900606214657,-0.316647350312158,-0.420792675012148,0.401245030138228,0.375655125652982,0.243580522094212,0.302919225555737,0.284970575137326,0.278087505179723,0.380621106006895,-0.754639702816421,-0.700687995148023,-0.498866608544028,-0.60354421742921,-0.51936241992343,-0.478330995792426,-0.727984155263258,-0.925851240942272,-0.923332802248945,-0.74184270575711,-0.843943061447261,-0.803251744642662,-0.772495430894684,-0.904084327798135
"1BVZ",-0.502064432811685,-0.470352493757753,-0.424040663494859,-0.445217860418925,-0.410636520722625,-0.381119474458112,-0.485048349338223,0.430073476307585,0.449776924058776,0.413130611962929,0.408745112722552,0.395513760579327,0.35017872328415,0.421451499682496,-0.645755186886142,-0.602681404652044,-0.481704410726338,-0.557544676091593,-0.505513977349968,-0.49815535423792,-0.630649351272101,-0.794512405439583,-0.755474006479976,-0.630522397951109,-0.710274560425262,-0.663673858347166,-0.655928115674698,-0.777530946578302
"1BWL",-0.476747483275638,-0.486727488504852,-0.391235360973143,-0.451515703378202,-0.421576726723433,-0.429519188483281,-0.463378625093363,0.294423188074602,0.287727864054206,0.237987352268228,0.244335177207458,0.2126760506174,0.236864580151235,0.272922962683343,-0.732018929232629,-0.70191956020705,-0.532555068575963,-0.630282805002456,-0.56872936109117,-0.566394188990063,-0.701724600445838,-0.864037494682332,-0.842360262421561,-0.695112063908765,-0.788820779739647,-0.742770820976469,-0.737443427343822,-0.838935130831225
"1BWZ",-0.616931990455074,-0.599003147511736,-0.540736085665662,-0.544509350380672,-0.506603971038232,-0.486621015537388,-0.600860018579346,0.21891057660332,0.2134648942183,0.14368944688108,0.169536456362935,0.153508205326846,0.176981046276503,0.144147537924863,-0.709520260761137,-0.671778732216688,-0.550587222995982,-0.599857660587588,-0.55416554248671,-0.541357912160832,-0.671156872324756,-0.846772912327137,-0.816396907371694,-0.689265885354002,-0.75845766887852,-0.724248507647388,-0.719408100758175,-0.817440933869687
"1BYA",-0.52968335847025,-0.486610807710077,-0.335506748840869,-0.422633332893552,-0.379675845158136,-0.360362288353898,-0.484333624279557,0.423342613060339,0.396088586678723,0.243992352607697,0.309335952651634,0.220278676466396,0.189878982885866,0.384927800121804,-0.678746759744084,-0.652728201707388,-0.515493416083834,-0.581985748449695,-0.545663151257224,-0.535107393511277,-0.641987634058144,-0.83113095185207,-0.810660323644481,-0.681504747929062,-0.750327237474233,-0.720948414677993,-0.716067152375676,-0.802291908909102
"1BZC",-0.651080355666815,-0.633902356686219,-0.53050341326026,-0.597816030840828,-0.567123838989959,-0.557384990241869,-0.631753818515252,0.542259460677778,0.549601606679124,0.47128515047699,0.519674455310805,0.494118530898023,0.463402185511476,0.525223623399054,-0.821590199106978,-0.799995236236847,-0.683747505895157,-0.753398303733874,-0.71678053892819,-0.71148772323269,-0.807199511897499,-0.89623073956153,-0.871087781240655,-0.730540143678963,-0.815706717503934,-0.771263834138732,-0.769566601660245,-0.870212487634541
"1C82",-0.436695677608564,-0.427504445589472,-0.364635319611087,-0.411936068742954,-0.384759408701087,-0.393758127648144,-0.439235055135641,0.401886592943107,0.387853938714173,0.332605866342755,0.349531453925562,0.340149242038038,0.344760147509601,0.381182867085454,-0.687170519510875,-0.646913785911775,-0.568386305905628,-0.617995242541289,-0.561293669764697,-0.550371208335109,-0.668874610486297,-0.799339683051966,-0.771314062211473,-0.694967884106073,-0.739443090107512,-0.696183560153981,-0.69165668764414,-0.781495086073961
"1CA2",-0.683406935043056,-0.634007979626457,-0.509271379202197,-0.547156572034764,-0.472749498259122,-0.430309441778974,-0.616916511840817,0.576366366460143,0.539279096748435,0.466508888658687,0.48659018220279,0.456148469899984,0.439396106907787,0.527730718582146,-0.789919031815061,-0.758391508354314,-0.612594415197986,-0.69973606660563,-0.62261172465095,-0.57481188487068,-0.774063000686656,-0.898211743316533,-0.886607653581594,-0.766333369240409,-0.829776108865225,-0.771996165031059,-0.733513598408921,-0.886874323628321
"1CB8",-0.535335303734208,-0.526091213589593,-0.471282049020948,-0.500297480561765,-0.485816690010675,-0.48104101049917,-0.527519543564623,0.447790394463741,0.435225363353046,0.379972412796404,0.404923259572363,0.367493154369837,0.373498443729927,0.418913721410816,-0.670395143270483,-0.626202745529733,-0.54849981555049,-0.585615348550785,-0.535880039721557,-0.531834633298207,-0.652002200656572,-0.803864553207714,-0.771195588645174,-0.694855071055526,-0.731157017545112,-0.692206704456212,-0.687676777620878,-0.782070339987022
"1CBX",-0.543357643975442,-0.525142307341339,-0.395906733512956,-0.486600612591633,-0.446507586633369,-0.450077659897175,-0.526735734557829,0.481661922166707,0.493674087200381,0.206544538375852,0.234698438230521,0.179329742282923,0.362939036663348,0.19577307048154,-0.690659088628048,-0.660961986215866,-0.499851524856315,-0.600553339488001,-0.538772749253684,-0.526752068905738,-0.662776037273067,-0.913427598993789,-0.891606646106176,-0.741224958755004,-0.831622307556825,-0.799644421591423,-0.789708666483687,-0.876802273294855
"1CDG",-0.308792832006426,-0.274319283958616,-0.225970502076063,-0.247912964001215,-0.206621491950482,-0.191756170965802,-0.285808781523584,0.151058382037152,0.11171320305314,0.023415496060051,0.0546672040719229,0.00278140452796392,0.0175825798924936,0.111166875965329,-0.579118216356398,-0.536087250378429,-0.441771577740567,-0.491865942182183,-0.438594977631599,-0.433526572355814,-0.555708958112299,-0.801164505823145,-0.764776690207759,-0.664136008360593,-0.726702843063969,-0.681136650808689,-0.67938760155769,-0.779795963781756
"1CEL",-0.606936164994002,-0.555128152739641,-0.444559141745123,-0.510427964620295,-0.451506585116986,-0.439189194690629,-0.560105056062137,0.414930340766325,0.41070672530943,0.353038828977841,0.361775885068995,0.339187230770953,0.359666254962634,0.394455283314666,-0.713690165778,-0.667712313264723,-0.534381581483571,-0.607192227508103,-0.539885933762116,-0.530185100437652,-0.678400997340504,-0.853250653200561,-0.829236937957584,-0.70760200223325,-0.787177651584096,-0.740400497765373,-0.734818192198419,-0.836401654982674
"1CHD",-0.494138682256677,-0.470153078704127,-0.32474600977326,-0.388608674477164,-0.343187614206312,-0.291902530326912,-0.458707951687496,0.43619902812929,0.429186079075571,0.361750950953443,0.393907431251756,0.380608941975704,0.384542750842565,0.419451515523607,-0.809066869495918,-0.786202200048079,-0.582511851674926,-0.71232257271591,-0.635814822458702,-0.60639221333556,-0.784963890363987,-0.931968162947105,-0.913027686316135,-0.716565842163278,-0.840545163193856,-0.787028730821423,-0.780978365468649,-0.900448825391559
"1CHK",-0.453601782422961,-0.410805525292714,-0.218186762518239,-0.325154706717523,-0.254180552886362,-0.26690558083689,-0.418903594040216,0.143216220745158,0.106041306159587,0.00938391675713145,0.0736099372313998,0.0382312478887044,0.0557005377582736,0.0975483723962273,-0.684441119279129,-0.63786546343552,-0.429184734642758,-0.548593379409918,-0.47744987513569,-0.450410109491601,-0.653527466810038,-0.883154959570606,-0.850890735342272,-0.651732693299594,-0.777196157057304,-0.72940496716174,-0.708762675175098,-0.847703407831702
"1CM0",-0.439813932745381,-0.386367581619649,-0.183816213424109,-0.303283697522161,-0.230242703168817,-0.23643553624882,-0.398885911022481,0.23820814298275,0.182924264812768,0.0901156082842903,0.124475079369055,0.0897371845361564,0.0996672817673393,0.178872895553518,-0.774495068173382,-0.739909478506438,-0.552803498922464,-0.675299656628011,-0.61074628719334,-0.579827283748329,-0.741272805023138,-0.922465951481647,-0.906947951449757,-0.740106503841445,-0.854056269659381,-0.785688952019567,-0.789000418947839,-0.90346702779168
"1CNS",-0.581362382461184,-0.524655615877154,-0.394123966157706,-0.488328594911149,-0.402361670338822,-0.400152125724963,-0.568240597831568,0.453973148407213,0.438960585504365,0.308521968648815,0.377726162992074,0.3020917139335,0.269582296474359,0.408562261337153,-0.709669137140573,-0.652910124594178,-0.508340567456315,-0.59198960962498,-0.524677976987962,-0.520149332369899,-0.687718382700996,-0.903036218694373,-0.871189600231136,-0.722546468799884,-0.816805716763637,-0.767938005754714,-0.759238345549616,-0.882015639040372
"1COY",-0.493959638172873,-0.475963216358031,-0.4372966461677,-0.459175856967065,-0.438581143780691,-0.400332974079507,-0.492768420632443,0.372040074472249,0.367079632612279,0.326425332894982,0.351697276275152,0.321135287074686,0.288204251596293,0.357696927204896,-0.64912422167617,-0.617134718610588,-0.494038790944008,-0.557540663692535,-0.527083045065248,-0.518933893169836,-0.623157764152969,-0.799693464330897,-0.769006881971335,-0.650528497921801,-0.716993297809417,-0.685156286141916,-0.683376297216026,-0.777751972156764
"1CQQ",-0.411409817175427,-0.376110373776968,-0.352161074930296,-0.296546189697213,-0.296994763212856,-0.278967457843349,-0.378618681646553,0.311374128187381,0.290834079241129,0.223854438098367,0.228607232370987,0.189840019227956,0.169862957332337,0.296785836100276,-0.789143697850757,-0.770573165838452,-0.691912301820015,-0.70621932775703,-0.642334639958023,-0.61797997880593,-0.774863421710547,-0.927560819632929,-0.921429712698202,-0.810220421344159,-0.865705496004969,-0.809982310096358,-0.771069159811744,-0.909918940818562
"1CVR",-0.389297555518105,-0.383874858221107,-0.322529553138381,-0.363934106458167,-0.333412456508147,-0.331489387528206,-0.392485057236792,0.347537791503908,0.349500720220617,0.303498367751218,0.326381589813099,0.30930939535348,0.321856964913976,0.335014322762901,-0.750977758487551,-0.707721210973758,-0.57191846068753,-0.654766710307828,-0.589957204274571,-0.572751393629581,-0.728826148021531,-0.882279829534952,-0.855612127296458,-0.72664891955805,-0.799072023928847,-0.746027758907086,-0.732891098780398,-0.858015520824927
"1CWY",-0.649052799862765,-0.621418829722618,-0.490901019221632,-0.574147588027949,-0.510377290187542,-0.499861129200647,-0.620758698507775,0.376608425525463,0.352609426950984,0.291158204919537,0.304839804483311,0.279273158830128,0.275925248202415,0.334148642574499,-0.682066024264097,-0.63625598502394,-0.517451957807831,-0.592072288289153,-0.537152004608018,-0.534288601154405,-0.651166860667443,-0.811424103120585,-0.782134556430867,-0.654829466964751,-0.731379370544857,-0.694760610499755,-0.695273573225985,-0.782928182361945
