"pdb","p.seqent_ddgent","p.seqent_asa","p.seqent_rsa","p.seqent_hbe","p.ddgent_asa","p.ddgent_rsa","p.ddgent_hbe","p.asa_rsa","p.asa_hbe","p.rsa_hbe"
"1AGY_A",6.78087178743972e-23,6.10809604006135e-16,1.65777452861197e-14,0.146849596469211,4.80290896015196e-49,6.27986856376674e-47,3.03410416844522e-07,5.75515085265579e-137,4.32021136686739e-12,2.00306076182675e-14
"1AH7_A",3.30193456889077e-12,6.2436771861415e-13,1.05222070578163e-13,0.0724777636120261,4.98141515896962e-52,8.45719050058671e-59,5.46016790900679e-08,4.56656052843039e-184,5.76467825478282e-12,6.08550669547073e-14
"1AJ0_A",1.49196806536717e-14,2.04427459652694e-16,3.58188440999809e-15,0.742252183975358,6.65170511423556e-60,1.6079964397306e-56,5.73057816340668e-08,2.15424412968249e-195,2.84391446523219e-12,1.19912494035561e-14
"1AK0_A",3.93765418850551e-25,8.91868232627542e-29,5.2578990949478e-30,0.00488639351583524,1.26895009113143e-54,6.8522139032981e-55,1.707379586853e-05,3.25480009357967e-173,8.03792723465632e-12,6.62995930020692e-15
"1AKO_A",1.8459808571952e-15,3.23999223977012e-14,1.03707271274515e-14,0.868779339058277,1.08566313465934e-76,5.54115105195409e-75,8.20545994689823e-08,1.72018609169198e-202,3.61394957790243e-11,2.15292910824444e-12
"1AMY_A",3.9867912363261e-21,2.16384686095089e-18,1.19897862789326e-19,0.139172331714077,5.37373736549131e-87,7.6874521700795e-83,7.45989942173604e-06,7.74405890986638e-269,2.92172315230561e-12,7.61525387753134e-15
"1AQ2_A",1.3754512305279e-37,1.54613769494559e-38,6.0259092691706e-38,0.0230225851860255,8.72250785047951e-127,3.776342312959e-123,1.41249718687889e-16,0,1.30478695698133e-30,4.67219048136635e-34
"1AQL_A",1.61815413474194e-39,7.59717652061539e-37,9.78867239874327e-36,5.65340749587367e-05,2.24249491502714e-133,4.76289967500676e-134,3.4961651483314e-13,0,4.21943688113092e-24,2.03775368464984e-28
"1AST_A",3.66205174208204e-22,1.98579112465853e-17,1.25206273825893e-19,0.299924772728081,4.0220007186022e-44,5.75016210112453e-43,0.00310343309494585,5.37541113076036e-119,1.2192707110567e-06,1.97224272015446e-08
"1B04_A",1.23485924835635e-13,2.61444603720365e-14,1.05172727096364e-15,0.39846793019943,2.55375788707929e-73,1.07563809085135e-79,4.96667939705805e-06,3.53346351625059e-198,2.52852806993826e-08,6.30459836682499e-11
"1B2R_A",6.44226005361775e-16,5.51594822104664e-16,4.53178346824087e-15,0.00748887904459804,3.64894554339235e-71,3.00518936666288e-63,2.85504360372927e-10,7.71142649377315e-190,8.83402488377884e-20,1.8428154113054e-23
"1BBS_A",4.24491719818691e-35,7.13013223006992e-36,1.10644247081741e-32,0.000995754506023743,1.30763230915645e-74,1.53272270933513e-66,6.38146608693128e-10,3.441068022941e-233,1.24429244103014e-24,4.98644130490027e-28
"1BF2_A",1.44350628698754e-28,7.96212142639611e-25,5.27102443759809e-25,0.022959530489126,5.51015803770494e-138,8.34837093383251e-132,5.257553470002e-18,0,6.16057549662319e-36,2.93480717812814e-41
"1BG0_A",3.51509611893807e-33,1.46492610964075e-29,1.12988216642445e-30,0.0224809346501179,3.51738051826219e-76,2.01582502350428e-74,0.000112399700214719,9.80387019630277e-252,5.42815818070635e-11,1.4849505086985e-13
"1BH2_A",3.4801947868923e-19,6.45358901259188e-20,2.03895120016662e-23,0.229368204001746,5.96237991708072e-72,3.70160059226476e-79,1.53884241111857e-09,6.39502899415352e-224,5.88404039912434e-16,4.3186973390088e-18
"1BOL_A",8.52422981328685e-15,3.2995123977682e-13,1.35112059798098e-13,0.0751437726847464,4.70574587009027e-43,2.07459721027246e-40,9.46176181923929e-05,1.93450819777336e-132,9.9474678504261e-11,1.67180577003857e-12
"1BP2_A",2.13367171719872e-15,3.90524372169731e-13,4.84130577717877e-12,0.150659114866887,6.8124455450397e-32,1.14111828213879e-30,0.0708959503024873,5.71608232601748e-78,0.0121200439119036,0.00227081782096862
"1BQC_A",3.95518870078888e-20,3.45721571054665e-20,4.52205707132146e-20,0.00357421267641569,9.15323386348664e-63,1.65683163284554e-59,2.29287678381467e-07,5.6682852541054e-205,3.91809241926842e-13,2.99886040358194e-15
"1BS0_A",1.39943373795261e-18,1.84087714332679e-22,4.42686195864621e-21,0.682787038474474,1.13669989639412e-82,1.93200781622534e-86,2.12157084862937e-09,5.50325968674216e-255,1.88286943645849e-11,4.97551088084814e-15
"1BS4_A",5.04407068877351e-12,1.47628287602913e-12,1.06112280399838e-12,0.210897329977961,4.98988667261335e-44,4.64165299151234e-44,1.38229081156493e-05,1.06023451380626e-116,8.56180311589427e-08,7.93080374460921e-10
"1BS9_A",2.66528999399053e-17,5.84616237315459e-12,8.72846856512403e-12,0.0511412008894371,1.26748663891296e-43,2.16365372913505e-38,1.09518891482657e-05,5.84374195094653e-137,8.97179422427063e-14,2.96576850833227e-16
"1BT1_A",2.58111804201644e-23,8.55873598302261e-25,6.38555553214464e-25,0.0398941742669692,1.34989510966548e-88,8.48926954762506e-89,2.39155196861141e-07,1.37883862246257e-249,1.38081032392085e-10,4.99787509362144e-13
"1BU7_A",4.29287037784666e-22,9.67404715526673e-17,7.20556866010009e-16,0.0457310207770838,2.98711833803885e-123,4.91085369680402e-121,8.41145428778984e-14,0,1.07710687039767e-21,2.23149230390339e-25
"1BVV_A",7.86220750818226e-14,3.54045105570715e-10,1.27913439368985e-09,0.00356817080956537,2.35493758478261e-39,1.35131723326952e-36,3.48220884395369e-06,3.44499329107731e-112,4.4102531243638e-15,8.43967548914809e-18
"1BVZ_A",7.35356606122165e-40,1.66467120860745e-33,8.98071641711088e-37,0.000701797269583114,2.08723009366001e-140,5.33098278252277e-136,5.7662533836781e-18,0,6.37817043455587e-21,4.63398984521928e-27
"1BWL_A",7.18514673252225e-31,3.76924803138004e-27,2.5963796906476e-26,0.457678995378497,7.0538008018293e-95,2.40325940112144e-91,1.34227346292294e-05,1.61451054726107e-296,8.39843748974226e-09,2.34325202631885e-09
"1BWZ_A",4.39503481996157e-21,1.67141966597929e-21,6.05166638283771e-19,8.99656763022769e-06,4.3333218300466e-71,2.85130044962612e-61,1.93944929253496e-16,1.0363397269516e-190,1.77409041366869e-25,4.00180695166712e-29
"1BYA_A",9.07596582894694e-36,1.14573888728381e-35,3.97230964595779e-35,0.222352602142307,2.93443108710106e-114,1.49572876819251e-109,2.08666145808682e-11,0,3.16774480117224e-20,1.31661677911152e-23
"1BZC_A",8.09907997500766e-28,2.38656120312364e-28,2.39919133075251e-29,0.0272442161929975,1.60514797888055e-89,1.47812204568775e-89,2.90038520165304e-11,4.17418659508295e-238,2.16631110385448e-13,8.66611217499613e-15
"1C82_A",0,8.01674684942081e-41,3.99781802820729e-41,6.08864838202802e-09,6.48809357597652e-187,7.03913196075615e-195,1.47797662850963e-35,0,7.0477940422862e-49,1.05179639786915e-52
"1CA2_A",3.97268875985799e-35,1.71151512670335e-27,4.75363949260849e-29,0.0359461714441314,1.85167229375519e-62,1.44292374233589e-61,7.01396113361753e-09,2.52277171105699e-179,1.2157580275208e-13,1.5382341090311e-15
"1CB8_A",0,2.08778298922035e-46,1.79069909923166e-46,6.97113464897215e-06,1.49419886216901e-157,2.08731450837462e-158,3.58337028926679e-19,0,6.53228010076066e-32,5.63895553273376e-35
"1CBX_A",3.23713910385044e-20,1.17163214971009e-19,7.60234964246217e-21,0.163765387921906,9.00834596128061e-58,4.50216300654212e-54,6.19502002321572e-07,3.04235845576339e-220,7.49877817091449e-18,6.38389690500685e-20
"1CDG_A",5.21159687576089e-40,1.2099448587438e-26,2.30501602275276e-27,0.00674743381295165,4.64368993539659e-132,1.34926092514092e-122,4.70983774351229e-14,0,7.32488442292076e-23,2.15987114051593e-27
"1CEL_A",6.28645716331941e-57,3.15357341961399e-40,3.76461605178638e-40,4.59636656316379e-06,6.21279743787334e-107,6.22959727956399e-99,3.6976847980793e-12,9.37237337986228e-298,3.1562796885723e-25,1.36469803612116e-28
"1CHD_A",6.45321856623307e-15,2.77893766153568e-13,6.83942912826287e-12,0.291974618232291,1.96864676103771e-54,6.16379967916886e-50,7.56639981883804e-05,1.49505594963179e-132,9.63987030650635e-11,6.40331516719199e-13
"1CHK_B",2.31558848141316e-16,1.16662922924058e-12,1.01583878328196e-11,0.0110538449868359,2.66770799194875e-51,7.63450034060836e-45,2.36086508652456e-10,4.56054659561239e-139,1.31357703767695e-16,3.38391950012151e-21
"1CM0_A",1.0387038373991e-08,1.09474434069126e-06,3.64855199795408e-06,0.0622949422899334,1.05336975951127e-38,1.42330875474632e-36,2.11513491590688e-08,3.24589904977265e-102,2.93205561398887e-14,8.99891439472332e-17
"1CNS_A",1.20245595670386e-35,3.2747230974747e-25,1.05091380147554e-24,1.43915995783435e-05,3.97158163330882e-54,1.68488620394606e-48,1.50467509932654e-12,5.09895042757148e-150,4.04067890173538e-17,5.96952692676532e-20
"1COY_A",9.15345107146428e-26,3.62005206720793e-19,1.58948735452571e-18,0.00507833334094913,1.41605420570527e-105,1.53704444279337e-99,5.16624509563046e-12,0,3.68387728925442e-19,1.26759422619845e-22
"1CQQ_A",0,7.02285813352053e-09,3.92589625148274e-07,0.0203330524454278,4.14790374412594e-46,2.50572545750527e-40,3.91787772610293e-10,2.68944488022861e-114,5.76759470198499e-17,8.16196214973376e-21
"1CVR_A",2.10432923910859e-20,2.77339617019817e-16,6.28227123544063e-16,0.0859026452410038,5.02459832888505e-100,7.86919113579239e-98,7.65275492689926e-09,0,7.86089004911668e-17,1.833551072474e-19
"1CWY_A",1.81158181178135e-42,7.1686909759418e-38,1.41105999299802e-39,0.916258531134868,3.60343323558896e-116,7.1635128131341e-118,3.61602669893333e-06,0,3.56056258841649e-10,5.60196737951215e-13
"1CZ1_A",0,1.34795083236707e-34,8.31664274296499e-34,0.0256709295932914,2.68671769715946e-92,2.76542385424377e-89,5.72326257190304e-05,1.35923874100995e-290,2.43674887202474e-12,4.14611964246965e-14
"1CZF_A",1.73509776781598e-25,1.50371853705781e-20,6.4106039137912e-18,0.286130739350425,2.24599497302734e-68,2.14182126978898e-62,0.000714580089963707,1.90839770918259e-228,4.91549310661001e-11,1.14112174395546e-14
"1D1Q_A",2.01261799289875e-11,1.40601141790645e-11,3.85274505031212e-11,0.040478486065757,9.59690699583559e-43,2.93183714339971e-37,2.02036023487854e-08,3.82551520861443e-114,6.20677857929061e-12,1.06017026971184e-13
"1D4C_A",1.51931572257678e-30,1.55195338155598e-29,8.61836341475512e-28,0.055235466611798,1.44541563014547e-136,1.12260262663389e-130,2.24076935125803e-09,0,1.19601357374707e-18,1.02877278199325e-20
"1D6O_A",1.00132459602874e-10,6.35624786635594e-08,8.06693377921199e-06,0.134338521337127,1.35643855005499e-26,3.50921871104313e-23,1.93935010839388e-05,5.04583582998559e-55,1.22490086123778e-06,7.67714972888595e-10
"1DDJ_A",1.4241121744127e-25,3.14177027725595e-23,8.80467833488897e-21,1.55996142044677e-05,3.7721441282168e-63,1.03727238506876e-64,5.66782950313743e-14,1.84697480052279e-177,4.96859820504084e-19,4.15607318786672e-22
"1DGK_N",2.12549258737801e-62,2.28520581378219e-64,2.00919745320639e-60,0.00599421721218112,1.35225574458392e-231,2.65445659307111e-218,9.69158772444527e-21,0,7.95547156991521e-37,4.96539247612886e-42
"1DGS_A",7.60862014957994e-23,8.17273763326251e-27,9.61908108815817e-24,0.997053209366486,1.85530052965752e-133,4.64606841395997e-134,4.6642812536508e-09,0,2.0876160628504e-14,2.27905005708527e-18
"1DIN_A",8.4882951160698e-17,2.69595008351056e-21,3.91908742503017e-21,0.000192043252294381,4.7857587054817e-52,9.26369028916962e-55,3.5240126433341e-08,1.04805812356695e-162,5.45830068622803e-14,2.65042074430701e-16
"1DNP_A",1.69207608484068e-40,3.56433571740193e-35,6.46991226608185e-41,0.00280245560510861,2.67558287612617e-115,6.79822262129573e-123,3.89335561281239e-06,4.94065645841247e-323,7.71693967059370e-11,2.16800495250964e-13
"1DVE_A",0,1.26910341640708e-16,1.3363384048938e-17,9.75055859977925e-05,2.70367276303681e-55,8.21929270068439e-60,5.68998913764339e-08,1.6698526003363e-144,6.36141850787746e-11,1.40216004907374e-13
"1E0C_A",5.80910757660042e-22,8.70149642118871e-19,6.7474546979443e-19,6.67040082310881e-05,6.75918423189066e-74,3.14215021251454e-73,5.85270089005262e-14,4.04105101498166e-174,5.57049892333623e-21,1.15328861526662e-25
"1E1A_A",2.39059506636367e-11,3.36262876628475e-10,1.54934989146189e-09,0.00021529692049935,4.44818278072354e-82,3.31021653244622e-77,1.30663079201186e-11,7.25833254879485e-251,6.05496013078876e-25,1.94654182952275e-27
"1E6E_A",4.08214827921586e-33,2.5247329942882e-36,2.30845133543528e-36,0.0356624782515314,1.99816755712108e-108,4.20054974910977e-108,3.20251240607728e-10,5.08079038225415e-309,4.11141182638091e-16,3.17458130580719e-19
"1EB6_A",0,1.33064512611452e-11,2.49919101854206e-11,0.304668225010602,1.87562758564587e-31,3.13724556598459e-30,0.000961981743826009,1.5786045445718e-124,7.42747793172267e-12,1.06446255793565e-13
"1EH5_A",0,5.26017847853923e-25,2.58457194146663e-24,0.579820987491565,2.05565304410364e-62,1.6851624252998e-66,2.07727274371385e-06,3.60966984988371e-197,5.62182693880461e-08,4.58802395037188e-10
"1EUG_A",7.03617873404598e-26,1.63783141769047e-25,2.52133497663788e-23,0.28453358827234,8.6207206511215e-58,1.98257126229181e-54,0.00030868457224933,8.65553906986024e-152,1.18112257712416e-06,3.09910963218817e-08
"1EUU_A",1.05486411219106e-08,2.54525483692772e-09,3.15584229221624e-09,0.00893771742280453,1.54962443606823e-134,2.92854156935943e-124,6.93947427779598e-19,0,9.45839181828287e-35,4.19502817239804e-43
"1EX1_A",1.2334401387299e-51,5.39972402043008e-36,1.07170586448737e-36,0.0331780696847303,1.39737370324023e-132,3.90393918053491e-131,3.3589881678999e-07,0,1.47429195897775e-18,7.0595583676977e-21
"1EXN_A",0.00053212954539432,1.67724561126486e-05,1.17896136881235e-05,0.047742329497936,9.41996737980793e-64,6.58269099576987e-64,8.28065511058969e-08,1.1051297253217e-183,1.18541943959846e-12,1.36304775924834e-14
"1EXP_A",1.041088938325e-22,2.1610738472549e-21,5.10210813269567e-22,0.149015475686224,1.81960252520128e-63,1.55868106168268e-66,6.03786547508044e-06,3.12306054945117e-200,1.92669089731795e-10,2.41650530357832e-12
"1EYP_A",4.94279065026413e-08,7.78178773670014e-07,1.66544199921693e-07,0.00643464925368084,1.18859487473122e-54,2.43547973237594e-51,1.82341094753884e-10,2.68174201655228e-144,5.25990045451873e-18,6.42372414725962e-21
"1FF3_A",6.11065213476659e-19,3.80473490592541e-14,2.36625274512061e-14,0.0150450549483136,2.29983043748562e-47,7.07558536468739e-48,7.62563240858991e-08,4.51734417098798e-131,1.13546211703391e-14,9.38731761995756e-18
"1FGH_A",1.38134115678476e-64,1.54425113561904e-61,1.19837722198828e-58,0.00544283594529697,7.48147767423137e-157,5.64199492168675e-146,1.6669575481402e-16,0,1.87884157581294e-33,1.09244428861954e-38
"1FHL_A",0,2.73839089276103e-20,5.99849473674012e-20,0.0173635602800657,3.07559971938735e-72,3.79573233747496e-72,1.39463361692377e-07,1.93796820565509e-245,4.61067655632611e-12,1.45240734329181e-14
"1FOA_A",0,8.98406520294657e-32,4.98648150331518e-32,0.00669580403735006,1.55336589918457e-87,1.8749109452656e-92,1.88529897575823e-10,2.21050198913917e-235,3.39805044708582e-16,1.1320330761838e-19
"1G24_A",7.31992874252156e-05,2.2371351348094e-06,1.17750086147439e-07,0.0292227160802501,3.99139335399144e-43,1.32359955817229e-45,1.6133718861771e-05,2.08463256676824e-124,6.62285659114206e-10,2.68832635380785e-12
"1G6T_A",3.64683975164036e-43,1.08943150160103e-38,9.85219603161647e-37,0.389683195871626,5.17328159140508e-85,7.74663778273471e-77,1.01978603799301e-08,0,2.46866599293784e-16,3.75775593647022e-18
"1G8O_A",1.05492808926946e-31,3.41447925897174e-22,4.24239968947804e-23,0.0018834371782775,1.00293266735342e-74,7.25408243376704e-78,3.55933298159943e-08,1.65450419526651e-226,1.52999257022373e-16,1.92286179442506e-18
"1GA8_A",1.0265149286405e-12,4.39275957944032e-16,6.75729521205833e-16,0.00864892858976446,4.07569036099569e-68,7.33130969765186e-73,4.08469909169981e-11,4.03219019573646e-174,1.08285063280195e-16,3.3836098222426e-20
"1GAL_A",4.40113450716779e-27,1.54988327777831e-25,1.31954341776758e-24,0.103173140714442,2.35677987212869e-128,5.06880128907642e-125,2.02358493421563e-08,0,1.2107838242732e-16,6.83621177132651e-19
"1GCU_A",0,3.08680196473541e-11,3.06010078429413e-11,0.0758560248251469,9.85766104645571e-69,1.11952402609966e-70,6.82183071592139e-08,7.21388557135168e-197,6.42038752163338e-15,5.97811515163383e-18
"1GOG_A",1.36844174406681e-42,8.67859124157195e-34,5.95656935689813e-33,0.00135427919695211,2.69523062698582e-142,9.69453189032285e-134,1.15228176945138e-15,0,3.83938961734657e-33,4.52005573103534e-38
"1GP5_A",3.96006594110746e-23,1.96300217320073e-24,6.30667171142888e-23,0.00157108891530049,4.04680024673952e-94,2.62653938652507e-91,1.11117713887005e-14,4.2038396662676e-245,1.79650922849655e-19,2.38497104861549e-24
"1GQ8_A",3.84326857908745e-34,3.93439576542295e-27,1.32897115998671e-29,4.24565649272652e-06,7.75781253321092e-71,1.43755714138132e-73,2.70663358977254e-21,6.35480299088124e-203,1.33941781613757e-30,3.45466326944771e-36
"1H19_A",3.12136488509697e-60,2.26887233891441e-54,2.57798263494554e-55,0.273201671209097,1.08031338174929e-143,1.82574596426777e-146,1.42142555651703e-14,0,1.0300119513479e-21,2.92219805909482e-25
"1H3I_A",1.31946886100217e-08,7.7340761069471e-07,3.08264063326702e-06,0.942240443763299,5.63477931839484e-70,1.55879041940338e-70,1.55869032032191e-11,2.79559926459441e-187,4.78931331783328e-16,1.17294631329191e-20
"1HKA_A",1.7800573687229e-07,1.02140389015779e-09,7.98327634362497e-10,0.131971296780404,6.45649681397557e-38,2.092171295978e-37,2.43627467826079e-07,3.72806351504743e-102,3.55226606335129e-10,1.94523659722573e-12
"1HPL_A",2.1280030331519e-55,1.96496661104655e-50,2.02900902378192e-48,2.05042908218636e-08,6.45614215462882e-106,3.70118616602034e-103,2.29461369213446e-20,0,9.36764162070564e-29,4.6912634352802e-33
"1HPM_A",4.96418147657044e-12,2.81996862797996e-10,8.24856832203579e-11,0.369500749083285,1.81301541383483e-83,1.29006199971158e-79,8.12410842244223e-07,5.30500875293269e-253,1.01618879094654e-12,2.49592788956519e-16
"1HQC_A",4.84979449383927e-07,3.47829850122111e-08,7.41393346060748e-08,0.167839334629779,2.93357529015063e-69,7.1325753820884e-71,7.17354498695965e-07,1.4036776507647e-192,9.26970240345627e-11,2.65348599092312e-13
"1I1E_A",2.66015068160765e-66,3.96543012005219e-61,4.33085034388955e-61,5.96453041731601e-13,0,0,5.45929019015701e-37,0,5.5694183799633e-59,8.10147638271816e-66
"1I1I_P",2.78405648605235e-27,4.99482557275644e-28,1.36483813807081e-28,0.222932704183815,4.05197480171235e-149,3.55844451049307e-154,1.8720713065425e-10,0,2.6513739778593e-16,1.1743800401106e-20
"1I9A_A",2.62005752011733e-09,6.55025791638209e-14,6.46216833957832e-15,6.55060572104808e-05,1.16675168217717e-37,7.48345457143169e-41,9.06501639995714e-06,1.77092347710343e-113,3.02174777765615e-08,1.92985097678691e-10
"1IDJ_A",1.92781969759433e-33,1.65466016345574e-30,5.496688058854e-30,4.58036677451425e-06,4.58192260275468e-74,3.36400248818307e-73,7.3807647378229e-12,1.13659891069053e-245,9.76375175475962e-25,6.29545704648071e-29
"1IG8_A",1.93393044584508e-30,3.81630238978096e-44,7.63456398494567e-41,0.0012261979492241,2.45653228592601e-124,5.78369280183053e-119,4.71565263263292e-13,0,1.22281484487687e-19,1.84012390010123e-23
"1IM5_A",4.11124477195498e-20,4.57135508013475e-21,1.01111753658061e-19,0.398076660132637,4.39919763118587e-42,2.33260513855115e-37,6.74538899917443e-05,2.58173702095495e-116,8.67891733647226e-08,3.89807897557466e-10
"1INP_A",1.4586491173232e-15,4.71768605361833e-16,5.08334390983765e-15,6.42250310655557e-05,4.79979088602257e-101,4.33102204661515e-97,5.03510689323805e-23,6.08501699816722e-292,2.97543875956419e-29,5.10386918727169e-34
"1IU4_A",3.81555288208319e-11,8.63580287879187e-11,7.73058027076812e-12,0.335948233574567,1.4296736847433e-85,5.57390748251006e-91,5.95710741413838e-09,1.14299878383758e-216,1.84823547934547e-10,4.95880999733255e-13
"1J00_A",1.07848859020187e-12,3.24195211767427e-10,5.71367226191546e-09,0.0901410654856021,1.03828470736309e-39,2.28093496509058e-41,0.00120925984652726,8.81767765238499e-116,7.14279632892557e-08,1.30937619319305e-09
"1J09_A",1.937330582505e-24,1.78968326467118e-21,4.74870835907812e-19,0.190067935662017,4.45215340447348e-102,8.26071041477725e-100,2.8915626315801e-10,4.86488966974414e-286,9.63965937656939e-16,2.44766155722005e-21
"1JH6_A",0,4.0364929823746e-13,8.92791555485778e-13,0.178983215772108,7.03849621559833e-46,1.20948163645523e-50,3.8303247550771e-07,4.38954463691468e-127,6.65877076753145e-09,9.5147801605304e-11
"1JMS_A",1.41847132080932e-22,9.37397567433648e-23,4.19540041946537e-22,0.0276896350619123,3.73702477922438e-83,1.78191110049601e-82,2.77754037360691e-10,3.08457559056801e-233,1.82475044381729e-15,1.18548343948604e-18
"1JOA_A",4.08049487147988e-22,9.05466729181644e-20,2.06939659625449e-18,0.0973045588609077,1.70120559944542e-115,4.95057337359259e-115,9.76270941605305e-11,2.77583307488381e-303,7.30825880514593e-18,3.19636816002186e-21
"1JS4_A",7.96811582048417e-49,6.45803432192308e-40,1.75201801868102e-40,2.48752126626113e-07,1.98392716091374e-131,3.97091462686846e-123,1.3984705426255e-13,0,3.38862972050993e-28,1.05767761042532e-32
"1K30_A",6.23999946148949e-18,3.68932961124261e-11,7.811536628687e-12,0.0289985730028309,8.42169315400803e-95,3.18781762883625e-98,2.8940378616516e-06,6.74712797255307e-248,6.36955902325681e-12,2.73660330784232e-14
"1KL7_A",1.00131660297796e-30,6.13675094494165e-36,5.4109094439019e-35,0.166963162054457,6.61097845953017e-123,8.3688417905635e-127,1.02158517328374e-16,0,7.43582584768741e-19,1.49419425562225e-21
"1KNP_A",1.34178687840968e-40,4.25649183130164e-44,1.06790272084435e-43,0.00467509642583891,2.12066525156592e-119,3.69888383762522e-116,3.11702871846742e-08,0,3.47216195098563e-15,8.42816816981832e-19
"1L1D_A",2.39300036810835e-19,7.75269101618084e-15,1.96866434483058e-15,6.17024814566611e-05,7.12828024898658e-36,7.59907403006465e-35,2.29329566488212e-06,1.39076993841504e-84,3.43292960660127e-08,3.60298879038627e-10
"1L1L_A",9.87782704628007e-29,5.22816645309626e-24,5.17151283249894e-23,0.458761203040197,2.06574789643884e-162,7.41287563172544e-161,6.85230136918971e-14,0,8.81601304288923e-28,2.91955001788411e-31
"1L6P_A",1.53596087950669e-09,2.58018802261991e-08,3.34516679003813e-08,0.92215096191621,1.17097812010995e-30,2.64049498507282e-33,6.03007052041873e-07,1.5614436909425e-69,1.81989130243474e-08,1.11652133839173e-10
"1L7N_A",5.35818409563373e-18,1.42171879874503e-18,3.37487786189728e-16,0.500207561785945,2.55892875955952e-53,3.21050501952674e-47,0.00298742919806971,3.55423044116915e-157,2.23638520107873e-06,7.43919322588456e-08
"1L7Q_A",2.12476769895545e-32,1.37251444860631e-17,4.22674039128994e-17,0.0163520268168435,1.63507375000177e-121,1.65974869639669e-121,5.12596309615887e-18,0,2.87563697270215e-30,5.31497593054046e-36
"1L8T_A",1.38926160430575e-11,8.61379078650731e-15,1.76911993438056e-13,0.0765278710529785,4.15349155410882e-61,1.67563090220975e-59,3.02993973253865e-08,6.17609187191513e-186,9.49720501392597e-14,3.49277933505349e-17
"1L9X_A",9.04872785957348e-24,1.63216737851043e-19,1.78906926923728e-20,0.00181886192552339,1.96986781258561e-78,8.24508828210617e-76,3.86124835350685e-09,3.11871786324815e-232,2.51255096329064e-17,3.98051573203418e-19
"1LBA_A",4.44248206005495e-15,3.72154569249125e-11,2.77597159090183e-11,0.406484704107726,3.51734229982255e-33,6.85742219285448e-29,0.00162867293176958,3.45428901347472e-91,1.48095339744753e-05,3.54965682453858e-07
"1LDM_A",7.40805391812229e-20,9.12873609249257e-19,8.57822106436046e-17,0.00953712159969428,1.55705615997705e-82,4.89455048006434e-78,3.7229361385662e-12,1.4654715014508e-224,1.21049057704029e-17,7.28132346793e-21
"1LJL_A",7.58398009310694e-09,1.03089833887732e-12,4.88751176671347e-12,0.331625468448808,2.07338370643892e-27,1.91125865144633e-29,0.000194951566998628,9.23984994414977e-91,3.76446295015676e-06,9.48648954103979e-08
"1LVH_A",1.79147915321753e-16,6.87378264739461e-14,8.92098763001729e-13,0.365510870066624,5.14319284398286e-62,2.35006064523212e-60,2.69797889585608e-07,1.34823437230732e-132,2.61767854435822e-08,5.71528191614585e-12
"1M53_A",1.51822546007439e-50,3.39629376437404e-49,3.49164076740493e-51,0.00180770947958487,1.55957884013915e-130,3.80502525133074e-127,2.60564177537239e-12,0,3.65237012194821e-15,2.61544009764632e-18
