            pdb_name            std_best             sp_best          sp_default             sp_diff                nres
              1CB8_A              22.800              -0.820              -0.801               0.020                 674
              1CBX_A              27.400              -0.417              -0.409               0.008                 307
              1CDG_A              13.400              -0.693              -0.694              -0.001                 686
              1CEL_A              13.600              -0.687              -0.677               0.011                 433
              1CHD_A               8.200              -0.764              -0.755               0.010                 198
              1CHK_B              11.800              -0.416              -0.411               0.004                 238
              1CM0_A              20.200              -0.810              -0.816              -0.006                 162
              1CNS_A               9.600              -0.752              -0.752               0.001                 243
              1COY_A               9.600              -0.744              -0.743               0.000                 501
              1CQQ_A               6.200              -0.632              -0.623               0.008                 180
              1CVR_A              12.600              -0.879              -0.879               0.000                 432
              1CWY_A              10.600              -0.748              -0.724               0.024                 500
              1CZ1_A              10.600              -0.866              -0.858               0.008                 394
              1CZF_A              11.800              -0.721              -0.707               0.014                 335
              1D1Q_A              10.600              -0.752              -0.745               0.008                 159
              1D4C_A              22.200              -0.758              -0.743               0.016                 570
              1D6O_A               7.000              -0.644              -0.628               0.016                 107
              1DDJ_A              11.000              -0.643              -0.633               0.009                 247
              1DGK_N              16.800              -0.784              -0.740               0.045                 898
              1DGS_A              16.600              -0.534              -0.521               0.013                 581
              1DIN_A              23.200              -0.704              -0.694               0.010                 232
              1DNP_A              19.400              -0.743              -0.742               0.001                 469
              1DVE_A              18.000              -0.520              -0.477               0.043                 214
              1E0C_A               9.600              -0.671              -0.662               0.009                 270
              1E1A_A               8.400              -0.867              -0.863               0.003                 312
              1E6E_A              10.000              -0.700              -0.661               0.039                 457
              1EB6_A              21.400              -0.777              -0.747               0.030                 177
              1EH5_A              50.000              -0.816              -0.770               0.046                 279
              1EUG_A              10.200              -0.643              -0.634               0.009                 225
              1EUU_A              10.600              -0.524              -0.458               0.066                 601
              1EX1_A              10.000              -0.703              -0.669               0.034                 602
              1EXN_A               5.800              -0.380              -0.303               0.077                 267
              1EXP_A              26.400              -0.719              -0.705               0.014                 312
              1EYP_A               7.200              -0.462              -0.435               0.026                 212
              1FF3_A               9.000              -0.666              -0.641               0.025                 210
              1FGH_A              14.800              -0.827              -0.840              -0.013                 753
              1FHL_A              16.000              -0.522              -0.518               0.004                 334
              1FOA_A              13.000              -0.668              -0.669              -0.001                 342
              1G24_A              19.400              -0.592              -0.567               0.026                 210
              1G6T_A              22.200              -0.749              -0.716               0.033                 427
              1G8O_A               8.400              -0.625              -0.616               0.009                 287
              1GA8_A              25.000              -0.806              -0.756               0.050                 271
              1GAL_A              32.200              -0.744              -0.713               0.031                 581
              1GCU_A              16.200              -0.813              -0.798               0.015                 292
              1GOG_A              16.800              -0.733              -0.739              -0.006                 639
              1GP5_A              13.200              -0.769              -0.782              -0.013                 346
              1GQ8_A              10.000              -0.775              -0.765               0.010                 318
              1H19_A              10.200              -0.689              -0.674               0.016                 610
              1H3I_A               9.200              -0.598              -0.567               0.031                 293
              1HKA_A              13.800              -0.649              -0.639               0.010                 158
              1HPL_A              22.000              -0.815              -0.778               0.037                 449
              1HPM_A              18.800              -0.824              -0.814               0.010                 378
              1HQC_A              13.200              -0.366              -0.372              -0.006                 314
              1I1E_A              10.800              -0.713              -0.619               0.093                1287
              1I1I_P              13.200              -0.682              -0.677               0.005                 665
              1I9A_A               6.000              -0.325              -0.297               0.028                 175
              1IDJ_A              12.800              -0.737              -0.731               0.007                 359
              1IG8_A               9.800              -0.632              -0.601               0.031                 469
              1IM5_A              10.400              -0.709              -0.683               0.026                 179
              1INP_A              31.800              -0.805              -0.814              -0.009                 400
              1IU4_A              11.600              -0.688              -0.683               0.006                 331
              1J00_A              49.000              -0.589              -0.544               0.044                 176
              1J09_A              18.800              -0.592              -0.591               0.001                 468
              1JH6_A               8.000              -0.552              -0.544               0.008                 181
              1JMS_A              10.600              -0.656              -0.658              -0.002                 360
              1JOA_A              50.000              -0.445              -0.395               0.050                 446
              1JS4_A              11.600              -0.640              -0.616               0.024                 605
              1K30_A              10.200              -0.712              -0.719              -0.007                 363
              1KL7_A              18.200              -0.583              -0.576               0.007                 503
              1KNP_A              50.000              -0.655              -0.627               0.029                 529
              1L1D_A               8.800              -0.779              -0.774               0.005                 142
              1L1L_A              10.400              -0.692              -0.698              -0.006                 717
              1L6P_A              10.600              -0.633              -0.621               0.012                 121
              1L7N_A               6.800              -0.549              -0.500               0.049                 207
              1L7Q_A              17.400              -0.739              -0.737               0.002                 571
              1L8T_A              12.600              -0.638              -0.631               0.007                 263
              1L9X_A               9.200              -0.755              -0.751               0.004                 288
              1LBA_A              18.800              -0.680              -0.669               0.010                 146
              1LDM_A              50.000              -0.685              -0.667               0.018                 329
              1LJL_A              14.800              -0.774              -0.741               0.034                 130
              1LVH_A              16.200              -0.751              -0.743               0.008                 220
              1M53_A              10.000              -0.572              -0.559               0.012                 556
              1MBB_A              11.800              -0.730              -0.733              -0.003                 340
              1MJ9_A              17.800              -0.800              -0.764               0.036                 273
              1MLA_A              15.600              -0.675              -0.681              -0.006                 305
              1MRQ_A               7.600              -0.661              -0.660               0.000                 323
              1MUD_A               7.200              -0.476              -0.405               0.071                 225
              1MUG_A              11.800              -0.402              -0.390               0.012                 165
              1NDH_A              11.200              -0.633              -0.610               0.023                 270
              1NDI_A              12.800              -0.532              -0.543              -0.011                 596
              1NLU_A              13.200              -0.786              -0.778               0.008                 368
              1O8A_A              14.800              -0.621              -0.618               0.003                 574
              1O98_A               9.600              -0.654              -0.660              -0.006                 509
              1OG1_A               8.000              -0.582              -0.560               0.022                 223
              1OGO_X              14.400              -0.751              -0.738               0.013                 572
              1OJ4_A              10.200              -0.772              -0.765               0.007                 277
              1ONR_A              22.800              -0.741              -0.710               0.031                 316
              1OPM_A              11.800              -0.668              -0.665               0.003                 310
              1OXA_A              16.400              -0.802              -0.807              -0.005                 403
              1OYG_A               5.200              -0.577              -0.470               0.107                 440
              1P1X_A              15.000              -0.800              -0.784               0.016                 250
              1P3D_A              16.000              -0.508              -0.503               0.005                 449
              1P5D_X               8.000              -0.664              -0.613               0.052                 454
              1PA9_A              10.200              -0.859              -0.862              -0.003                 279
              1PII_A              11.000              -0.550              -0.540               0.010                 452
              1PKN_A              40.000              -0.245              -0.227               0.018                 514
              1PMI_A              11.600              -0.722              -0.695               0.027                 440
              1PP4_A              10.600              -0.785              -0.778               0.007                 233
              1PS9_A              20.800              -0.762              -0.736               0.026                 671
              1PTD_A              17.600              -0.700              -0.688               0.012                 296
              1PUD_A               7.600              -0.494              -0.428               0.067                 372
              1PYL_A              10.400              -0.798              -0.802              -0.004                  95
              1Q91_A              43.600              -0.728              -0.691               0.036                 194
              1QAM_A              12.400              -0.723              -0.730              -0.007                 235
              1QAZ_A              10.000              -0.810              -0.808               0.002                 351
              1QBA_A              13.200              -0.764              -0.777              -0.012                 858
              1QFM_A               9.800              -0.783              -0.750               0.033                 705
              1QGX_A              15.000              -0.845              -0.843               0.003                 354
              1QJE_A              10.400              -0.713              -0.698               0.015                 327
              1QK2_A              10.200              -0.719              -0.707               0.012                 363
              1QWN_A              15.200              -0.896              -0.908              -0.012                1014
              1R1J_A              19.200              -0.723              -0.764              -0.041                 696
              1R44_A              16.200              -0.743              -0.745              -0.002                 202
              1R4Z_A               6.600              -0.697              -0.682               0.014                 179
              1RBN_A              11.000              -0.779              -0.762               0.017                 124
              1RDD_A              38.600              -0.483              -0.457               0.026                 155
              1RU4_A              15.600              -0.800              -0.785               0.015                 400
              1S3I_A              24.000              -0.711              -0.668               0.042                 307
              1S95_A              10.800              -0.260              -0.238               0.022                 324
              1SCA_A              11.800              -0.695              -0.686               0.009                 274
              1SLL_A              12.600              -0.756              -0.742               0.014                 679
              1SML_A              50.000              -0.701              -0.668               0.033                 266
              1SNZ_A              11.200              -0.705              -0.703               0.002                 344
              1TAH_B              15.200              -0.337              -0.336               0.001                 318
              1TLP_E              10.800              -0.549              -0.545               0.003                 316
              1U3F_A              46.800              -0.707              -0.622               0.085                 164
              1U5U_A              50.000              -0.623              -0.623               0.000                 366
              1UAS_A              16.600              -0.814              -0.810               0.003                 362
              1UN1_A              13.200              -0.760              -0.758               0.001                 267
              1VID_A              18.800              -0.697              -0.667               0.030                 213
              1VLB_A              16.200              -0.833              -0.842              -0.008                 907
              1VNC_A              19.200              -0.660              -0.668              -0.008                 576
              1VQ1_A              10.800              -0.274              -0.249               0.025                 263
              1W0H_A               7.200              -0.464              -0.428               0.036                 194
              1XQW_A              20.200              -0.790              -0.783               0.007                 290
              1Y9M_A              14.600              -0.712              -0.711               0.001                 517
              1YON_A              11.200              -0.528              -0.487               0.041                 292
              1YSC_A               5.600              -0.438              -0.404               0.034                 421
              1ZE1_A              50.000              -0.355              -0.338               0.017                 308
              1ZIO_A               9.600              -0.684              -0.685              -0.001                 217
              206L_A              13.600              -0.469              -0.438               0.031                 162
              2A0N_A               6.200              -0.388              -0.345               0.044                 251
              2ABK_A              18.200              -0.582              -0.581               0.001                 211
              2ACY_A              10.200              -0.601              -0.561               0.040                  98
              2AYH_A              15.400              -0.718              -0.707               0.011                 214
              2CPO_A              14.000              -0.825              -0.831              -0.006                 298
              2CPU_A              14.600              -0.550              -0.555              -0.005                 495
              2DLN_A              39.000              -0.813              -0.746               0.066                 306
              2EBN_A              13.400              -0.816              -0.822              -0.006                 285
              2ENG_A              10.000              -0.830              -0.816               0.014                 205
              2F61_A               9.000              -0.446              -0.427               0.020                 497
              2F9R_A               8.000              -0.745              -0.733               0.012                 285
              2NLR_A              24.800              -0.764              -0.729               0.035                 222
              2NMT_A              50.000              -0.467              -0.437               0.030                 422
              2PEC_A              10.000              -0.765              -0.767              -0.002                 352
              2PIA_A              13.200              -0.618              -0.639              -0.021                 321
              2PTH_A              12.400              -0.852              -0.843               0.009                 193
              2SQC_A              37.200              -0.748              -0.726               0.022                 623
              2THI_A              10.000              -0.646              -0.625               0.021                 362
              2TPS_A               9.600              -0.759              -0.752               0.008                 226
              5EAT_A              12.400              -0.643              -0.654              -0.011                 532
              7ATJ_A              20.400              -0.606              -0.596               0.010                 305
