                      pdb                     nres          radius_gyration
                   1GP5_A                      346              0.20477E+02
                   1GQ8_A                      318              0.19620E+02
                   1H19_A                      610              0.24845E+02
                   1H3I_A                      293              0.21889E+02
                   1HKA_A                      158              0.15526E+02
                   1HPL_A                      449              0.25702E+02
                   1HPM_A                      378              0.21107E+02
                   1HQC_A                      314              0.23599E+02
                   1I1E_A                     1287              0.40420E+02
                   1I1I_P                      665              0.26351E+02
                   1I9A_A                      175              0.15721E+02
                   1IDJ_A                      359              0.19994E+02
                   1IG8_A                      469              0.24329E+02
                   1IM5_A                      179              0.15372E+02
                   1INP_A                      400              0.21582E+02
                   1IU4_A                      331              0.21036E+02
                   1J00_A                      176              0.15496E+02
                   1J09_A                      468              0.31324E+02
                   1JH6_A                      181              0.16621E+02
                   1JMS_A                      360              0.22223E+02
                   1JOA_A                      446              0.23606E+02
                   1JS4_A                      605              0.29119E+02
                   1K30_A                      363              0.21135E+02
                   1KL7_A                      503              0.22479E+02
                   1KNP_A                      529              0.22678E+02
                   1L1D_A                      142              0.14779E+02
                   1L1L_A                      717              0.26327E+02
                   1L6P_A                      121              0.16319E+02
                   1L7N_A                      207              0.16658E+02
                   1L7Q_A                      571              0.24143E+02
                   1L8T_A                      263              0.18897E+02
                   1L9X_A                      288              0.18125E+02
                   1LBA_A                      146              0.14581E+02
                   1LDM_A                      329              0.21456E+02
                   1LJL_A                      130              0.13942E+02
                   1LVH_A                      220              0.18610E+02
                   1M53_A                      556              0.23902E+02
                   1MBB_A                      340              0.20543E+02
                   1MJ9_A                      273              0.20998E+02
                   1MLA_A                      305              0.18731E+02
                   1MRQ_A                      323              0.19132E+02
                   1MUD_A                      225              0.18233E+02
                   1MUG_A                      165              0.14783E+02
                   1NDH_A                      270              0.18965E+02
                   1NDI_A                      596              0.25277E+02
                   1NLU_A                      368              0.18716E+02
                   1O8A_A                      574              0.23774E+02
                   1O98_A                      509              0.23130E+02
                   1OG1_A                      223              0.17124E+02
                   1OGO_X                      572              0.23322E+02
                   1OJ4_A                      277              0.19044E+02
                   1ONR_A                      316              0.19407E+02
                   1OPM_A                      310              0.20160E+02
                   1OXA_A                      403              0.21124E+02
                   1OYG_A                      440              0.21170E+02
                   1P1X_A                      250              0.17245E+02
                   1P3D_A                      449              0.22189E+02
                   1P5D_X                      454              0.21802E+02
                   1PA9_A                      279              0.18409E+02
                   1PII_A                      452              0.24846E+02
                   1PKN_A                      514              0.24712E+02
                   1PMI_A                      440              0.23466E+02
                   1PP4_A                      233              0.17108E+02
                   1PS9_A                      671              0.26459E+02
                   1PTD_A                      296              0.18505E+02
                   1PUD_A                      372              0.20478E+02
                   1PYL_A                       95              0.13058E+02
                   1Q91_A                      194              0.17152E+02
                   1QAM_A                      235              0.20466E+02
                   1QAZ_A                      351              0.19928E+02
                   1QBA_A                      858              0.28252E+02
                   1QFM_A                      705              0.25813E+02
                   1QGX_A                      354              0.19596E+02
                   1QJE_A                      327              0.19512E+02
                   1QK2_A                      363              0.19312E+02
                   1QWN_A                     1014              0.29962E+02
                   1R1J_A                      696              0.26509E+02
                   1R44_A                      202              0.16316E+02
                   1R4Z_A                      179              0.14727E+02
                   1RBN_A                      124              0.14748E+02
                   1RDD_A                      155              0.15644E+02
                   1RU4_A                      400              0.21557E+02
                   1S3I_A                      307              0.22356E+02
                   1S95_A                      324              0.18924E+02
                   1SCA_A                      274              0.16692E+02
                   1SLL_A                      679              0.27847E+02
                   1SML_A                      266              0.18030E+02
                   1SNZ_A                      344              0.19291E+02
                   1TAH_B                      318              0.18627E+02
                   1TLP_E                      316              0.19960E+02
                   1U3F_A                      164              0.15791E+02
                   1U5U_A                      366              0.20276E+02
                   1UAS_A                      362              0.20956E+02
                   1UN1_A                      267              0.18519E+02
                   1VID_A                      213              0.16537E+02
                   1VLB_A                      907              0.27074E+02
                   1VNC_A                      576              0.23220E+02
                   1VQ1_A                      263              0.20875E+02
                   1W0H_A                      194              0.16831E+02
                   1XQW_A                      290              0.18260E+02
                   1Y9M_A                      517              0.23179E+02
                   1YON_A                      292              0.19068E+02
                   1YSC_A                      421              0.20729E+02
                   1ZE1_A                      308              0.24205E+02
                   1ZIO_A                      217              0.17286E+02
                   206L_A                      162              0.16764E+02
                   2A0N_A                      251              0.17406E+02
                   2ABK_A                      211              0.19047E+02
                   2ACY_A                       98              0.13061E+02
                   2AYH_A                      214              0.16558E+02
                   2CPO_A                      298              0.18763E+02
                   2CPU_A                      495              0.23282E+02
                   2DLN_A                      306              0.19588E+02
                   2EBN_A                      285              0.18875E+02
                   2ENG_A                      205              0.16127E+02
                   2F61_A                      497              0.22857E+02
                   2F9R_A                      285              0.18019E+02
                   2NLR_A                      222              0.16253E+02
                   2NMT_A                      422              0.22192E+02
                   2PEC_A                      352              0.19935E+02
                   2PIA_A                      321              0.20752E+02
                   2PTH_A                      193              0.15797E+02
                   2SQC_A                      623              0.24473E+02
                   2THI_A                      362              0.20585E+02
                   2TPS_A                      226              0.16414E+02
                   5EAT_A                      532              0.24231E+02
                   7ATJ_A                      305              0.19329E+02
