                      pdb                   natoms                     nres            contact_order          contact_orderSC          contact_orderAA
                   1BVV_A                     1448                      185                  0.22140                  0.26401                  0.26349
                   1BVZ_A                     4776                      585                  0.06693                  0.10264                  0.09585
                   1BWL_A                     3175                      399                  0.11188                  0.16021                  0.15138
                   1BWZ_A                     2122                      274                  0.11462                  0.16547                  0.15375
                   1BYA_A                     3929                      491                  0.09773                  0.14056                  0.13485
                   1BZC_A                     2427                      297                  0.11899                  0.18119                  0.17437
                   1C82_A                     5776                      719                  0.05086                  0.07879                  0.07306
                   1CA2_A                     2040                      256                  0.17658                  0.24122                  0.23062
                   1CB8_A                     5429                      674                  0.05265                  0.08006                  0.07448
                   1CBX_A                     2437                      307                  0.11283                  0.16809                  0.15686
                   1CDG_A                     5264                      686                  0.06782                  0.10345                  0.09599
                   1CEL_A                     3212                      433                  0.13462                  0.17501                  0.17221
                   1CHD_A                     1469                      198                  0.12855                  0.19882                  0.18451
                   1CHK_B                     1820                      238                  0.09040                  0.15184                  0.13912
                   1CM0_A                     1321                      162                  0.10616                  0.15946                  0.15355
                   1CNS_A                     1837                      243                  0.11059                  0.17003                  0.16195
                   1COY_A                     3827                      501                  0.12750                  0.19733                  0.18572
                   1CQQ_A                     1405                      180                  0.15199                  0.22131                  0.21428
                   1CVR_A                     3346                      432                  0.10261                  0.14871                  0.14175
                   1CWY_A                     4064                      500                  0.09384                  0.14236                  0.13523
                   1CZ1_A                     3214                      394                  0.09889                  0.14506                  0.13577
                   1CZF_A                     2453                      335                  0.05769                  0.08546                  0.08471
                   1D1Q_A                     1300                      159                  0.14330                  0.22495                  0.21426
                   1D4C_A                     4192                      570                  0.09958                  0.15402                  0.14598
                   1D6O_A                      832                      107                  0.21761                  0.27748                  0.27611
                   1DDJ_A                     1900                      247                  0.14546                  0.21137                  0.20251
                   1DGK_N                     7020                      898                  0.05527                  0.09287                  0.08718
                   1DGS_A                     4694                      581                  0.05361                  0.07843                  0.07450
                   1DIN_A                     1770                      232                  0.10375                  0.15829                  0.14683
                   1DNP_A                     3769                      469                  0.07966                  0.11909                  0.11343
                   1DVE_A                     1743                      214                  0.13558                  0.23699                  0.22195
                   1E0C_A                     2092                      270                  0.11789                  0.16962                  0.16438
                   1E1A_A                     2451                      312                  0.11395                  0.16460                  0.15636
                   1E6E_A                     3523                      457                  0.12496                  0.19088                  0.17859
                   1EB6_A                     1335                      177                  0.13560                  0.21240                  0.20513
                   1EH5_A                     2210                      279                  0.10027                  0.15389                  0.14573
                   1EUG_A                     1790                      225                  0.12353                  0.18775                  0.17712
                   1EUU_A                     4535                      601                  0.05726                  0.08309                  0.07754
                   1EX1_A                     4567                      602                  0.09581                  0.13772                  0.13150
                   1EXN_A                     2163                      267                  0.10081                  0.16371                  0.15366
                   1EXP_A                     2400                      312                  0.09350                  0.15164                  0.14055
                   1EYP_A                     1611                      212                  0.13728                  0.22028                  0.20922
                   1FF3_A                     1628                      210                  0.15211                  0.21130                  0.20390
                   1FGH_A                     5812                      753                  0.08007                  0.12392                  0.11297
                   1FHL_A                     2598                      334                  0.10094                  0.15426                  0.14726
                   1FOA_A                     2811                      342                  0.09439                  0.13492                  0.12756
                   1G24_A                     1648                      210                  0.13922                  0.21014                  0.20382
                   1G6T_A                     3232                      427                  0.10556                  0.14917                  0.14107
                   1G8O_A                     2392                      287                  0.12265                  0.17733                  0.16691
                   1GA8_A                     2166                      271                  0.12112                  0.18661                  0.17358
                   1GAL_A                     4452                      581                  0.12620                  0.18904                  0.17763
                   1GCU_A                     2336                      292                  0.10321                  0.15946                  0.14777
                   1GOG_A                     4830                      639                  0.07882                  0.11348                  0.10887
                   1GP5_A                     2762                      346                  0.11617                  0.17940                  0.17157
                   1GQ8_A                     2407                      318                  0.07272                  0.10770                  0.10321
                   1H19_A                     4877                      610                  0.05842                  0.09299                  0.08473
                   1H3I_A                     2294                      293                  0.07830                  0.11308                  0.10782
                   1HKA_A                     1267                      158                  0.13902                  0.20258                  0.19248
                   1HPL_A                     3501                      449                  0.06465                  0.09400                  0.08786
                   1HPM_A                     2929                      378                  0.09296                  0.16086                  0.14988
                   1HQC_A                     2462                      314                  0.06768                  0.09984                  0.09368
                   1I1E_A                    10624                     1287                  0.04675                  0.06824                  0.06389
                   1I1I_P                     5349                      665                  0.07630                  0.12725                  0.11807
                   1I9A_A                     1387                      175                  0.15257                  0.21428                  0.20826
                   1IDJ_A                     2671                      359                  0.08807                  0.12476                  0.12185
                   1IG8_A                     3671                      469                  0.11291                  0.18556                  0.17767
                   1IM5_A                     1413                      179                  0.13905                  0.20846                  0.19832
                   1INP_A                     3088                      400                  0.08325                  0.13194                  0.12358
                   1IU4_A                     2678                      331                  0.14964                  0.20773                  0.20090
                   1J00_A                     1397                      176                  0.12378                  0.19581                  0.17892
                   1J09_A                     3814                      468                  0.06004                  0.09788                  0.09079
                   1JH6_A                     1438                      181                  0.18383                  0.25767                  0.25090
                   1JMS_A                     2921                      360                  0.08238                  0.12568                  0.11822
                   1JOA_A                     3484                      446                  0.07559                  0.11736                  0.10867
                   1JS4_A                     4757                      605                  0.08080                  0.12180                  0.11430
                   1K30_A                     2847                      363                  0.10052                  0.14459                  0.13994
                   1KL7_A                     3969                      503                  0.09989                  0.15360                  0.14461
                   1KNP_A                     4152                      529                  0.11222                  0.17609                  0.16588
                   1L1D_A                     1122                      142                  0.15473                  0.22456                  0.21900
                   1L1L_A                     5613                      717                  0.07786                  0.12415                  0.11478
                   1L6P_A                      969                      121                  0.19800                  0.26530                  0.26784
                   1L7N_A                     1623                      207                  0.13782                  0.20305                  0.19633
                   1L7Q_A                     4359                      571                  0.08587                  0.12188                  0.11533
                   1L8T_A                     2170                      263                  0.11051                  0.16985                  0.16095
                   1L9X_A                     2332                      288                  0.13948                  0.20877                  0.20153
                   1LBA_A                     1150                      146                  0.15521                  0.20783                  0.19977
                   1LDM_A                     2543                      329                  0.08758                  0.14297                  0.13292
                   1LJL_A                     1031                      130                  0.15715                  0.24370                  0.23053
                   1LVH_A                     1700                      220                  0.10901                  0.16693                  0.16061
                   1M53_A                     4648                      556                  0.07749                  0.11919                  0.11066
                   1MBB_A                     2654                      340                  0.09199                  0.13991                  0.13316
                   1MJ9_A                     2312                      273                  0.07605                  0.11609                  0.11004
                   1MLA_A                     2240                      305                  0.12013                  0.18286                  0.16914
                   1MRQ_A                     2593                      323                  0.10767                  0.16123                  0.15015
                   1MUD_A                     1762                      225                  0.09826                  0.16245                  0.15205
                   1MUG_A                     1293                      165                  0.14404                  0.20863                  0.19617
                   1NDH_A                     2158                      270                  0.09353                  0.13697                  0.12884
                   1NDI_A                     4757                      596                  0.10585                  0.16648                  0.15612
                   1NLU_A                     2692                      368                  0.12566                  0.17882                  0.17503
                   1O8A_A                     4684                      574                  0.09126                  0.14567                  0.13447
                   1O98_A                     3999                      509                  0.14351                  0.19464                  0.18536
                   1OG1_A                     1822                      223                  0.14858                  0.20458                  0.19683
                   1OGO_X                     4391                      572                  0.06529                  0.10296                  0.09533
                   1OJ4_A                     2131                      277                  0.14231                  0.19884                  0.19298
                   1ONR_A                     2470                      316                  0.11597                  0.17852                  0.16682
                   1OPM_A                     2419                      310                  0.13482                  0.16418                  0.15878
                   1OXA_A                     3139                      403                  0.12409                  0.19990                  0.18873
                   1OYG_A                     3494                      440                  0.12639                  0.18519                  0.17956
                   1P1X_A                     1885                      250                  0.10736                  0.17171                  0.16222
                   1P3D_A                     3436                      449                  0.06014                  0.09922                  0.08859
                   1P5D_X                     3477                      454                  0.07334                  0.11359                  0.10338
                   1PA9_A                     2150                      279                  0.13275                  0.18884                  0.18418
                   1PII_A                     3478                      452                  0.06471                  0.09961                  0.09326
                   1PKN_A                     3933                      514                  0.08114                  0.12803                  0.12066
                   1PMI_A                     3432                      440                  0.12073                  0.16570                  0.15716
                   1PP4_A                     1735                      233                  0.11068                  0.18070                  0.17028
                   1PS9_A                     5097                      671                  0.07066                  0.10739                  0.10051
                   1PTD_A                     2423                      296                  0.12784                  0.17809                  0.17095
                   1PUD_A                     2903                      372                  0.09274                  0.13950                  0.13496
                   1PYL_A                      757                       95                  0.16085                  0.24403                  0.23642
                   1Q91_A                     1599                      194                  0.12995                  0.20149                  0.18904
                   1QAM_A                     1967                      235                  0.07913                  0.12272                  0.11667
                   1QAZ_A                     2793                      351                  0.09669                  0.14990                  0.14470
                   1QBA_A                     6766                      858                  0.07554                  0.11052                  0.10239
                   1QFM_A                     5671                      705                  0.08545                  0.13168                  0.12175
                   1QGX_A                     2735                      354                  0.09268                  0.14316                  0.13320
                   1QJE_A                     2632                      327                  0.11756                  0.18201                  0.17173
                   1QK2_A                     2747                      363                  0.09463                  0.15167                  0.14145
                   1QWN_A                     8182                     1014                  0.08382                  0.12196                  0.11308
                   1R1J_A                     5595                      696                  0.10180                  0.15890                  0.14841
                   1R44_A                     1651                      202                  0.14470                  0.20583                  0.19857
                   1R4Z_A                     1351                      179                  0.12054                  0.18241                  0.17353
                   1RBN_A                      951                      124                  0.15833                  0.23742                  0.23753
                   1RDD_A                     1238                      155                  0.16490                  0.24096                  0.23883
                   1RU4_A                     3026                      400                  0.06267                  0.08937                  0.08585
                   1S3I_A                     2381                      307                  0.07200                  0.10852                  0.10334
                   1S95_A                     2597                      324                  0.11002                  0.16174                  0.15551
                   1SCA_A                     1920                      274                  0.12956                  0.19382                  0.18822
                   1SLL_A                     5257                      679                  0.07698                  0.11256                  0.10554
                   1SML_A                     2002                      266                  0.09196                  0.14807                  0.13725
                   1SNZ_A                     2688                      344                  0.12622                  0.18082                  0.17195
                   1TAH_B                     2329                      318                  0.11585                  0.17791                  0.16823
                   1TLP_E                     2432                      316                  0.07009                  0.10878                  0.10224
                   1U3F_A                     1361                      164                  0.13702                  0.20786                  0.19972
                   1U5U_A                     2984                      366                  0.14511                  0.21710                  0.20867
                   1UAS_A                     2810                      362                  0.08740                  0.12512                  0.11905
                   1UN1_A                     2220                      267                  0.15303                  0.20031                  0.19713
                   1VID_A                     1678                      213                  0.10494                  0.15966                  0.15180
                   1VLB_A                     6814                      907                  0.08138                  0.11966                  0.11141
                   1VNC_A                     4524                      576                  0.10489                  0.16266                  0.15314
                   1VQ1_A                     2085                      263                  0.06870                  0.11041                  0.10396
                   1W0H_A                     1594                      194                  0.13949                  0.21146                  0.20083
                   1XQW_A                     2331                      290                  0.11284                  0.18203                  0.17111
                   1Y9M_A                     4043                      517                  0.09823                  0.13066                  0.12234
                   1YON_A                     2290                      292                  0.07880                  0.12534                  0.11611
                   1YSC_A                     3343                      421                  0.10236                  0.16282                  0.15023
                   1ZE1_A                     2490                      308                  0.11573                  0.15939                  0.15209
                   1ZIO_A                     1687                      217                  0.12700                  0.20455                  0.18994
                   206L_A                     1294                      162                  0.09086                  0.15318                  0.14065
                   2A0N_A                     1939                      251                  0.10673                  0.15442                  0.14835
                   2ABK_A                     1655                      211                  0.09816                  0.15798                  0.14450
                   2ACY_A                      784                       98                  0.23508                  0.27910                  0.27939
                   2AYH_A                     1697                      214                  0.19002                  0.23153                  0.22851
                   2CPO_A                     2308                      298                  0.12277                  0.18123                  0.17500
                   2CPU_A                     3938                      495                  0.07792                  0.11749                  0.10859
                   2DLN_A                     2305                      306                  0.11040                  0.17403                  0.16128
                   2EBN_A                     2213                      285                  0.12297                  0.17366                  0.16493
                   2ENG_A                     1553                      205                  0.17900                  0.22988                  0.22066
                   2F61_A                     3930                      497                  0.13732                  0.18433                  0.17911
                   2F9R_A                     2269                      285                  0.12383                  0.16903                  0.16095
                   2NLR_A                     1663                      222                  0.17955                  0.22372                  0.22048
                   2NMT_A                     3463                      422                  0.11749                  0.16012                  0.15310
                   2PEC_A                     2649                      352                  0.08017                  0.11899                  0.11570
                   2PIA_A                     2495                      321                  0.08545                  0.12720                  0.11887
                   2PTH_A                     1480                      193                  0.13069                  0.19654                  0.18640
                   2SQC_A                     4994                      623                  0.08317                  0.12995                  0.11993
                   2THI_A                     2859                      362                  0.15378                  0.21538                  0.20592
                   2TPS_A                     1692                      226                  0.11634                  0.17345                  0.17090
                   5EAT_A                     4318                      532                  0.07108                  0.11861                  0.10982
                   7ATJ_A                     2364                      305                  0.11905                  0.18474                  0.17574
